zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
99609,Kasigluk,AK,Alaska,True,,543.0,17.8,2050,Bethel,"{""02050"": ""100""}",Bethel,2050,False,False,America/Nome,"60.87848, -162.52724"
99645,Palmer,AK,Alaska,True,,30540.0,26.7,2170,Matanuska-Susitna,"{""02170"": ""100""}",Matanuska-Susitna,2170,False,False,America/Anchorage,"61.6303, -148.98707"
99760,Nenana,AK,Alaska,True,,504.0,0.1,2290,Yukon-Koyukuk,"{""02290"": ""87.39"", ""02068"": ""9.04"", ""02090"": ""3.57""}","Yukon-Koyukuk,Denali,Fairbanks North Star","02290,02068,02090",False,False,America/Anchorage,"64.21369, -148.23073"
99765,Nulato,AK,Alaska,True,,236.0,12.6,2290,Yukon-Koyukuk,"{""02290"": ""100""}",Yukon-Koyukuk,2290,False,False,America/Anchorage,"64.72921, -158.13536"
99771,Shaktoolik,AK,Alaska,True,,302.0,117.4,2180,Nome,"{""02180"": ""100""}",Nome,2180,False,False,America/Anchorage,"64.36007, -161.20314"
99781,Venetie,AK,Alaska,True,,125.0,0.0,2290,Yukon-Koyukuk,"{""02290"": ""100""}",Yukon-Koyukuk,2290,False,False,America/Anchorage,"67.47704, -146.01947"
99903,Meyers Chuck,AK,Alaska,True,,0.0,0.0,2275,Wrangell,"{""02275"": ""100""}",Wrangell,2275,False,False,America/Sitka,"55.82123, -132.05943"
99559,Bethel,AK,Alaska,True,,7857.0,52.3,2050,Bethel,"{""02050"": ""100""}",Bethel,2050,False,False,America/Anchorage,"60.65377, -161.90541"
99585,Marshall,AK,Alaska,True,,261.0,2.0,2158,Kusilvak,"{""02158"": 100}",Kusilvak,2158,False,False,America/Nome,"61.9287, -162.26794"
99611,Kenai,AK,Alaska,True,,15366.0,18.2,2122,Kenai Peninsula,"{""02122"": ""100""}",Kenai Peninsula,2122,False,False,America/Anchorage,"60.71833, -150.98582"
99631,Moose Pass,AK,Alaska,True,,331.0,0.3,2122,Kenai Peninsula,"{""02122"": ""100""}",Kenai Peninsula,2122,False,False,America/Anchorage,"60.6149, -149.40537"
