zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
35553,Double Springs,AL,Alabama,True,,4111.0,11.1,1133,Winston,"{""01133"": ""100""}",Winston,1133,False,False,America/Chicago,"34.12065, -87.38569"
35570,Hamilton,AL,Alabama,True,,11159.0,18.0,1093,Marion,"{""01093"": ""99.93"", ""01075"": ""0.07""}","Marion,Lamar","01093,01075",False,False,America/Chicago,"34.1646, -87.99501"
35577,Natural Bridge,AL,Alabama,True,,48.0,4.9,1133,Winston,"{""01133"": ""100""}",Winston,1133,False,False,America/Chicago,"34.10237, -87.62001"
35584,Sipsey,AL,Alabama,True,,365.0,235.8,1127,Walker,"{""01127"": ""100""}",Walker,1127,False,False,America/Chicago,"33.82199, -87.08699"
35613,Athens,AL,Alabama,True,,26379.0,132.4,1083,Limestone,"{""01083"": ""100""}",Limestone,1083,False,False,America/Chicago,"34.82405, -86.87736"
35645,Killen,AL,Alabama,True,,13654.0,61.1,1077,Lauderdale,"{""01077"": ""100""}",Lauderdale,1077,False,False,America/Chicago,"34.90185, -87.50088"
35760,New Hope,AL,Alabama,True,,4876.0,35.6,1089,Madison,"{""01089"": ""96.33"", ""01095"": ""3.67""}","Madison,Marshall","01089,01095",False,False,America/Chicago,"34.54918, -86.38259"
35805,Huntsville,AL,Alabama,True,,20491.0,865.0,1089,Madison,"{""01089"": ""100""}",Madison,1089,False,False,America/Chicago,"34.70858, -86.62126"
35811,Huntsville,AL,Alabama,True,,27245.0,227.5,1089,Madison,"{""01089"": ""100""}",Madison,1089,False,False,America/Chicago,"34.79694, -86.50602"
35824,Huntsville,AL,Alabama,True,,8298.0,251.0,1089,Madison,"{""01089"": ""100""}",Madison,1089,False,False,America/Chicago,"34.64441, -86.75322"
36025,Elmore,AL,Alabama,True,,6231.0,167.2,1051,Elmore,"{""01051"": ""100""}",Elmore,1051,False,False,America/Chicago,"32.54153, -86.32561"
36343,Gordon,AL,Alabama,True,,1241.0,4.8,1069,Houston,"{""01069"": ""100""}",Houston,1069,False,False,America/Chicago,"31.05905, -85.11599"
36467,Opp,AL,Alabama,True,,9810.0,22.9,1039,Covington,"{""01039"": ""97.06"", ""01031"": ""2.94""}","Covington,Coffee","01039,01031",False,False,America/Chicago,"31.28126, -86.25716"
36523,Coden,AL,Alabama,True,,2809.0,28.3,1097,Mobile,"{""01097"": ""100""}",Mobile,1097,False,False,America/Chicago,"30.37697, -88.16718"
36571,Saraland,AL,Alabama,True,,15474.0,130.9,1097,Mobile,"{""01097"": ""100""}",Mobile,1097,False,False,America/Chicago,"30.84281, -88.09551"
36758,Plantersville,AL,Alabama,True,,1412.0,6.2,1047,Dallas,"{""01047"": ""47.66"", ""01021"": ""31.52"", ""01001"": ""20.82""}","Dallas,Chilton,Autauga","01047,01021,01001",False,False,America/Chicago,"32.6503, -86.89917"
