zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
71661,Parkdale,AR,Arkansas,True,,368.0,1.5,5003,Ashley,"{""05003"": ""96"", ""05017"": ""4""}","Ashley,Chicot","05003,05017",False,False,America/Chicago,"33.14893, -91.54702"
71909,Hot Springs Village,AR,Arkansas,True,,15872.0,75.8,5051,Garland,"{""05051"": ""65.1"", ""05125"": ""34.9""}","Garland,Saline","05051,05125",False,False,America/Chicago,"34.64093, -92.9994"
71944,Grannis,AR,Arkansas,True,,787.0,7.2,5113,Polk,"{""05113"": ""100""}",Polk,5113,False,False,America/Chicago,"34.24348, -94.33411"
71957,Mount Ida,AR,Arkansas,True,,2826.0,7.8,5097,Montgomery,"{""05097"": ""100""}",Montgomery,5097,False,False,America/Chicago,"34.56373, -93.58006"
72035,Conway,AR,Arkansas,True,,1721.0,5308.4,5045,Faulkner,"{""05045"": ""100""}",Faulkner,5045,False,False,America/Chicago,"35.07878, -92.45746"
72328,Crumrod,AR,Arkansas,True,,46.0,0.3,5107,Phillips,"{""05107"": ""62.5"", ""05041"": ""37.5""}","Phillips,Desha","05107,05041",False,False,America/Chicago,"34.05414, -91.02034"
72410,Alicia,AR,Arkansas,True,,383.0,2.1,5075,Lawrence,"{""05075"": ""100""}",Lawrence,5075,False,False,America/Chicago,"35.93352, -91.09787"
72445,Minturn,AR,Arkansas,True,,46.0,39.1,5075,Lawrence,"{""05075"": ""100""}",Lawrence,5075,False,False,America/Chicago,"35.97662, -91.02663"
72524,Cord,AR,Arkansas,True,,402.0,2.8,5063,Independence,"{""05063"": ""100""}",Independence,5063,False,False,America/Chicago,"35.83541, -91.30434"
72530,Drasco,AR,Arkansas,True,,1267.0,4.4,5023,Cleburne,"{""05023"": ""92.4"", ""05137"": ""7.6""}","Cleburne,Stone","05023,05137",False,False,America/Chicago,"35.61818, -91.95341"
72537,Gamaliel,AR,Arkansas,True,,742.0,10.0,5005,Baxter,"{""05005"": ""100""}",Baxter,5005,False,False,America/Chicago,"36.45017, -92.23374"
72672,Pyatt,AR,Arkansas,True,,301.0,16.5,5089,Marion,"{""05089"": ""100""}",Marion,5089,False,False,America/Chicago,"36.28133, -92.83781"
72687,Yellville,AR,Arkansas,True,,6749.0,9.3,5089,Marion,"{""05089"": ""99.94"", ""05009"": ""0.06""}","Marion,Boone","05089,05009",False,False,America/Chicago,"36.26761, -92.71362"
72762,Springdale,AR,Arkansas,True,,41189.0,265.6,5143,Washington,"{""05143"": ""89.64"", ""05007"": ""10.36""}","Washington,Benton","05143,05007",False,False,America/Chicago,"36.18777, -94.22923"
72855,Paris,AR,Arkansas,True,,6263.0,13.4,5083,Logan,"{""05083"": ""99.45"", ""05047"": ""0.55""}","Logan,Franklin","05083,05047",False,False,America/Chicago,"35.25293, -93.67872"
71749,Junction City,AR,Arkansas,True,,2882.0,6.7,5139,Union,"{""05139"": ""81.5"", ""22111"": ""13.03"", ""22027"": ""5.47""}","Union,Union,Claiborne","05139,22111,22027",False,False,America/Chicago,"33.07169, -92.82023"
71823,Ben Lomond,AR,Arkansas,True,,36.0,1.5,5133,Sevier,"{""05133"": ""100""}",Sevier,5133,False,False,America/Chicago,"33.82336, -94.1255"
71826,Bradley,AR,Arkansas,True,,1134.0,3.4,5073,Lafayette,"{""05073"": ""100""}",Lafayette,5073,False,False,America/Chicago,"33.09207, -93.72343"
71827,Buckner,AR,Arkansas,True,,883.0,5.9,5073,Lafayette,"{""05073"": ""79.31"", ""05099"": ""20.69""}","Lafayette,Nevada","05073,05099",False,False,America/Chicago,"33.42497, -93.41143"
71855,Ozan,AR,Arkansas,True,,537.0,3.8,5057,Hempstead,"{""05057"": ""100""}",Hempstead,5057,False,False,America/Chicago,"33.86189, -93.74613"
72051,Fox,AR,Arkansas,True,,683.0,6.3,5137,Stone,"{""05137"": ""100""}",Stone,5137,False,False,America/Chicago,"35.7885, -92.30834"
72157,Springfield,AR,Arkansas,True,,1541.0,11.6,5029,Conway,"{""05029"": ""100""}",Conway,5029,False,False,America/Chicago,"35.27424, -92.55825"
72338,Frenchmans Bayou,AR,Arkansas,True,,7.0,0.1,5093,Mississippi,"{""05093"": ""82.69"", ""47167"": ""17.31""}","Mississippi,Tipton","05093,47167",False,False,America/Chicago,"35.43018, -90.12754"
72466,Smithville,AR,Arkansas,True,,1500.0,4.7,5075,Lawrence,"{""05075"": ""60.77"", ""05135"": ""39.23""}","Lawrence,Sharp","05075,05135",False,False,America/Chicago,"36.05568, -91.32904"
72471,Swifton,AR,Arkansas,True,,1187.0,5.5,5067,Jackson,"{""05067"": ""100""}",Jackson,5067,False,False,America/Chicago,"35.82507, -91.1178"
72472,Trumann,AR,Arkansas,True,,9167.0,20.1,5111,Poinsett,"{""05111"": ""100""}",Poinsett,5111,False,False,America/Chicago,"35.59605, -90.53588"
72565,Oxford,AR,Arkansas,True,,726.0,7.3,5065,Izard,"{""05065"": ""100""}",Izard,5065,False,False,America/Chicago,"36.21624, -91.90981"
72668,Peel,AR,Arkansas,True,,198.0,2.7,5089,Marion,"{""05089"": ""100""}",Marion,5089,False,False,America/Chicago,"36.42446, -92.77192"
72669,Pindall,AR,Arkansas,True,,101.0,22.1,5129,Searcy,"{""05129"": ""100""}",Searcy,5129,False,False,America/Chicago,"36.06472, -92.87615"
72719,Centerton,AR,Arkansas,True,,12698.0,576.7,5007,Benton,"{""05007"": ""100""}",Benton,5007,False,False,America/Chicago,"36.36759, -94.2958"
72841,Harvey,AR,Arkansas,True,,230.0,1.7,5127,Scott,"{""05127"": ""100""}",Scott,5127,False,False,America/Chicago,"34.84201, -93.77213"
72853,Ola,AR,Arkansas,True,,2357.0,15.0,5149,Yell,"{""05149"": ""94.05"", ""05105"": ""5.95""}","Yell,Perry","05149,05105",False,False,America/Chicago,"35.01934, -93.21305"
71658,Montrose,AR,Arkansas,True,,732.0,2.5,5003,Ashley,"{""05003"": ""100""}",Ashley,5003,False,False,America/Chicago,"33.31536, -91.57218"
71820,Alleene,AR,Arkansas,True,,26.0,0.5,5081,Little River,"{""05081"": ""100""}",Little River,5081,False,False,America/Chicago,"33.79444, -94.26818"
71846,Lockesburg,AR,Arkansas,True,,2550.0,4.6,5133,Sevier,"{""05133"": ""99.89"", ""05081"": ""0.11""}","Sevier,Little River","05133,05081",False,False,America/Chicago,"33.94123, -94.12412"
71945,Hatfield,AR,Arkansas,True,,1200.0,6.5,5113,Polk,"{""05113"": ""100""}",Polk,5113,False,False,America/Chicago,"34.48402, -94.33953"
72128,Poyen,AR,Arkansas,True,,889.0,15.3,5053,Grant,"{""05053"": ""100""}",Grant,5053,False,False,America/Chicago,"34.31945, -92.6329"
72132,Redfield,AR,Arkansas,True,,3276.0,20.8,5069,Jefferson,"{""05069"": ""81.52"", ""05053"": ""18.48""}","Jefferson,Grant","05069,05053",False,False,America/Chicago,"34.44933, -92.20559"
72170,Ulm,AR,Arkansas,True,,252.0,10.5,5117,Prairie,"{""05117"": ""100""}",Prairie,5117,False,False,America/Chicago,"34.5805, -91.41977"
72175,Wabbaseka,AR,Arkansas,True,,261.0,2.2,5069,Jefferson,"{""05069"": ""100""}",Jefferson,5069,False,False,America/Chicago,"34.34329, -91.76259"
72320,Brickeys,AR,Arkansas,True,,1546.0,11.2,5077,Lee,"{""05077"": ""100""}",Lee,5077,False,False,America/Chicago,"34.82091, -90.51772"
72325,Clarkedale,AR,Arkansas,True,,59.0,4.1,5035,Crittenden,"{""05035"": ""100""}",Crittenden,5035,False,False,America/Chicago,"35.32231, -90.24605"
72332,Edmondson,AR,Arkansas,True,,125.0,726.0,5035,Crittenden,"{""05035"": ""100""}",Crittenden,5035,False,False,America/Chicago,"35.10196, -90.30882"
72364,Marion,AR,Arkansas,True,,15874.0,84.0,5035,Crittenden,"{""05035"": ""100""}",Crittenden,5035,False,False,America/Chicago,"35.21678, -90.18931"
72365,Marked Tree,AR,Arkansas,True,,2679.0,20.2,5111,Poinsett,"{""05111"": ""100""}",Poinsett,5111,False,False,America/Chicago,"35.51754, -90.43733"
72394,Widener,AR,Arkansas,True,,473.0,2.2,5123,St. Francis,"{""05123"": ""100""}",St. Francis,5123,False,False,America/Chicago,"35.05612, -90.61746"
72628,Deer,AR,Arkansas,True,,1006.0,3.4,5101,Newton,"{""05101"": ""100""}",Newton,5101,False,False,America/Chicago,"35.8346, -93.28745"
72662,Omaha,AR,Arkansas,True,,2729.0,9.0,5009,Boone,"{""05009"": ""100""}",Boone,5009,False,False,America/Chicago,"36.43188, -93.18086"
72753,Prairie Grove,AR,Arkansas,True,,9680.0,41.8,5143,Washington,"{""05143"": ""100""}",Washington,5143,False,False,America/Chicago,"35.93132, -94.32681"
72758,Rogers,AR,Arkansas,True,,41523.0,526.9,5007,Benton,"{""05007"": ""100""}",Benton,5007,False,False,America/Chicago,"36.29972, -94.13837"
72821,Altus,AR,Arkansas,True,,1996.0,21.0,5047,Franklin,"{""05047"": ""82.37"", ""05071"": ""17.63""}","Franklin,Johnson","05047,05071",False,False,America/Chicago,"35.44217, -93.72352"
72928,Branch,AR,Arkansas,True,,937.0,15.5,5047,Franklin,"{""05047"": ""100""}",Franklin,5047,False,False,America/Chicago,"35.28958, -93.93365"
72946,Mountainburg,AR,Arkansas,True,,3760.0,15.1,5033,Crawford,"{""05033"": ""100""}",Crawford,5033,False,False,America/Chicago,"35.6663, -94.14176"
71647,Hermitage,AR,Arkansas,True,,2099.0,3.2,5011,Bradley,"{""05011"": ""100""}",Bradley,5011,False,False,America/Chicago,"33.36482, -92.11938"
71752,McNeil,AR,Arkansas,True,,850.0,8.6,5027,Columbia,"{""05027"": ""100""}",Columbia,5027,False,False,America/Chicago,"33.40086, -93.19552"
71759,Norphlet,AR,Arkansas,True,,655.0,40.0,5139,Union,"{""05139"": ""100""}",Union,5139,False,False,America/Chicago,"33.32098, -92.64412"
71857,Prescott,AR,Arkansas,True,,4765.0,6.8,5099,Nevada,"{""05099"": ""94.77"", ""05057"": ""5.23""}","Nevada,Hempstead","05099,05057",False,False,America/Chicago,"33.80574, -93.34535"
72315,Blytheville,AR,Arkansas,True,,21609.0,33.1,5093,Mississippi,"{""05093"": ""100""}",Mississippi,5093,False,False,America/Chicago,"35.90486, -89.90132"
72331,Earle,AR,Arkansas,True,,3010.0,8.1,5035,Crittenden,"{""05035"": ""96.7"", ""05037"": ""3.3""}","Crittenden,Cross","05035,05037",False,False,America/Chicago,"35.28356, -90.46449"
72428,Etowah,AR,Arkansas,True,,79.0,4.8,5093,Mississippi,"{""05093"": ""100""}",Mississippi,5093,False,False,America/Chicago,"35.7392, -90.22436"
72436,Lafe,AR,Arkansas,True,,987.0,13.1,5055,Greene,"{""05055"": ""90.13"", ""05021"": ""9.87""}","Greene,Clay","05055,05021",False,False,America/Chicago,"36.23593, -90.48108"
72543,Heber Springs,AR,Arkansas,True,,12636.0,43.1,5023,Cleburne,"{""05023"": ""100""}",Cleburne,5023,False,False,America/Chicago,"35.45357, -91.98887"
72569,Poughkeepsie,AR,Arkansas,True,,746.0,6.9,5135,Sharp,"{""05135"": ""100""}",Sharp,5135,False,False,America/Chicago,"36.10293, -91.44522"
72802,Russellville,AR,Arkansas,True,,22415.0,64.3,5115,Pope,"{""05115"": ""100""}",Pope,5115,False,False,America/Chicago,"35.31282, -93.06679"
72949,Ozark,AR,Arkansas,True,,9408.0,10.6,5047,Franklin,"{""05047"": ""96.42"", ""05071"": ""2.2"", ""05083"": ""1.38""}","Franklin,Johnson,Logan","05047,05071,05083",False,False,America/Chicago,"35.57712, -93.80774"
71630,Arkansas City,AR,Arkansas,True,,435.0,4.9,5041,Desha,"{""05041"": ""100""}",Desha,5041,False,False,America/Chicago,"33.62346, -91.20873"
71667,Star City,AR,Arkansas,True,,6617.0,8.1,5079,Lincoln,"{""05079"": ""97.15"", ""05025"": ""2.85""}","Lincoln,Cleveland","05079,05025",False,False,America/Chicago,"33.92544, -91.83073"
71845,Lewisville,AR,Arkansas,True,,1961.0,3.6,5073,Lafayette,"{""05073"": ""100""}",Lafayette,5073,False,False,America/Chicago,"33.32436, -93.62769"
71854,Texarkana,AR,Arkansas,True,,36538.0,50.7,5091,Miller,"{""05091"": ""100""}",Miller,5091,False,False,America/Chicago,"33.44698, -93.9015"
71929,Bismarck,AR,Arkansas,True,,4341.0,17.6,5059,Hot Spring,"{""05059"": ""100""}",Hot Spring,5059,False,False,America/Chicago,"34.30584, -93.16262"
71970,Story,AR,Arkansas,True,,809.0,4.0,5097,Montgomery,"{""05097"": ""100""}",Montgomery,5097,False,False,America/Chicago,"34.66455, -93.49157"
71972,Vandervoort,AR,Arkansas,True,,355.0,4.7,5113,Polk,"{""05113"": ""100""}",Polk,5113,False,False,America/Chicago,"34.3867, -94.27142"
72029,Clarendon,AR,Arkansas,True,,1610.0,12.3,5095,Monroe,"{""05095"": ""100""}",Monroe,5095,False,False,America/Chicago,"34.70687, -91.23381"
72037,Coy,AR,Arkansas,True,,30.0,77.2,5085,Lonoke,"{""05085"": ""100""}",Lonoke,5085,False,False,America/Chicago,"34.53896, -91.8737"
