zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
85013,Phoenix,AZ,Arizona,True,,21028.0,2183.9,4013,Maricopa,"{""04013"": ""100""}",Maricopa,4013,False,False,America/Phoenix,"33.51007, -112.08287"
85042,Phoenix,AZ,Arizona,True,,47957.0,1231.8,4013,Maricopa,"{""04013"": ""100""}",Maricopa,4013,False,False,America/Phoenix,"33.36882, -112.04246"
85045,Phoenix,AZ,Arizona,True,,7008.0,747.9,4013,Maricopa,"{""04013"": ""100""}",Maricopa,4013,False,False,America/Phoenix,"33.29917, -112.10853"
85123,Arizona City,AZ,Arizona,True,,11265.0,163.5,4021,Pinal,"{""04021"": ""100""}",Pinal,4021,False,False,America/Phoenix,"32.71578, -111.69557"
85137,Kearny,AZ,Arizona,True,,2535.0,4.7,4021,Pinal,"{""04021"": ""100""}",Pinal,4021,False,False,America/Phoenix,"33.13733, -111.00194"
85324,Black Canyon City,AZ,Arizona,True,,2825.0,3.7,4025,Yavapai,"{""04025"": ""100""}",Yavapai,4025,False,False,America/Phoenix,"34.11916, -112.04426"
85344,Parker,AZ,Arizona,True,,10495.0,9.5,4012,La Paz,"{""04012"": ""100""}",La Paz,4012,False,False,America/Phoenix,"34.07552, -114.22197"
85348,Salome,AZ,Arizona,True,,2537.0,2.2,4012,La Paz,"{""04012"": ""100""}",La Paz,4012,False,False,America/Phoenix,"33.70873, -113.71442"
85357,Wenden,AZ,Arizona,True,,408.0,0.3,4012,La Paz,"{""04012"": ""100""}",La Paz,4012,False,False,America/Phoenix,"33.97768, -113.50324"
85381,Peoria,AZ,Arizona,True,,24997.0,1451.5,4013,Maricopa,"{""04013"": ""100""}",Maricopa,4013,False,False,America/Phoenix,"33.60956, -112.23168"
85546,Safford,AZ,Arizona,True,,20610.0,11.8,4009,Graham,"{""04009"": ""100""}",Graham,4009,False,False,America/Phoenix,"32.7113, -109.58411"
85551,Solomon,AZ,Arizona,True,,447.0,3.2,4009,Graham,"{""04009"": ""100""}",Graham,4009,False,False,America/Phoenix,"32.72087, -109.58365"
85619,Mount Lemmon,AZ,Arizona,True,,41.0,0.1,4019,Pima,"{""04019"": ""100""}",Pima,4019,False,False,America/Phoenix,"32.4076, -110.7332"
85736,Tucson,AZ,Arizona,True,,4445.0,4.9,4019,Pima,"{""04019"": ""100""}",Pima,4019,False,False,America/Phoenix,"31.90108, -111.37022"
86432,Littlefield,AZ,Arizona,True,,3444.0,0.4,4015,Mohave,"{""04015"": ""100""}",Mohave,4015,False,False,America/Phoenix,"36.46122, -113.58931"
86442,Bullhead City,AZ,Arizona,True,,33895.0,343.7,4015,Mohave,"{""04015"": ""100""}",Mohave,4015,False,False,America/Phoenix,"35.08682, -114.56705"
86504,Fort Defiance,AZ,Arizona,True,,7201.0,8.6,4001,Apache,"{""04001"": ""88.56"", ""35031"": ""11.44""}","Apache,McKinley","04001,35031",False,False,America/Denver,"35.93147, -109.13646"
85050,Phoenix,AZ,Arizona,True,,32039.0,847.9,4013,Maricopa,"{""04013"": ""100""}",Maricopa,4013,False,False,America/Phoenix,"33.68633, -111.99631"
85172,Stanfield,AZ,Arizona,True,,1991.0,11.7,4021,Pinal,"{""04021"": ""100""}",Pinal,4021,False,False,America/Phoenix,"32.88608, -111.95379"
85543,Pima,AZ,Arizona,True,,3552.0,2.3,4009,Graham,"{""04009"": ""100""}",Graham,4009,False,False,America/Phoenix,"32.98253, -109.96759"
85605,Bowie,AZ,Arizona,True,,540.0,0.6,4003,Cochise,"{""04003"": ""100""}",Cochise,4003,False,False,America/Phoenix,"32.29938, -109.47785"
85623,Oracle,AZ,Arizona,True,,5190.0,5.8,4021,Pinal,"{""04021"": ""100""}",Pinal,4021,False,False,America/Phoenix,"32.70641, -110.8053"
85645,Amado,AZ,Arizona,True,,2480.0,4.7,4019,Pima,"{""04019"": ""87.36"", ""04023"": ""12.64""}","Pima,Santa Cruz","04019,04023",False,False,America/Phoenix,"31.70306, -111.15952"
85901,Show Low,AZ,Arizona,True,,18096.0,26.8,4017,Navajo,"{""04017"": ""96.74"", ""04001"": ""3.26""}","Navajo,Apache","04017,04001",False,False,America/Phoenix,"34.29987, -109.99994"
85924,Concho,AZ,Arizona,True,,2660.0,1.3,4001,Apache,"{""04001"": ""100""}",Apache,4001,False,False,America/Phoenix,"34.57457, -109.66171"
86023,Grand Canyon,AZ,Arizona,True,,2538.0,3.6,4005,Coconino,"{""04005"": ""100""}",Coconino,4005,False,False,America/Phoenix,"36.05726, -112.07676"
86413,Golden Valley,AZ,Arizona,True,,13173.0,7.2,4015,Mohave,"{""04015"": ""100""}",Mohave,4015,False,False,America/Phoenix,"35.20499, -114.33208"
86556,Tsaile,AZ,Arizona,True,,2324.0,3.7,4001,Apache,"{""04001"": ""100""}",Apache,4001,False,False,America/Denver,"36.26902, -109.21012"
85041,Phoenix,AZ,Arizona,True,,62152.0,1511.9,4013,Maricopa,"{""04013"": ""100""}",Maricopa,4013,False,False,America/Phoenix,"33.38586, -112.10884"
85135,Hayden,AZ,Arizona,True,,490.0,429.2,4007,Gila,"{""04007"": ""100""}",Gila,4007,False,False,America/Phoenix,"33.00418, -110.786"
