zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
90024,Los Angeles,CA,California,True,,51627.0,6788.2,6037,Los Angeles,"{""06037"": ""100""}",Los Angeles,6037,False,False,America/Los_Angeles,"34.06568, -118.43502"
90059,Los Angeles,CA,California,True,,46185.0,5381.7,6037,Los Angeles,"{""06037"": ""100""}",Los Angeles,6037,False,False,America/Los_Angeles,"33.92621, -118.24964"
90068,Los Angeles,CA,California,True,,21092.0,1051.1,6037,Los Angeles,"{""06037"": ""100""}",Los Angeles,6037,False,False,America/Los_Angeles,"34.12837, -118.32828"
90220,Compton,CA,California,True,,52817.0,2950.9,6037,Los Angeles,"{""06037"": ""100""}",Los Angeles,6037,False,False,America/Los_Angeles,"33.88078, -118.23607"
90232,Culver City,CA,California,True,,14780.0,2709.5,6037,Los Angeles,"{""06037"": ""100""}",Los Angeles,6037,False,False,America/Los_Angeles,"34.01879, -118.39182"
90248,Gardena,CA,California,True,,11607.0,954.7,6037,Los Angeles,"{""06037"": ""100""}",Los Angeles,6037,False,False,America/Los_Angeles,"33.87669, -118.2835"
90277,Redondo Beach,CA,California,True,,34827.0,3754.1,6037,Los Angeles,"{""06037"": ""100""}",Los Angeles,6037,False,False,America/Los_Angeles,"33.83073, -118.3846"
90503,Torrance,CA,California,True,,44605.0,3246.3,6037,Los Angeles,"{""06037"": ""100""}",Los Angeles,6037,False,False,America/Los_Angeles,"33.84074, -118.35361"
90604,Whittier,CA,California,True,,42911.0,3888.1,6037,Los Angeles,"{""06037"": ""100""}",Los Angeles,6037,False,False,America/Los_Angeles,"33.93012, -118.01225"
90631,La Habra,CA,California,True,,69064.0,1918.8,6059,Orange,"{""06059"": ""91.08"", ""06037"": ""8.92""}","Orange,Los Angeles","06059,06037",False,False,America/Los_Angeles,"33.94248, -117.95134"
