zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
80105,Deer Trail,CO,Colorado,True,,1198.0,0.9,8005,Arapahoe,"{""08005"": ""64.3"", ""08039"": ""32.71"", ""08001"": ""2.99""}","Arapahoe,Elbert,Adams","08005,08039,08001",False,False,America/Denver,"39.66096, -103.96166"
80118,Larkspur,CO,Colorado,True,,6476.0,18.3,8035,Douglas,"{""08035"": ""100""}",Douglas,8035,False,False,America/Denver,"39.19239, -104.89199"
80120,Littleton,CO,Colorado,True,,31891.0,1483.5,8005,Arapahoe,"{""08005"": ""99.93"", ""08035"": ""0.07""}","Arapahoe,Douglas","08005,08035",False,False,America/Denver,"39.5933, -105.00956"
80121,Littleton,CO,Colorado,True,,19217.0,990.7,8005,Arapahoe,"{""08005"": ""100""}",Arapahoe,8005,False,False,America/Denver,"39.61115, -104.9532"
80123,Littleton,CO,Colorado,True,,47821.0,1556.8,8059,Jefferson,"{""08059"": ""48.92"", ""08031"": ""26.72"", ""08005"": ""24.36""}","Jefferson,Denver,Arapahoe","08059,08031,08005",False,False,America/Denver,"39.61583, -105.06888"
80227,Denver,CO,Colorado,True,,34878.0,1813.3,8059,Jefferson,"{""08059"": ""70.93"", ""08031"": ""29.07""}","Jefferson,Denver","08059,08031",False,False,America/Denver,"39.66717, -105.08962"
80235,Denver,CO,Colorado,True,,8804.0,932.1,8059,Jefferson,"{""08059"": ""56.27"", ""08031"": ""43.73""}","Jefferson,Denver","08059,08031",False,False,America/Denver,"39.6461, -105.08993"
80237,Denver,CO,Colorado,True,,21890.0,2349.9,8031,Denver,"{""08031"": ""100"", ""08005"": ""0""}","Denver,Arapahoe","08031,08005",False,False,America/Denver,"39.64007, -104.90117"
80264,Denver,CO,Colorado,True,,0.0,0.0,8031,Denver,"{""08031"": ""0""}",Denver,8031,False,False,America/Denver,"39.74248, -104.98548"
80423,Bond,CO,Colorado,True,,251.0,0.6,8037,Eagle,"{""08037"": ""85.21"", ""08049"": ""14.79""}","Eagle,Grand","08037,08049",False,False,America/Denver,"39.89446, -106.59512"
80510,Allenspark,CO,Colorado,True,,288.0,1.7,8013,Boulder,"{""08013"": ""100""}",Boulder,8013,False,False,America/Denver,"40.20871, -105.57862"
