zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
6042,Manchester,CT,Connecticut,True,,23144.0,856.3,9003,Hartford,"{""09003"": ""100""}",Hartford,9003,False,False,America/New_York,"41.7975, -72.52692"
6088,East Windsor,CT,Connecticut,True,,4556.0,156.3,9003,Hartford,"{""09003"": ""100""}",Hartford,9003,False,False,America/New_York,"41.90581, -72.59645"
6089,Weatogue,CT,Connecticut,True,,3100.0,446.2,9003,Hartford,"{""09003"": ""100""}",Hartford,9003,False,False,America/New_York,"41.83733, -72.82288"
6237,Columbia,CT,Connecticut,True,,5444.0,97.5,9013,Tolland,"{""09013"": ""100""}",Tolland,9013,False,False,America/New_York,"41.69423, -72.30725"
6241,Dayville,CT,Connecticut,True,,6386.0,89.9,9015,Windham,"{""09015"": ""100""}",Windham,9015,False,False,America/New_York,"41.85632, -71.84839"
6266,South Windham,CT,Connecticut,True,,562.0,228.9,9015,Windham,"{""09015"": ""100""}",Windham,9015,False,False,America/New_York,"41.67271, -72.17021"
6340,Groton,CT,Connecticut,True,,30403.0,512.7,9011,New London,"{""09011"": ""100""}",New London,9011,False,False,America/New_York,"41.3571, -72.04526"
6437,Guilford,CT,Connecticut,True,,22216.0,182.2,9009,New Haven,"{""09009"": ""100""}",New Haven,9009,False,False,America/New_York,"41.33452, -72.70043"
6482,Sandy Hook,CT,Connecticut,True,,11251.0,213.1,9001,Fairfield,"{""09001"": ""100""}",Fairfield,9001,False,False,America/New_York,"41.40665, -73.24489"
6484,Shelton,CT,Connecticut,True,,41141.0,518.6,9001,Fairfield,"{""09001"": ""100""}",Fairfield,9001,False,False,America/New_York,"41.30601, -73.13829"
6830,Greenwich,CT,Connecticut,True,,25036.0,711.2,9001,Fairfield,"{""09001"": ""100""}",Fairfield,9001,False,False,America/New_York,"41.04803, -73.62379"
6023,East Berlin,CT,Connecticut,True,,1558.0,656.5,9003,Hartford,"{""09003"": ""100""}",Hartford,9003,False,False,America/New_York,"41.61371, -72.71994"
6032,Farmington,CT,Connecticut,True,,17678.0,300.7,9003,Hartford,"{""09003"": ""100""}",Hartford,9003,False,False,America/New_York,"41.72527, -72.83124"
6254,North Franklin,CT,Connecticut,True,,1778.0,35.2,9011,New London,"{""09011"": ""100""}",New London,9011,False,False,America/New_York,"41.61527, -72.14322"
6263,Rogers,CT,Connecticut,True,,302.0,505.2,9015,Windham,"{""09015"": ""100""}",Windham,9015,False,False,America/New_York,"41.84039, -71.90617"
