zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
20009,Washington,DC,District of Columbia,True,,52338.0,15373.8,11001,District of Columbia,"{""11001"": ""100""}",District of Columbia,11001,False,False,America/New_York,"38.91996, -77.03752"
20245,Washington,DC,District of Columbia,True,,0.0,0.0,11001,District of Columbia,"{""11001"": ""0""}",District of Columbia,11001,False,False,America/New_York,"38.89337, -77.0446"
20553,Washington,DC,District of Columbia,True,,0.0,0.0,11001,District of Columbia,"{""11001"": ""0""}",District of Columbia,11001,False,False,America/New_York,"38.88695, -77.02297"
20373,Naval Anacost Annex,DC,District of Columbia,True,,141.0,149.9,11001,District of Columbia,"{""11001"": ""100""}",District of Columbia,11001,False,False,America/New_York,"38.8584, -77.00804"
20535,Washington,DC,District of Columbia,True,,0.0,0.0,11001,District of Columbia,"{""11001"": ""100""}",District of Columbia,11001,False,False,America/New_York,"38.89447, -77.02485"
20019,Washington,DC,District of Columbia,True,,63829.0,3936.4,11001,District of Columbia,"{""11001"": ""100""}",District of Columbia,11001,False,False,America/New_York,"38.8918, -76.9427"
20230,Washington,DC,District of Columbia,True,,0.0,0.0,11001,District of Columbia,"{""11001"": ""0""}",District of Columbia,11001,False,False,America/New_York,"38.89379, -77.0328"
20012,Washington,DC,District of Columbia,True,,17576.0,2997.7,11001,District of Columbia,"{""11001"": ""100""}",District of Columbia,11001,False,False,America/New_York,"38.97704, -77.03195"
20036,Washington,DC,District of Columbia,True,,5455.0,6326.7,11001,District of Columbia,"{""11001"": ""100""}",District of Columbia,11001,False,False,America/New_York,"38.90696, -77.04166"
20565,Washington,DC,District of Columbia,True,,0.0,0.0,11001,District of Columbia,"{""11001"": ""0""}",District of Columbia,11001,False,False,America/New_York,"38.89062, -77.01939"
20010,Washington,DC,District of Columbia,True,,34223.0,12207.4,11001,District of Columbia,"{""11001"": ""100""}",District of Columbia,11001,False,False,America/New_York,"38.93238, -77.02995"
20011,Washington,DC,District of Columbia,True,,69710.0,5524.1,11001,District of Columbia,"{""11001"": ""100""}",District of Columbia,11001,False,False,America/New_York,"38.95241, -77.02278"
20045,Washington,DC,District of Columbia,True,,0.0,0.0,11001,District of Columbia,"{""11001"": ""0""}",District of Columbia,11001,False,False,America/New_York,"38.89673, -77.0308"
20004,Washington,DC,District of Columbia,True,,1923.0,2134.2,11001,District of Columbia,"{""11001"": ""100""}",District of Columbia,11001,False,False,America/New_York,"38.89485, -77.02861"
20064,Washington,DC,District of Columbia,True,,2175.0,4327.2,11001,District of Columbia,"{""11001"": ""100""}",District of Columbia,11001,False,False,America/New_York,"38.93636, -76.99921"
20053,Washington,DC,District of Columbia,True,,0.0,0.0,11001,District of Columbia,"{""11001"": ""0""}",District of Columbia,11001,False,False,America/New_York,"38.88419, -77.011"
20405,Washington,DC,District of Columbia,True,,0.0,0.0,11001,District of Columbia,"{""11001"": ""0""}",District of Columbia,11001,False,False,America/New_York,"38.89638, -77.04259"
20007,Washington,DC,District of Columbia,True,,27201.0,3498.5,11001,District of Columbia,"{""11001"": ""100""}",District of Columbia,11001,False,False,America/New_York,"38.91418, -77.07866"
20024,Washington,DC,District of Columbia,True,,14530.0,2145.2,11001,District of Columbia,"{""11001"": ""100""}",District of Columbia,11001,False,False,America/New_York,"38.87826, -77.02758"
