zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
32181,Pomona Park,FL,Florida,True,,2558.0,39.4,12107,Putnam,"{""12107"": ""100""}",Putnam,12107,False,False,America/New_York,"29.50399, -81.60013"
32228,Jacksonville,FL,Florida,True,,470.0,1402.2,12031,Duval,"{""12031"": ""100""}",Duval,12031,False,False,America/New_York,"30.39158, -81.40022"
32246,Jacksonville,FL,Florida,True,,51589.0,1056.2,12031,Duval,"{""12031"": ""100""}",Duval,12031,False,False,America/New_York,"30.29399, -81.51797"
32254,Jacksonville,FL,Florida,True,,13431.0,418.1,12031,Duval,"{""12031"": ""100""}",Duval,12031,False,False,America/New_York,"30.34156, -81.7358"
32332,Gretna,FL,Florida,True,,1077.0,92.7,12039,Gadsden,"{""12039"": ""100""}",Gadsden,12039,False,False,America/New_York,"30.61005, -84.66868"
32714,Altamonte Springs,FL,Florida,True,,37981.0,1713.9,12117,Seminole,"{""12117"": ""100""}",Seminole,12117,False,False,America/New_York,"28.66246, -81.41166"
32726,Eustis,FL,Florida,True,,22485.0,710.3,12069,Lake,"{""12069"": ""100""}",Lake,12069,False,False,America/New_York,"28.85503, -81.67891"
32751,Maitland,FL,Florida,True,,22471.0,1233.8,12095,Orange,"{""12095"": ""70.74"", ""12117"": ""29.26""}","Orange,Seminole","12095,12117",False,False,America/New_York,"28.63118, -81.36412"
32903,Indialantic,FL,Florida,True,,14557.0,1521.2,12009,Brevard,"{""12009"": ""100""}",Brevard,12009,False,False,America/New_York,"28.10847, -80.58719"
33004,Dania,FL,Florida,True,,16082.0,1086.6,12011,Broward,"{""12011"": ""100""}",Broward,12011,False,False,America/New_York,"26.0579, -80.13852"
33063,Pompano Beach,FL,Florida,True,,54707.0,2397.5,12011,Broward,"{""12011"": ""100""}",Broward,12011,False,False,America/New_York,"26.25012, -80.20883"
33176,Miami,FL,Florida,True,,52288.0,1641.9,12086,Miami-Dade,"{""12086"": ""100""}",Miami-Dade,12086,False,False,America/New_York,"25.65861, -80.35895"
33326,Fort Lauderdale,FL,Florida,True,,33155.0,1423.5,12011,Broward,"{""12011"": ""100""}",Broward,12011,False,False,America/New_York,"26.11591, -80.36819"
33331,Fort Lauderdale,FL,Florida,True,,25718.0,800.7,12011,Broward,"{""12011"": ""100""}",Broward,12011,False,False,America/New_York,"26.05977, -80.36798"
33418,Palm Beach Gardens,FL,Florida,True,,40926.0,340.9,12099,Palm Beach,"{""12099"": ""100""}",Palm Beach,12099,False,False,America/New_York,"26.86073, -80.16693"
33446,Delray Beach,FL,Florida,True,,26006.0,472.9,12099,Palm Beach,"{""12099"": ""100""}",Palm Beach,12099,False,False,America/New_York,"26.45044, -80.18621"
33570,Ruskin,FL,Florida,True,,29967.0,293.3,12057,Hillsborough,"{""12057"": ""100""}",Hillsborough,12057,False,False,America/New_York,"27.68991, -82.45855"
33629,Tampa,FL,Florida,True,,27061.0,2170.4,12057,Hillsborough,"{""12057"": ""100""}",Hillsborough,12057,False,False,America/New_York,"27.92192, -82.51005"
33703,Saint Petersburg,FL,Florida,True,,25699.0,1973.6,12103,Pinellas,"{""12103"": ""100""}",Pinellas,12103,False,False,America/New_York,"27.81756, -82.62438"
33707,Saint Petersburg,FL,Florida,True,,24767.0,1815.7,12103,Pinellas,"{""12103"": ""100""}",Pinellas,12103,False,False,America/New_York,"27.75552, -82.72564"
33815,Lakeland,FL,Florida,True,,15148.0,788.9,12105,Polk,"{""12105"": ""100""}",Polk,12105,False,False,America/New_York,"28.04069, -81.99645"
33847,Homeland,FL,Florida,True,,176.0,63.0,12105,Polk,"{""12105"": ""100""}",Polk,12105,False,False,America/New_York,"27.80458, -81.82327"
33904,Cape Coral,FL,Florida,True,,31086.0,1234.1,12071,Lee,"{""12071"": ""100""}",Lee,12071,False,False,America/New_York,"26.57594, -81.94538"
33935,Labelle,FL,Florida,True,,23513.0,26.6,12051,Hendry,"{""12051"": ""84.14"", ""12043"": ""15.86""}","Hendry,Glades","12051,12043",False,False,America/New_York,"26.75919, -81.43303"
34219,Parrish,FL,Florida,True,,24750.0,67.3,12081,Manatee,"{""12081"": ""100""}",Manatee,12081,False,False,America/New_York,"27.58667, -82.29926"
34473,Ocala,FL,Florida,True,,19998.0,201.6,12083,Marion,"{""12083"": ""100""}",Marion,12083,False,False,America/New_York,"29.00584, -82.18283"
34480,Ocala,FL,Florida,True,,19188.0,219.7,12083,Marion,"{""12083"": ""100""}",Marion,12083,False,False,America/New_York,"29.10567, -82.09793"
34683,Palm Harbor,FL,Florida,True,,33514.0,1227.9,12103,Pinellas,"{""12103"": ""100""}",Pinellas,12103,False,False,America/New_York,"28.08632, -82.76003"
34785,Wildwood,FL,Florida,True,,38097.0,192.9,12119,Sumter,"{""12119"": ""100""}",Sumter,12119,False,False,America/New_York,"28.83925, -82.04013"
32189,Satsuma,FL,Florida,True,,5874.0,92.9,12107,Putnam,"{""12107"": ""100""}",Putnam,12107,False,False,America/New_York,"29.55561, -81.65121"
32204,Jacksonville,FL,Florida,True,,7547.0,1073.2,12031,Duval,"{""12031"": ""100""}",Duval,12031,False,False,America/New_York,"30.31653, -81.68072"
32209,Jacksonville,FL,Florida,True,,34945.0,1445.0,12031,Duval,"{""12031"": ""100""}",Duval,12031,False,False,America/New_York,"30.36106, -81.69551"
32221,Jacksonville,FL,Florida,True,,30900.0,332.3,12031,Duval,"{""12031"": ""100""}",Duval,12031,False,False,America/New_York,"30.25633, -81.8542"
32336,Lamont,FL,Florida,True,,1128.0,2.4,12065,Jefferson,"{""12065"": ""62.26"", ""12079"": ""26.17"", ""12123"": ""11.57""}","Jefferson,Madison,Taylor","12065,12079,12123",False,False,America/New_York,"30.25375, -83.85901"
32440,Graceville,FL,Florida,True,,7777.0,28.7,12063,Jackson,"{""12063"": ""83.41"", ""12059"": ""16.59""}","Jackson,Holmes","12063,12059",False,False,America/Chicago,"30.92009, -85.52475"
32577,Molino,FL,Florida,True,,4390.0,25.5,12033,Escambia,"{""12033"": ""100""}",Escambia,12033,False,False,America/Chicago,"30.72988, -87.36793"
32579,Shalimar,FL,Florida,True,,10338.0,913.8,12091,Okaloosa,"{""12091"": ""100""}",Okaloosa,12091,False,False,America/Chicago,"30.44928, -86.57499"
32617,Anthony,FL,Florida,True,,4541.0,59.3,12083,Marion,"{""12083"": ""100""}",Marion,12083,False,False,America/New_York,"29.30708, -82.07627"
32668,Morriston,FL,Florida,True,,4678.0,14.9,12075,Levy,"{""12075"": ""83.94"", ""12083"": ""16.06""}","Levy,Marion","12075,12083",False,False,America/New_York,"29.26626, -82.49037"
32709,Christmas,FL,Florida,True,,1832.0,6.1,12095,Orange,"{""12095"": ""100""}",Orange,12095,False,False,America/New_York,"28.51106, -80.9777"
32724,Deland,FL,Florida,True,,36961.0,150.6,12127,Volusia,"{""12127"": ""100""}",Volusia,12127,False,False,America/New_York,"29.05646, -81.22875"
32829,Orlando,FL,Florida,True,,20376.0,806.4,12095,Orange,"{""12095"": ""100""}",Orange,12095,False,False,America/New_York,"28.48021, -81.24605"
32837,Orlando,FL,Florida,True,,51310.0,884.9,12095,Orange,"{""12095"": ""100""}",Orange,12095,False,False,America/New_York,"28.37847, -81.42933"
32926,Cocoa,FL,Florida,True,,21915.0,166.8,12009,Brevard,"{""12009"": ""100""}",Brevard,12009,False,False,America/New_York,"28.39227, -80.81718"
32948,Fellsmere,FL,Florida,True,,7564.0,11.0,12061,Indian River,"{""12061"": ""99.23"", ""12009"": ""0.77""}","Indian River,Brevard","12061,12009",False,False,America/New_York,"27.88946, -80.73348"
33028,Pembroke Pines,FL,Florida,True,,26848.0,1802.9,12011,Broward,"{""12011"": ""100""}",Broward,12011,False,False,America/New_York,"26.01853, -80.34488"
33040,Key West,FL,Florida,True,,34471.0,719.2,12087,Monroe,"{""12087"": ""100""}",Monroe,12087,False,False,America/New_York,"24.58547, -81.75451"
33071,Coral Springs,FL,Florida,True,,39402.0,2035.7,12011,Broward,"{""12011"": ""100""}",Broward,12011,False,False,America/New_York,"26.24384, -80.2662"
33109,Miami Beach,FL,Florida,True,,408.0,502.8,12086,Miami-Dade,"{""12086"": ""100""}",Miami-Dade,12086,False,False,America/New_York,"25.76135, -80.14247"
33154,Miami Beach,FL,Florida,True,,14634.0,3201.1,12086,Miami-Dade,"{""12086"": ""100""}",Miami-Dade,12086,False,False,America/New_York,"25.88276, -80.13443"
33306,Fort Lauderdale,FL,Florida,True,,3124.0,1425.7,12011,Broward,"{""12011"": ""100""}",Broward,12011,False,False,America/New_York,"26.16559, -80.11386"
33461,Lake Worth,FL,Florida,True,,47735.0,2558.4,12099,Palm Beach,"{""12099"": ""100""}",Palm Beach,12099,False,False,America/New_York,"26.62016, -80.09097"
33527,Dover,FL,Florida,True,,15092.0,187.4,12057,Hillsborough,"{""12057"": ""100""}",Hillsborough,12057,False,False,America/New_York,"27.97556, -82.21256"
33544,Wesley Chapel,FL,Florida,True,,28187.0,317.2,12101,Pasco,"{""12101"": ""100""}",Pasco,12101,False,False,America/New_York,"28.24404, -82.36602"
33812,Lakeland,FL,Florida,True,,12998.0,513.3,12105,Polk,"{""12105"": ""100""}",Polk,12105,False,False,America/New_York,"27.97286, -81.89308"
33983,Punta Gorda,FL,Florida,True,,15100.0,547.3,12015,Charlotte,"{""12015"": ""100""}",Charlotte,12015,False,False,America/New_York,"27.0072, -82.01518"
34114,Naples,FL,Florida,True,,18223.0,34.8,12021,Collier,"{""12021"": ""100""}",Collier,12021,False,False,America/New_York,"25.96745, -81.55033"
34470,Ocala,FL,Florida,True,,19794.0,657.0,12083,Marion,"{""12083"": ""100""}",Marion,12083,False,False,America/New_York,"29.19891, -82.08742"
34488,Silver Springs,FL,Florida,True,,10424.0,41.9,12083,Marion,"{""12083"": ""100""}",Marion,12083,False,False,America/New_York,"29.22164, -81.93927"
34736,Groveland,FL,Florida,True,,19271.0,58.9,12069,Lake,"{""12069"": ""100""}",Lake,12069,False,False,America/New_York,"28.55445, -81.89625"
34746,Kissimmee,FL,Florida,True,,44307.0,399.8,12097,Osceola,"{""12097"": ""100""}",Osceola,12097,False,False,America/New_York,"28.24149, -81.44058"
34769,Saint Cloud,FL,Florida,True,,24995.0,1056.5,12097,Osceola,"{""12097"": ""100""}",Osceola,12097,False,False,America/New_York,"28.24511, -81.29112"
34974,Okeechobee,FL,Florida,True,,23952.0,23.0,12093,Okeechobee,"{""12093"": ""85.08"", ""12043"": ""10.6"", ""12055"": ""2.38"", ""12085"": ""1.95""}","Okeechobee,Glades,Highlands,Martin","12093,12043,12055,12085",False,False,America/New_York,"27.14475, -80.94548"
32063,Macclenny,FL,Florida,True,,13482.0,50.9,12003,Baker,"{""12003"": ""100""}",Baker,12003,False,False,America/New_York,"30.24678, -82.11208"
32095,Saint Augustine,FL,Florida,True,,11800.0,91.5,12109,St. Johns,"{""12109"": ""100""}",St. Johns,12109,False,False,America/New_York,"30.01101, -81.41077"
32218,Jacksonville,FL,Florida,True,,64007.0,255.4,12031,Duval,"{""12031"": ""100""}",Duval,12031,False,False,America/New_York,"30.48665, -81.66922"
32258,Jacksonville,FL,Florida,True,,34036.0,703.5,12031,Duval,"{""12031"": ""100""}",Duval,12031,False,False,America/New_York,"30.13755, -81.54844"
32304,Tallahassee,FL,Florida,True,,49927.0,1230.7,12073,Leon,"{""12073"": ""100""}",Leon,12073,False,False,America/New_York,"30.45363, -84.35159"
32427,Caryville,FL,Florida,True,,1034.0,8.6,12133,Washington,"{""12133"": ""100""}",Washington,12133,False,False,America/Chicago,"30.71225, -85.80153"
32443,Greenwood,FL,Florida,True,,3165.0,20.7,12063,Jackson,"{""12063"": ""100""}",Jackson,12063,False,False,America/Chicago,"30.86671, -85.11533"
32465,Wewahitchka,FL,Florida,True,,7962.0,13.0,12045,Gulf,"{""12045"": ""100""}",Gulf,12045,False,False,America/Chicago,"30.00212, -85.17799"
32534,Pensacola,FL,Florida,True,,14742.0,586.3,12033,Escambia,"{""12033"": ""100""}",Escambia,12033,False,False,America/Chicago,"30.5329, -87.28294"
32618,Archer,FL,Florida,True,,8264.0,35.1,12001,Alachua,"{""12001"": ""76.1"", ""12075"": ""23.9""}","Alachua,Levy","12001,12075",False,False,America/New_York,"29.54033, -82.51501"
32626,Chiefland,FL,Florida,True,,8782.0,16.6,12075,Levy,"{""12075"": ""100""}",Levy,12075,False,False,America/New_York,"29.43104, -82.89024"
