zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
31031,Gordon,GA,Georgia,True,,6780.0,19.6,13319,Wilkinson,"{""13319"": ""63.75"", ""13009"": ""23.75"", ""13289"": ""8.17"", ""13169"": ""4.33""}","Wilkinson,Baldwin,Twiggs,Jones","13319,13009,13289,13169",False,False,America/New_York,"32.87127, -83.32837"
31775,Omega,GA,Georgia,True,,3332.0,28.2,13277,Tift,"{""13277"": ""52.7"", ""13071"": ""38"", ""13321"": ""9.3""}","Tift,Colquitt,Worth","13277,13071,13321",False,False,America/New_York,"31.32999, -83.59738"
31778,Pavo,GA,Georgia,True,,2277.0,8.3,13275,Thomas,"{""13275"": ""50.23"", ""13027"": ""46.06"", ""13071"": ""3.71""}","Thomas,Brooks,Colquitt","13275,13027,13071",False,False,America/New_York,"30.97494, -83.70907"
31804,Cataula,GA,Georgia,True,,6186.0,45.4,13145,Harris,"{""13145"": ""100""}",Harris,13145,False,False,America/New_York,"32.66248, -84.88516"
39834,Climax,GA,Georgia,True,,2197.0,7.0,13087,Decatur,"{""13087"": ""100""}",Decatur,13087,False,False,America/New_York,"30.89334, -84.42558"
30072,Pine Lake,GA,Georgia,True,,730.0,1432.1,13089,DeKalb,"{""13089"": ""100""}",DeKalb,13089,False,False,America/New_York,"33.79136, -84.20593"
30096,Duluth,GA,Georgia,True,,68691.0,1159.1,13135,Gwinnett,"{""13135"": ""100""}",Gwinnett,13135,False,False,America/New_York,"33.97681, -84.14824"
30274,Riverdale,GA,Georgia,True,,35861.0,1310.2,13063,Clayton,"{""13063"": ""100""}",Clayton,13063,False,False,America/New_York,"33.55372, -84.40063"
30275,Sargent,GA,Georgia,True,,70.0,252.1,13077,Coweta,"{""13077"": ""100""}",Coweta,13077,False,False,America/New_York,"33.43688, -84.87389"
30281,Stockbridge,GA,Georgia,True,,68456.0,376.5,13151,Henry,"{""13151"": ""86.55"", ""13063"": ""9.45"", ""13247"": ""4""}","Henry,Clayton,Rockdale","13151,13063,13247",False,False,America/New_York,"33.56349, -84.19491"
