zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
96719,Hawi,HI,Hawaii,True,,1440.0,27.2,15001,Hawaii,"{""15001"": ""100""}",Hawaii,15001,False,False,Pacific/Honolulu,"20.18621, -155.82212"
96821,Honolulu,HI,Hawaii,True,,18599.0,622.3,15003,Honolulu,"{""15003"": ""100""}",Honolulu,15003,False,False,Pacific/Honolulu,"21.29954, -157.75006"
96729,Hoolehua,HI,Hawaii,True,,1190.0,11.0,15009,Maui,"{""15009"": ""100""}",Maui,15009,False,False,Pacific/Honolulu,"21.16773, -157.11424"
96730,Kaaawa,HI,Hawaii,True,,1270.0,463.7,15003,Honolulu,"{""15003"": ""100""}",Honolulu,15003,False,False,Pacific/Honolulu,"21.54614, -157.85111"
96777,Pahala,HI,Hawaii,True,,2026.0,4.5,15001,Hawaii,"{""15001"": ""100""}",Hawaii,15001,False,False,Pacific/Honolulu,"19.24992, -155.4646"
96738,Waikoloa,HI,Hawaii,True,,7001.0,30.2,15001,Hawaii,"{""15001"": ""100""}",Hawaii,15001,False,False,Pacific/Honolulu,"19.90914, -155.78419"
96819,Honolulu,HI,Hawaii,True,,52981.0,935.0,15003,Honolulu,"{""15003"": ""100""}",Honolulu,15003,False,False,Pacific/Honolulu,"21.34984, -157.8753"
96710,Hakalau,HI,Hawaii,True,,277.0,2.8,15001,Hawaii,"{""15001"": ""100""}",Hawaii,15001,False,False,Pacific/Honolulu,"19.85432, -155.21809"
96765,Lawai,HI,Hawaii,True,,201.0,72.8,15007,Kauai,"{""15007"": ""100""}",Kauai,15007,False,False,Pacific/Honolulu,"21.92154, -159.49217"
96779,Paia,HI,Hawaii,True,,2522.0,115.8,15009,Maui,"{""15009"": ""100""}",Maui,15009,False,False,Pacific/Honolulu,"20.90557, -156.37745"
96789,Mililani,HI,Hawaii,True,,53485.0,757.0,15003,Honolulu,"{""15003"": ""100""}",Honolulu,15003,False,False,Pacific/Honolulu,"21.47829, -157.97472"
96822,Honolulu,HI,Hawaii,True,,46690.0,2198.2,15003,Honolulu,"{""15003"": ""100""}",Honolulu,15003,False,False,Pacific/Honolulu,"21.32018, -157.81079"
96825,Honolulu,HI,Hawaii,True,,29066.0,1000.8,15003,Honolulu,"{""15003"": ""100""}",Honolulu,15003,False,False,Pacific/Honolulu,"21.29601, -157.69129"
96772,Naalehu,HI,Hawaii,True,,2835.0,3.4,15001,Hawaii,"{""15001"": ""100""}",Hawaii,15001,False,False,Pacific/Honolulu,"19.19037, -155.6299"
96712,Haleiwa,HI,Hawaii,True,,7407.0,138.1,15003,Honolulu,"{""15003"": ""100""}",Honolulu,15003,False,False,Pacific/Honolulu,"21.62927, -158.04855"
96716,Hanapepe,HI,Hawaii,True,,2995.0,10.8,15007,Kauai,"{""15007"": ""100""}",Kauai,15007,False,False,Pacific/Honolulu,"22.0336, -159.58999"
96725,Holualoa,HI,Hawaii,True,,2888.0,14.2,15001,Hawaii,"{""15001"": ""100""}",Hawaii,15001,False,False,Pacific/Honolulu,"19.62925, -155.89767"
96744,Kaneohe,HI,Hawaii,True,,51601.0,577.7,15003,Honolulu,"{""15003"": ""100""}",Honolulu,15003,False,False,Pacific/Honolulu,"21.44323, -157.83141"
96755,Kapaau,HI,Hawaii,True,,3018.0,20.1,15001,Hawaii,"{""15001"": ""100""}",Hawaii,15001,False,False,Pacific/Honolulu,"20.19659, -155.7876"
96790,Kula,HI,Hawaii,True,,9613.0,16.4,15009,Maui,"{""15009"": ""100""}",Maui,15009,False,False,Pacific/Honolulu,"20.69227, -156.29746"
96746,Kapaa,HI,Hawaii,True,,19729.0,148.5,15007,Kauai,"{""15007"": ""100""}",Kauai,15007,False,False,Pacific/Honolulu,"22.09267, -159.38128"
96753,Kihei,HI,Hawaii,True,,28737.0,340.1,15009,Maui,"{""15009"": ""100""}",Maui,15009,False,False,Pacific/Honolulu,"20.72067, -156.43534"
96792,Waianae,HI,Hawaii,True,,49971.0,316.2,15003,Honolulu,"{""15003"": ""100""}",Honolulu,15003,False,False,Pacific/Honolulu,"21.46307, -158.16416"
96797,Waipahu,HI,Hawaii,True,,73579.0,827.7,15003,Honolulu,"{""15003"": ""100""}",Honolulu,15003,False,False,Pacific/Honolulu,"21.42424, -157.97898"
