zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
50014,Ames,IA,Iowa,True,,29706.0,205.3,19169,Story,"{""19169"": ""97.48"", ""19015"": ""2.52""}","Story,Boone","19169,19015",False,False,America/Chicago,"42.04855, -93.69449"
50074,Ellston,IA,Iowa,True,,381.0,3.0,19159,Ringgold,"{""19159"": ""94.91"", ""19175"": ""5.09""}","Ringgold,Union","19159,19175",False,False,America/Chicago,"40.85679, -94.07581"
50142,Le Grand,IA,Iowa,True,,989.0,385.3,19127,Marshall,"{""19127"": ""100""}",Marshall,19127,False,False,America/Chicago,"42.00662, -92.77563"
50161,Maxwell,IA,Iowa,True,,1831.0,8.7,19169,Story,"{""19169"": ""74.35"", ""19153"": ""25.65""}","Story,Polk","19169,19153",False,False,America/Chicago,"41.84826, -93.40232"
50225,Pleasantville,IA,Iowa,True,,2776.0,12.9,19125,Marion,"{""19125"": ""93.47"", ""19181"": ""6.53""}","Marion,Warren","19125,19181",False,False,America/Chicago,"41.38457, -93.26904"
50265,West Des Moines,IA,Iowa,True,,32532.0,728.1,19153,Polk,"{""19153"": ""100""}",Polk,19153,False,False,America/Chicago,"41.55553, -93.73736"
50566,Moorland,IA,Iowa,True,,485.0,5.4,19187,Webster,"{""19187"": ""100""}",Webster,19187,False,False,America/Chicago,"42.43883, -94.32967"
50604,Aplington,IA,Iowa,True,,1779.0,9.6,19023,Butler,"{""19023"": ""93.35"", ""19075"": ""6.65""}","Butler,Grundy","19023,19075",False,False,America/Chicago,"42.60345, -92.90396"
50605,Aredale,IA,Iowa,True,,242.0,6.2,19023,Butler,"{""19023"": ""66.67"", ""19069"": ""33.33""}","Butler,Franklin","19023,19069",False,False,America/Chicago,"42.83176, -93.02091"
50668,Readlyn,IA,Iowa,True,,1168.0,13.3,19017,Bremer,"{""19017"": ""100""}",Bremer,19017,False,False,America/Chicago,"42.69069, -92.2265"
50672,Steamboat Rock,IA,Iowa,True,,532.0,5.6,19083,Hardin,"{""19083"": ""94.78"", ""19075"": ""5.22""}","Hardin,Grundy","19083,19075",False,False,America/Chicago,"42.4252, -93.0632"
50862,Sharpsburg,IA,Iowa,True,,202.0,3.6,19173,Taylor,"{""19173"": ""100""}",Taylor,19173,False,False,America/Chicago,"40.81279, -94.65336"
51011,Chatsworth,IA,Iowa,True,,61.0,47.8,19167,Sioux,"{""19167"": ""100""}",Sioux,19167,False,False,America/Chicago,"42.91631, -96.51445"
51052,Salix,IA,Iowa,True,,764.0,4.9,19193,Woodbury,"{""19193"": ""100""}",Woodbury,19193,False,False,America/Chicago,"42.31471, -96.26502"
51247,Rock Valley,IA,Iowa,True,,4834.0,16.7,19167,Sioux,"{""19167"": ""99.28"", ""19119"": ""0.72""}","Sioux,Lyon","19167,19119",False,False,America/Chicago,"43.19133, -96.33947"
51331,Arnolds Park,IA,Iowa,True,,1022.0,234.5,19059,Dickinson,"{""19059"": ""100""}",Dickinson,19059,False,False,America/Chicago,"43.36379, -95.12808"
51632,Clarinda,IA,Iowa,True,,7006.0,13.0,19145,Page,"{""19145"": ""99.89"", ""19173"": ""0.11""}","Page,Taylor","19145,19173",False,False,America/Chicago,"40.74694, -95.04956"
52030,Andrew,IA,Iowa,True,,456.0,664.6,19097,Jackson,"{""19097"": ""100""}",Jackson,19097,False,False,America/Chicago,"42.15329, -90.59188"
52035,Colesburg,IA,Iowa,True,,892.0,6.4,19055,Delaware,"{""19055"": ""58.91"", ""19043"": ""41.09""}","Delaware,Clayton","19055,19043",False,False,America/Chicago,"42.66072, -91.19094"
52040,Dyersville,IA,Iowa,True,,5776.0,36.7,19061,Dubuque,"{""19061"": ""84.06"", ""19055"": ""15.94""}","Dubuque,Delaware","19061,19055",False,False,America/Chicago,"42.50814, -91.13598"
52132,Calmar,IA,Iowa,True,,1830.0,11.6,19191,Winneshiek,"{""19191"": ""98.71"", ""19089"": ""1.29""}","Winneshiek,Howard","19191,19089",False,False,America/Chicago,"43.20618, -91.92323"
52136,Cresco,IA,Iowa,True,,5722.0,10.4,19089,Howard,"{""19089"": ""90.13"", ""19191"": ""9.87""}","Howard,Winneshiek","19089,19191",False,False,America/Chicago,"43.37403, -92.1112"
52165,Ridgeway,IA,Iowa,True,,654.0,3.8,19191,Winneshiek,"{""19191"": ""100""}",Winneshiek,19191,False,False,America/Chicago,"43.30679, -91.98342"
52246,Iowa City,IA,Iowa,True,,23032.0,979.6,19103,Johnson,"{""19103"": ""100""}",Johnson,19103,False,False,America/Chicago,"41.65162, -91.5697"
52306,Mechanicsville,IA,Iowa,True,,1601.0,8.3,19031,Cedar,"{""19031"": ""91.33"", ""19105"": ""8.67""}","Cedar,Jones","19031,19105",False,False,America/Chicago,"41.89844, -91.25343"
