zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
83217,Bancroft,ID,Idaho,True,,813.0,1.1,16029,Caribou,"{""16029"": ""100""}",Caribou,16029,False,False,America/Boise,"42.77531, -111.93732"
83223,Bloomington,ID,Idaho,True,,119.0,25.1,16007,Bear Lake,"{""16007"": ""100""}",Bear Lake,16007,False,False,America/Boise,"42.18399, -111.40858"
83234,Downey,ID,Idaho,True,,1475.0,2.1,16005,Bannock,"{""16005"": ""100""}",Bannock,16005,False,False,America/Boise,"42.41859, -112.09383"
83342,Malta,ID,Idaho,True,,1181.0,0.4,16031,Cassia,"{""16031"": ""91.32"", ""49003"": ""5.32"", ""16071"": ""3.36""}","Cassia,Box Elder,Oneida","16031,49003,16071",False,False,America/Boise,"42.17776, -113.25127"
83465,Lemhi,ID,Idaho,True,,128.0,0.3,16059,Lemhi,"{""16059"": ""100""}",Lemhi,16059,False,False,America/Boise,"44.77716, -113.70003"
83547,Pollock,ID,Idaho,True,,375.0,1.5,16049,Idaho,"{""16049"": ""100""}",Idaho,16049,False,False,America/Boise,"45.19088, -116.18702"
83650,Murphy,ID,Idaho,True,,608.0,0.1,16073,Owyhee,"{""16073"": ""100""}",Owyhee,16073,False,False,America/Boise,"42.848, -116.63716"
83656,Notus,ID,Idaho,True,,705.0,617.2,16027,Canyon,"{""16027"": ""100""}",Canyon,16027,False,False,America/Boise,"43.7265, -116.79869"
83687,Nampa,ID,Idaho,True,,35172.0,273.1,16027,Canyon,"{""16027"": ""98.17"", ""16001"": ""1.83""}","Canyon,Ada","16027,16001",False,False,America/Boise,"43.60956, -116.5295"
83849,Osburn,ID,Idaho,True,,2065.0,40.9,16079,Shoshone,"{""16079"": ""100""}",Shoshone,16079,False,False,America/Los_Angeles,"47.5166, -116.00053"
83232,Dayton,ID,Idaho,True,,603.0,23.7,16041,Franklin,"{""16041"": ""100""}",Franklin,16041,False,False,America/Boise,"42.13868, -111.97167"
83252,Malad City,ID,Idaho,True,,4343.0,1.8,16071,Oneida,"{""16071"": ""100""}",Oneida,16071,False,False,America/Boise,"42.19026, -112.45832"
83285,Wayan,ID,Idaho,True,,107.0,0.1,16019,Bonneville,"{""16019"": ""71.76"", ""16029"": ""28.24""}","Bonneville,Caribou","16019,16029",False,False,America/Boise,"43.09836, -111.28729"
83333,Hailey,ID,Idaho,True,,10109.0,11.4,16013,Blaine,"{""16013"": ""100""}",Blaine,16013,False,False,America/Boise,"43.56677, -114.3155"
83435,Monteview,ID,Idaho,True,,662.0,1.8,16051,Jefferson,"{""16051"": ""89.59"", ""16033"": ""10.41""}","Jefferson,Clark","16051,16033",False,False,America/Boise,"43.98786, -112.56826"
83451,Teton,ID,Idaho,True,,748.0,20.9,16043,Fremont,"{""16043"": ""89.89"", ""16065"": ""10.11""}","Fremont,Madison","16043,16065",False,False,America/Boise,"43.86877, -111.63641"
83468,Tendoy,ID,Idaho,True,,144.0,0.3,16059,Lemhi,"{""16059"": ""100""}",Lemhi,16059,False,False,America/Boise,"44.93464, -113.60926"
83536,Kamiah,ID,Idaho,True,,4517.0,7.9,16049,Idaho,"{""16049"": ""59.98"", ""16061"": ""40.02""}","Idaho,Lewis","16049,16061",False,False,America/Los_Angeles,"46.22095, -116.00325"
83605,Caldwell,ID,Idaho,True,,46763.0,650.1,16027,Canyon,"{""16027"": ""100""}",Canyon,16027,False,False,America/Boise,"43.66239, -116.65642"
83628,Homedale,ID,Idaho,True,,4403.0,21.2,16073,Owyhee,"{""16073"": ""100""}",Owyhee,16073,False,False,America/Boise,"43.5406, -116.9814"
83805,Bonners Ferry,ID,Idaho,True,,8700.0,4.2,16021,Boundary,"{""16021"": ""100""}",Boundary,16021,False,False,America/Los_Angeles,"48.84391, -116.49055"
83238,Geneva,ID,Idaho,True,,86.0,0.4,16007,Bear Lake,"{""16007"": ""100""}",Bear Lake,16007,False,False,America/Boise,"42.33102, -111.1083"
83277,Springfield,ID,Idaho,True,,219.0,8.2,16011,Bingham,"{""16011"": ""100""}",Bingham,16011,False,False,America/Boise,"43.07036, -112.67626"
83346,Oakley,ID,Idaho,True,,2024.0,2.5,16031,Cassia,"{""16031"": ""100""}",Cassia,16031,False,False,America/Boise,"42.2098, -113.93485"
83638,Mccall,ID,Idaho,True,,7025.0,6.7,16085,Valley,"{""16085"": ""98.14"", ""16003"": ""1.69"", ""16049"": ""0.17""}","Valley,Adams,Idaho","16085,16003,16049",False,False,America/Boise,"45.09889, -115.93486"
83810,Cataldo,ID,Idaho,True,,1228.0,3.4,16055,Kootenai,"{""16055"": ""93.86"", ""16079"": ""6.14""}","Kootenai,Shoshone","16055,16079",False,False,America/Los_Angeles,"47.54765, -116.45897"
83837,Kellogg,ID,Idaho,True,,3161.0,17.7,16079,Shoshone,"{""16079"": ""100""}",Shoshone,16079,False,False,America/Los_Angeles,"47.5096, -116.08104"
83314,Bliss,ID,Idaho,True,,1011.0,3.5,16047,Gooding,"{""16047"": ""98.89"", ""16083"": ""1.11""}","Gooding,Twin Falls","16047,16083",False,False,America/Boise,"42.97655, -114.93933"
83348,Picabo,ID,Idaho,True,,357.0,2.1,16013,Blaine,"{""16013"": ""100""}",Blaine,16013,False,False,America/Boise,"43.25697, -114.10781"
83450,Terreton,ID,Idaho,True,,942.0,3.8,16051,Jefferson,"{""16051"": ""100""}",Jefferson,16051,False,False,America/Boise,"43.83217, -112.41525"
83549,Riggins,ID,Idaho,True,,685.0,0.4,16049,Idaho,"{""16049"": ""100""}",Idaho,16049,False,False,America/Boise,"45.38294, -116.21912"
83654,New Meadows,ID,Idaho,True,,1572.0,2.4,16003,Adams,"{""16003"": ""96.17"", ""16049"": ""3.83""}","Adams,Idaho","16003,16049",False,False,America/Boise,"45.09725, -116.35667"
83705,Boise,ID,Idaho,True,,28969.0,784.0,16001,Ada,"{""16001"": ""100""}",Ada,16001,False,False,America/Boise,"43.56624, -116.22274"
83835,Hayden,ID,Idaho,True,,21683.0,78.5,16055,Kootenai,"{""16055"": ""100""}",Kootenai,16055,False,False,America/Los_Angeles,"47.79612, -116.65828"
83852,Ponderay,ID,Idaho,True,,869.0,215.8,16017,Bonner,"{""16017"": ""100""}",Bonner,16017,False,False,America/Los_Angeles,"48.30895, -116.54198"
83236,Firth,ID,Idaho,True,,2422.0,4.0,16011,Bingham,"{""16011"": ""99.03"", ""16019"": ""0.97""}","Bingham,Bonneville","16011,16019",False,False,America/Boise,"43.24319, -111.90323"
83262,Pingree,ID,Idaho,True,,1212.0,2.3,16011,Bingham,"{""16011"": ""100""}",Bingham,16011,False,False,America/Boise,"43.18415, -112.76837"
83420,Ashton,ID,Idaho,True,,2260.0,1.9,16043,Fremont,"{""16043"": ""100""}",Fremont,16043,False,False,America/Boise,"44.07283, -111.35131"
83423,Dubois,ID,Idaho,True,,834.0,0.8,16033,Clark,"{""16033"": ""100""}",Clark,16033,False,False,America/Boise,"44.30001, -112.27026"
83425,Hamer,ID,Idaho,True,,536.0,2.1,16051,Jefferson,"{""16051"": ""100""}",Jefferson,16051,False,False,America/Boise,"43.91648, -112.24277"
83670,Sweet,ID,Idaho,True,,520.0,2.7,16045,Gem,"{""16045"": ""94.39"", ""16015"": ""5.61""}","Gem,Boise","16045,16015",False,False,America/Boise,"44.01727, -116.30688"
83814,Coeur D Alene,ID,Idaho,True,,26448.0,51.5,16055,Kootenai,"{""16055"": ""100""}",Kootenai,16055,False,False,America/Los_Angeles,"47.63961, -116.75209"
83864,Sandpoint,ID,Idaho,True,,18523.0,15.6,16017,Bonner,"{""16017"": ""99.83"", ""16021"": ""0.17""}","Bonner,Boundary","16017,16021",False,False,America/Los_Angeles,"48.46778, -116.52874"
83245,Inkom,ID,Idaho,True,,2269.0,8.3,16005,Bannock,"{""16005"": ""100""}",Bannock,16005,False,False,America/Boise,"42.81814, -112.22036"
83250,Mccammon,ID,Idaho,True,,1733.0,8.7,16005,Bannock,"{""16005"": ""100""}",Bannock,16005,False,False,America/Boise,"42.66732, -112.20433"
83255,Moore,ID,Idaho,True,,1274.0,1.1,16023,Butte,"{""16023"": ""73.29"", ""16037"": ""26.71""}","Butte,Custer","16023,16037",False,False,America/Boise,"43.69686, -113.57177"
83272,Saint Charles,ID,Idaho,True,,304.0,0.9,16007,Bear Lake,"{""16007"": ""100""}",Bear Lake,16007,False,False,America/Boise,"42.10496, -111.36387"
83283,Thatcher,ID,Idaho,True,,276.0,1.9,16041,Franklin,"{""16041"": ""100""}",Franklin,16041,False,False,America/Boise,"42.35941, -111.6705"
83353,Sun Valley,ID,Idaho,True,,1295.0,57.4,16013,Blaine,"{""16013"": ""100""}",Blaine,16013,False,False,America/Boise,"43.6856, -114.33225"
83446,Spencer,ID,Idaho,True,,24.0,0.1,16033,Clark,"{""16033"": ""100""}",Clark,16033,False,False,America/Boise,"44.47296, -112.19268"
83452,Tetonia,ID,Idaho,True,,2148.0,6.3,16081,Teton,"{""16081"": ""100""}",Teton,16081,False,False,America/Boise,"43.83666, -111.21961"
83602,Banks,ID,Idaho,True,,6.0,0.1,16015,Boise,"{""16015"": ""100""}",Boise,16015,False,False,America/Boise,"44.07219, -116.11461"
83639,Marsing,ID,Idaho,True,,3435.0,5.6,16073,Owyhee,"{""16073"": ""100""}",Owyhee,16073,False,False,America/Boise,"43.39703, -116.87117"
83647,Mountain Home,ID,Idaho,True,,20860.0,5.5,16039,Elmore,"{""16039"": ""100""}",Elmore,16039,False,False,America/Boise,"43.43419, -115.50267"
83842,Medimont,ID,Idaho,True,,183.0,3.6,16055,Kootenai,"{""16055"": ""100""}",Kootenai,16055,False,False,America/Los_Angeles,"47.4407, -116.55056"
83870,Tensed,ID,Idaho,True,,262.0,1.4,16009,Benewah,"{""16009"": ""100""}",Benewah,16009,False,False,America/Los_Angeles,"47.12587, -116.83168"
83871,Troy,ID,Idaho,True,,1867.0,6.5,16057,Latah,"{""16057"": ""100""}",Latah,16057,False,False,America/Los_Angeles,"46.74623, -116.73931"
83320,Carey,ID,Idaho,True,,1218.0,0.8,16013,Blaine,"{""16013"": ""100""}",Blaine,16013,False,False,America/Boise,"43.45232, -113.88364"
83322,Corral,ID,Idaho,True,,28.0,0.5,16025,Camas,"{""16025"": ""100""}",Camas,16025,False,False,America/Boise,"43.35579, -114.97494"
83553,Weippe,ID,Idaho,True,,970.0,3.5,16035,Clearwater,"{""16035"": ""100""}",Clearwater,16035,False,False,America/Los_Angeles,"46.38353, -115.90473"
83629,Horseshoe Bend,ID,Idaho,True,,2106.0,4.4,16015,Boise,"{""16015"": ""94.6"", ""16045"": ""5.4""}","Boise,Gem","16015,16045",False,False,America/Boise,"43.91939, -116.16258"
83651,Nampa,ID,Idaho,True,,34548.0,898.0,16027,Canyon,"{""16027"": ""100""}",Canyon,16027,False,False,America/Boise,"43.58806, -116.62003"
83672,Weiser,ID,Idaho,True,,8328.0,5.3,16087,Washington,"{""16087"": ""100""}",Washington,16087,False,False,America/Boise,"44.36698, -116.9424"
83861,Saint Maries,ID,Idaho,True,,6618.0,5.0,16009,Benewah,"{""16009"": ""92.77"", ""16055"": ""6.57"", ""16079"": ""0.66""}","Benewah,Kootenai,Shoshone","16009,16055,16079",False,False,America/Los_Angeles,"47.26322, -116.55112"
83211,American Falls,ID,Idaho,True,,5600.0,3.7,16077,Power,"{""16077"": ""98.6"", ""16031"": ""1.4""}","Power,Cassia","16077,16031",False,False,America/Boise,"42.7067, -113.01386"
83239,Georgetown,ID,Idaho,True,,620.0,7.3,16007,Bear Lake,"{""16007"": ""100""}",Bear Lake,16007,False,False,America/Boise,"42.5063, -111.32836"
83246,Lava Hot Springs,ID,Idaho,True,,1009.0,3.0,16005,Bannock,"{""16005"": ""100""}",Bannock,16005,False,False,America/Boise,"42.6111, -112.02926"
83286,Weston,ID,Idaho,True,,1388.0,7.4,16041,Franklin,"{""16041"": ""100""}",Franklin,16041,False,False,America/Boise,"42.05319, -112.01483"
83301,Twin Falls,ID,Idaho,True,,57340.0,78.6,16083,Twin Falls,"{""16083"": ""99.94"", ""16053"": ""0.06""}","Twin Falls,Jerome","16083,16053",False,False,America/Boise,"42.39319, -114.52218"
83321,Castleford,ID,Idaho,True,,474.0,2.1,16083,Twin Falls,"{""16083"": ""100""}",Twin Falls,16083,False,False,America/Boise,"42.46494, -114.91335"
83325,Eden,ID,Idaho,True,,844.0,8.6,16053,Jerome,"{""16053"": ""100""}",Jerome,16053,False,False,America/Boise,"42.58782, -114.24207"
83354,Sun Valley,ID,Idaho,True,,0.0,0.0,16013,Blaine,"{""16013"": ""100""}",Blaine,16013,False,False,America/Boise,"43.66994, -114.32244"
83406,Idaho Falls,ID,Idaho,True,,18742.0,72.0,16019,Bonneville,"{""16019"": ""100""}",Bonneville,16019,False,False,America/Boise,"43.43887, -111.81734"
83623,Glenns Ferry,ID,Idaho,True,,1359.0,2.5,16039,Elmore,"{""16039"": ""100""}",Elmore,16039,False,False,America/Boise,"43.08031, -115.39116"
83706,Boise,ID,Idaho,True,,32904.0,1704.6,16001,Ada,"{""16001"": ""100""}",Ada,16001,False,False,America/Boise,"43.59141, -116.19488"
83812,Clarkia,ID,Idaho,True,,38.0,0.3,16079,Shoshone,"{""16079"": ""100""}",Shoshone,16079,False,False,America/Los_Angeles,"47.01611, -116.22867"
83850,Pinehurst,ID,Idaho,True,,1838.0,10.2,16079,Shoshone,"{""16079"": ""100""}",Shoshone,16079,False,False,America/Los_Angeles,"47.45457, -116.23091"
83227,Clayton,ID,Idaho,True,,16.0,0.0,16037,Custer,"{""16037"": ""100""}",Custer,16037,False,False,America/Boise,"44.24934, -114.50171"
83276,Soda Springs,ID,Idaho,True,,3733.0,3.4,16029,Caribou,"{""16029"": ""96.22"", ""16007"": ""3.78""}","Caribou,Bear Lake","16029,16007",False,False,America/Boise,"42.76928, -111.52781"
83330,Gooding,ID,Idaho,True,,6469.0,21.3,16047,Gooding,"{""16047"": ""100""}",Gooding,16047,False,False,America/Boise,"42.95287, -114.70822"
83429,Island Park,ID,Idaho,True,,519.0,0.4,16043,Fremont,"{""16043"": ""100""}",Fremont,16043,False,False,America/Boise,"44.46774, -111.40232"
83624,Grand View,ID,Idaho,True,,1398.0,2.1,16073,Owyhee,"{""16073"": ""79.33"", ""16039"": ""20.67""}","Owyhee,Elmore","16073,16039",False,False,America/Boise,"42.91336, -116.14386"
83634,Kuna,ID,Idaho,True,,28678.0,74.0,16001,Ada,"{""16001"": ""97.68"", ""16027"": ""2.32""}","Ada,Canyon","16001,16027",False,False,America/Boise,"43.45202, -116.3279"
83657,Ola,ID,Idaho,True,,444.0,1.1,16045,Gem,"{""16045"": ""100"", ""16085"": ""0""}","Gem,Valley","16045,16085",False,False,America/Boise,"44.2245, -116.30178"
83660,Parma,ID,Idaho,True,,5987.0,19.3,16027,Canyon,"{""16027"": ""89.08"", ""16075"": ""10.92""}","Canyon,Payette","16027,16075",False,False,America/Boise,"43.79911, -116.93136"
83713,Boise,ID,Idaho,True,,30121.0,1722.2,16001,Ada,"{""16001"": ""100""}",Ada,16001,False,False,America/Boise,"43.63893, -116.33394"
83834,Harvard,ID,Idaho,True,,159.0,0.6,16057,Latah,"{""16057"": ""100""}",Latah,16057,False,False,America/Los_Angeles,"46.97497, -116.66264"
83836,Hope,ID,Idaho,True,,902.0,3.7,16017,Bonner,"{""16017"": ""100""}",Bonner,16017,False,False,America/Los_Angeles,"48.26372, -116.25139"
83874,Murray,ID,Idaho,True,,27.0,0.2,16079,Shoshone,"{""16079"": ""100""}",Shoshone,16079,False,False,America/Los_Angeles,"47.63915, -115.78438"
83261,Paris,ID,Idaho,True,,644.0,11.9,16007,Bear Lake,"{""16007"": ""100""}",Bear Lake,16007,False,False,America/Boise,"42.21611, -111.42069"
83312,Almo,ID,Idaho,True,,114.0,0.3,16031,Cassia,"{""16031"": ""85.12"", ""49003"": ""14.88""}","Cassia,Box Elder","16031,49003",False,False,America/Denver,"41.97587, -113.65429"
83402,Idaho Falls,ID,Idaho,True,,24676.0,62.8,16019,Bonneville,"{""16019"": ""98.05"", ""16051"": ""1.04"", ""16011"": ""0.91""}","Bonneville,Jefferson,Bingham","16019,16051,16011",False,False,America/Boise,"43.53154, -112.15453"
83632,Indian Valley,ID,Idaho,True,,384.0,1.2,16003,Adams,"{""16003"": ""100""}",Adams,16003,False,False,America/Boise,"44.53617, -116.4055"
83641,Melba,ID,Idaho,True,,3098.0,7.4,16027,Canyon,"{""16027"": ""63.35"", ""16073"": ""30.28"", ""16001"": ""6.37""}","Canyon,Owyhee,Ada","16027,16073,16001",False,False,America/Boise,"43.35129, -116.58623"
83644,Middleton,ID,Idaho,True,,12582.0,95.9,16027,Canyon,"{""16027"": ""100""}",Canyon,16027,False,False,America/Boise,"43.75012, -116.58225"
83702,Boise,ID,Idaho,True,,22775.0,216.4,16001,Ada,"{""16001"": ""99.99"", ""16015"": ""0.01""}","Ada,Boise","16001,16015",False,False,America/Boise,"43.67575, -116.16934"
83809,Careywood,ID,Idaho,True,,388.0,10.7,16017,Bonner,"{""16017"": ""100""}",Bonner,16017,False,False,America/Los_Angeles,"48.06362, -116.57348"
83811,Clark Fork,ID,Idaho,True,,1304.0,2.8,16017,Bonner,"{""16017"": ""100""}",Bonner,16017,False,False,America/Los_Angeles,"48.06151, -116.23739"
83839,Kingston,ID,Idaho,True,,1282.0,4.5,16079,Shoshone,"{""16079"": ""100""}",Shoshone,16079,False,False,America/Los_Angeles,"47.61005, -116.16992"
83847,Naples,ID,Idaho,True,,1553.0,5.3,16021,Boundary,"{""16021"": ""100""}",Boundary,16021,False,False,America/Los_Angeles,"48.57771, -116.44375"
