zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
60022,Glencoe,IL,Illinois,True,,8471.0,830.4,17031,Cook,"{""17031"": ""100""}",Cook,17031,False,False,America/Chicago,"42.13608, -87.7676"
60061,Vernon Hills,IL,Illinois,True,,26967.0,1307.2,17097,Lake,"{""17097"": ""100""}",Lake,17097,False,False,America/Chicago,"42.23376, -87.96074"
60070,Prospect Heights,IL,Illinois,True,,15908.0,1701.0,17031,Cook,"{""17031"": ""100""}",Cook,17031,False,False,America/Chicago,"42.10343, -87.93022"
60110,Carpentersville,IL,Illinois,True,,38984.0,1691.5,17089,Kane,"{""17089"": ""100""}",Kane,17089,False,False,America/Chicago,"42.12295, -88.28589"
60113,Creston,IL,Illinois,True,,307.0,762.1,17141,Ogle,"{""17141"": ""100""}",Ogle,17141,False,False,America/Chicago,"41.93221, -88.96583"
60124,Elgin,IL,Illinois,True,,22074.0,223.0,17089,Kane,"{""17089"": ""100""}",Kane,17089,False,False,America/Chicago,"42.02582, -88.39709"
60178,Sycamore,IL,Illinois,True,,22374.0,124.6,17037,DeKalb,"{""17037"": ""99.03"", ""17089"": ""0.97""}","DeKalb,Kane","17037,17089",False,False,America/Chicago,"42.00638, -88.66894"
60408,Braidwood,IL,Illinois,True,,5528.0,285.6,17197,Will,"{""17197"": ""100""}",Will,17197,False,False,America/Chicago,"41.26374, -88.21674"
60422,Flossmoor,IL,Illinois,True,,9941.0,911.7,17031,Cook,"{""17031"": ""100""}",Cook,17031,False,False,America/Chicago,"41.53698, -87.68411"
60431,Joliet,IL,Illinois,True,,24202.0,687.7,17197,Will,"{""17197"": ""80.45"", ""17093"": ""19.55""}","Will,Kendall","17197,17093",False,False,America/Chicago,"41.53266, -88.20521"
60470,Ransom,IL,Illinois,True,,542.0,5.6,17099,LaSalle,"{""17099"": ""98.21"", ""17063"": ""1.79""}","LaSalle,Grundy","17099,17063",False,False,America/Chicago,"41.16897, -88.64107"
60480,Willow Springs,IL,Illinois,True,,5151.0,340.9,17031,Cook,"{""17031"": ""100""}",Cook,17031,False,False,America/Chicago,"41.72896, -87.88088"
60560,Yorkville,IL,Illinois,True,,25140.0,124.9,17093,Kendall,"{""17093"": ""100""}",Kendall,17093,False,False,America/Chicago,"41.60802, -88.42971"
60714,Niles,IL,Illinois,True,,29520.0,1791.6,17031,Cook,"{""17031"": ""100""}",Cook,17031,False,False,America/Chicago,"42.02805, -87.81098"
60926,Claytonville,IL,Illinois,True,,42.0,5.9,17075,Iroquois,"{""17075"": ""100""}",Iroquois,17075,False,False,America/Chicago,"40.57234, -87.80962"
60933,Elliott,IL,Illinois,True,,272.0,51.9,17053,Ford,"{""17053"": ""100""}",Ford,17053,False,False,America/Chicago,"40.4647, -88.27192"
60957,Paxton,IL,Illinois,True,,5311.0,20.6,17053,Ford,"{""17053"": ""98.2"", ""17019"": ""1.8""}","Ford,Champaign","17053,17019",False,False,America/Chicago,"40.44296, -88.13624"
61027,Eleroy,IL,Illinois,True,,73.0,109.5,17177,Stephenson,"{""17177"": ""100""}",Stephenson,17177,False,False,America/Chicago,"42.33091, -89.75728"
61472,Rio,IL,Illinois,True,,608.0,5.9,17095,Knox,"{""17095"": ""100""}",Knox,17095,False,False,America/Chicago,"41.10216, -90.38289"
61480,Stronghurst,IL,Illinois,True,,1171.0,7.1,17071,Henderson,"{""17071"": ""100""}",Henderson,17071,False,False,America/Chicago,"40.72541, -90.9218"
61524,Dunfermline,IL,Illinois,True,,300.0,486.4,17057,Fulton,"{""17057"": ""100""}",Fulton,17057,False,False,America/Chicago,"40.49143, -90.03456"
61528,Edwards,IL,Illinois,True,,2987.0,63.2,17143,Peoria,"{""17143"": ""100""}",Peoria,17143,False,False,America/Chicago,"40.77896, -89.72293"
61563,Saint David,IL,Illinois,True,,509.0,563.7,17057,Fulton,"{""17057"": ""100""}",Fulton,17057,False,False,America/Chicago,"40.49203, -90.0541"
61749,Kenney,IL,Illinois,True,,535.0,6.4,17039,De Witt,"{""17039"": ""92.09"", ""17107"": ""4.14"", ""17115"": ""3.78""}","De Witt,Logan,Macon","17039,17107,17115",False,False,America/Chicago,"40.09494, -89.11027"
62014,Bunker Hill,IL,Illinois,True,,4063.0,26.4,17117,Macoupin,"{""17117"": ""100""}",Macoupin,17117,False,False,America/Chicago,"39.04304, -89.95097"
62083,Rosamond,IL,Illinois,True,,167.0,3.3,17021,Christian,"{""17021"": ""84.75"", ""17135"": ""15.25""}","Christian,Montgomery","17021,17135",False,False,America/Chicago,"39.35447, -89.20144"
62233,Chester,IL,Illinois,True,,9521.0,56.3,17157,Randolph,"{""17157"": ""100""}",Randolph,17157,False,False,America/Chicago,"37.9461, -89.7874"
62237,Coulterville,IL,Illinois,True,,2398.0,9.6,17157,Randolph,"{""17157"": ""54.34"", ""17145"": ""29.56"", ""17189"": ""16.1""}","Randolph,Perry,Washington","17157,17145,17189",False,False,America/Chicago,"38.18905, -89.56909"
62305,Quincy,IL,Illinois,True,,19081.0,53.2,17001,Adams,"{""17001"": ""100""}",Adams,17001,False,False,America/Chicago,"39.92982, -91.3459"
62374,Tennessee,IL,Illinois,True,,337.0,5.7,17109,McDonough,"{""17109"": ""70.81"", ""17067"": ""29.19""}","McDonough,Hancock","17109,17067",False,False,America/Chicago,"40.4089, -90.91204"
62378,Versailles,IL,Illinois,True,,1047.0,6.0,17009,Brown,"{""17009"": ""100""}",Brown,17009,False,False,America/Chicago,"39.89729, -90.63512"
62424,Dieterich,IL,Illinois,True,,2421.0,10.8,17049,Effingham,"{""17049"": ""96.8"", ""17079"": ""3.2""}","Effingham,Jasper","17049,17079",False,False,America/Chicago,"38.98978, -88.42215"
62540,Kincaid,IL,Illinois,True,,1549.0,290.1,17021,Christian,"{""17021"": ""100""}",Christian,17021,False,False,America/Chicago,"39.58388, -89.41824"
62622,Bluff Springs,IL,Illinois,True,,42.0,8.7,17017,Cass,"{""17017"": ""100""}",Cass,17017,False,False,America/Chicago,"39.97814, -90.35343"
62644,Havana,IL,Illinois,True,,4921.0,18.4,17125,Mason,"{""17125"": ""97.47"", ""17057"": ""2.53""}","Mason,Fulton","17125,17057",False,False,America/Chicago,"40.28959, -90.05434"
62673,Oakford,IL,Illinois,True,,416.0,5.1,17129,Menard,"{""17129"": ""87.74"", ""17017"": ""12.26""}","Menard,Cass","17129,17017",False,False,America/Chicago,"40.09471, -89.97845"
62931,Elizabethtown,IL,Illinois,True,,1484.0,5.6,17069,Hardin,"{""17069"": ""97.14"", ""17059"": ""2.86""}","Hardin,Gallatin","17069,17059",False,False,America/Chicago,"37.52851, -88.28679"
62956,Karnak,IL,Illinois,True,,940.0,14.0,17153,Pulaski,"{""17153"": ""69.04"", ""17127"": ""30.96""}","Pulaski,Massac","17153,17127",False,False,America/Chicago,"37.27993, -88.94232"
62957,McClure,IL,Illinois,True,,867.0,7.9,17003,Alexander,"{""17003"": ""98.19"", ""17181"": ""1.81""}","Alexander,Union","17003,17181",False,False,America/Chicago,"37.30789, -89.42661"
62966,Murphysboro,IL,Illinois,True,,15049.0,51.3,17077,Jackson,"{""17077"": ""100""}",Jackson,17077,False,False,America/Chicago,"37.77508, -89.35107"
62984,Shawneetown,IL,Illinois,True,,1673.0,8.2,17059,Gallatin,"{""17059"": ""100""}",Gallatin,17059,False,False,America/Chicago,"37.71038, -88.15479"
60015,Deerfield,IL,Illinois,True,,27529.0,784.0,17097,Lake,"{""17097"": ""99.36"", ""17031"": ""0.64""}","Lake,Cook","17097,17031",False,False,America/Chicago,"42.17251, -87.87481"
60045,Lake Forest,IL,Illinois,True,,21134.0,384.7,17097,Lake,"{""17097"": ""100""}",Lake,17097,False,False,America/Chicago,"42.23839, -87.86978"
60053,Morton Grove,IL,Illinois,True,,23089.0,1773.9,17031,Cook,"{""17031"": ""100""}",Cook,17031,False,False,America/Chicago,"42.04234, -87.78897"
60062,Northbrook,IL,Illinois,True,,40686.0,848.1,17031,Cook,"{""17031"": ""100""}",Cook,17031,False,False,America/Chicago,"42.12656, -87.84438"
60085,Waukegan,IL,Illinois,True,,70700.0,1815.6,17097,Lake,"{""17097"": ""100""}",Lake,17097,False,False,America/Chicago,"42.35333, -87.86825"
60139,Glendale Heights,IL,Illinois,True,,34160.0,2375.4,17043,DuPage,"{""17043"": ""100""}",DuPage,17043,False,False,America/Chicago,"41.91932, -88.07787"
60155,Broadview,IL,Illinois,True,,7755.0,1611.9,17031,Cook,"{""17031"": ""100""}",Cook,17031,False,False,America/Chicago,"41.85781, -87.85636"
60401,Beecher,IL,Illinois,True,,7990.0,54.3,17197,Will,"{""17197"": ""98.68"", ""17091"": ""1.32""}","Will,Kankakee","17197,17091",False,False,America/Chicago,"41.34397, -87.61375"
60531,Leland,IL,Illinois,True,,1792.0,11.9,17099,LaSalle,"{""17099"": ""90.22"", ""17037"": ""9.78""}","LaSalle,DeKalb","17099,17037",False,False,America/Chicago,"41.6157, -88.78691"
60540,Naperville,IL,Illinois,True,,45187.0,1320.5,17043,DuPage,"{""17043"": ""100""}",DuPage,17043,False,False,America/Chicago,"41.76365, -88.14515"
60661,Chicago,IL,Illinois,True,,10354.0,13448.1,17031,Cook,"{""17031"": ""100""}",Cook,17031,False,False,America/Chicago,"41.88309, -87.64401"
60910,Aroma Park,IL,Illinois,True,,575.0,442.7,17091,Kankakee,"{""17091"": ""100""}",Kankakee,17091,False,False,America/Chicago,"41.07877, -87.80859"
61241,Colona,IL,Illinois,True,,7035.0,150.5,17073,Henry,"{""17073"": ""100""}",Henry,17073,False,False,America/Chicago,"41.4885, -90.32095"
61310,Amboy,IL,Illinois,True,,3825.0,13.8,17103,Lee,"{""17103"": ""100""}",Lee,17103,False,False,America/Chicago,"41.70002, -89.34998"
61318,Compton,IL,Illinois,True,,774.0,8.6,17103,Lee,"{""17103"": ""100""}",Lee,17103,False,False,America/Chicago,"41.71213, -89.07967"
61335,McNabb,IL,Illinois,True,,403.0,7.5,17155,Putnam,"{""17155"": ""100""}",Putnam,17155,False,False,America/Chicago,"41.16353, -89.22467"
61363,Standard,IL,Illinois,True,,287.0,215.3,17155,Putnam,"{""17155"": ""100""}",Putnam,17155,False,False,America/Chicago,"41.25423, -89.18246"
61453,Little York,IL,Illinois,True,,557.0,3.8,17187,Warren,"{""17187"": ""74.9"", ""17071"": ""25.1""}","Warren,Henderson","17187,17071",False,False,America/Chicago,"41.01218, -90.76418"
61489,Williamsfield,IL,Illinois,True,,767.0,6.5,17095,Knox,"{""17095"": ""99.33"", ""17143"": ""0.67""}","Knox,Peoria","17095,17143",False,False,America/Chicago,"40.93399, -90.02847"
61544,London Mills,IL,Illinois,True,,724.0,8.5,17057,Fulton,"{""17057"": ""86.96"", ""17095"": ""13.04""}","Fulton,Knox","17057,17095",False,False,America/Chicago,"40.69175, -90.24007"
61611,East Peoria,IL,Illinois,True,,24303.0,229.3,17179,Tazewell,"{""17179"": ""84.55"", ""17203"": ""15.45""}","Tazewell,Woodford","17179,17203",False,False,America/Chicago,"40.71049, -89.53566"
61720,Anchor,IL,Illinois,True,,215.0,3.0,17113,McLean,"{""17113"": ""100""}",McLean,17113,False,False,America/Chicago,"40.55471, -88.51447"
61755,Mackinaw,IL,Illinois,True,,4783.0,37.6,17179,Tazewell,"{""17179"": ""100""}",Tazewell,17179,False,False,America/Chicago,"40.52794, -89.33596"
61848,Henning,IL,Illinois,True,,242.0,120.8,17183,Vermilion,"{""17183"": ""100""}",Vermilion,17183,False,False,America/Chicago,"40.30806, -87.70278"
61857,Muncie,IL,Illinois,True,,144.0,230.2,17183,Vermilion,"{""17183"": ""100""}",Vermilion,17183,False,False,America/Chicago,"40.11662, -87.84223"
61872,Sadorus,IL,Illinois,True,,589.0,6.9,17019,Champaign,"{""17019"": ""97.24"", ""17041"": ""2.76""}","Champaign,Douglas","17019,17041",False,False,America/Chicago,"39.9387, -88.37719"
61957,Windsor,IL,Illinois,True,,1789.0,8.4,17173,Shelby,"{""17173"": ""96.2"", ""17139"": ""3.8""}","Shelby,Moultrie","17173,17139",False,False,America/Chicago,"39.43961, -88.61112"
62030,Fidelity,IL,Illinois,True,,203.0,773.6,17083,Jersey,"{""17083"": ""100""}",Jersey,17083,False,False,America/Chicago,"39.15463, -90.16445"
62053,Kampsville,IL,Illinois,True,,550.0,4.6,17013,Calhoun,"{""17013"": ""100""}",Calhoun,17013,False,False,America/Chicago,"39.32513, -90.66106"
62086,Sorento,IL,Illinois,True,,1224.0,8.9,17005,Bond,"{""17005"": ""91.93"", ""17135"": ""8.07""}","Bond,Montgomery","17005,17135",False,False,America/Chicago,"38.9825, -89.58099"
62095,Wood River,IL,Illinois,True,,10471.0,582.1,17119,Madison,"{""17119"": ""100""}",Madison,17119,False,False,America/Chicago,"38.86228, -90.0692"
62250,Hoffman,IL,Illinois,True,,468.0,475.1,17027,Clinton,"{""17027"": ""100""}",Clinton,17027,False,False,America/Chicago,"38.54083, -89.266"
62254,Lebanon,IL,Illinois,True,,6189.0,63.1,17163,St. Clair,"{""17163"": ""100""}",St. Clair,17163,False,False,America/Chicago,"38.60743, -89.82137"
62439,Lawrenceville,IL,Illinois,True,,7107.0,19.5,17101,Lawrence,"{""17101"": ""100""}",Lawrence,17101,False,False,America/Chicago,"38.74656, -87.63528"
62440,Lerna,IL,Illinois,True,,1288.0,12.9,17029,Coles,"{""17029"": ""82.22"", ""17035"": ""17.78""}","Coles,Cumberland","17029,17035",False,False,America/Chicago,"39.3955, -88.26791"
62480,Willow Hill,IL,Illinois,True,,485.0,3.3,17079,Jasper,"{""17079"": ""100""}",Jasper,17079,False,False,America/Chicago,"38.99856, -88.00156"
62537,Harristown,IL,Illinois,True,,80.0,33.2,17115,Macon,"{""17115"": ""100""}",Macon,17115,False,False,America/Chicago,"39.85317, -89.09467"
62550,Moweaqua,IL,Illinois,True,,2790.0,12.1,17173,Shelby,"{""17173"": ""84.56"", ""17021"": ""13.87"", ""17115"": ""1.57""}","Shelby,Christian,Macon","17173,17021,17115",False,False,America/Chicago,"39.61145, -88.99191"
62557,Pana,IL,Illinois,True,,7127.0,22.1,17021,Christian,"{""17021"": ""90.67"", ""17173"": ""8.57"", ""17135"": ""0.76""}","Christian,Shelby,Montgomery","17021,17173,17135",False,False,America/Chicago,"39.39705, -89.10482"
62806,Albion,IL,Illinois,True,,3419.0,12.9,17047,Edwards,"{""17047"": ""100""}",Edwards,17047,False,False,America/Chicago,"38.38184, -88.07486"
62844,Grayville,IL,Illinois,True,,2081.0,18.2,17193,White,"{""17193"": ""54.54"", ""17047"": ""45.46""}","White,Edwards","17193,17047",False,False,America/Chicago,"38.25814, -88.04625"
62886,Sims,IL,Illinois,True,,257.0,3.3,17191,Wayne,"{""17191"": ""100""}",Wayne,17191,False,False,America/Chicago,"38.37892, -88.53984"
62979,Ridgway,IL,Illinois,True,,1020.0,5.2,17059,Gallatin,"{""17059"": ""100""}",Gallatin,17059,False,False,America/Chicago,"37.8161, -88.19181"
60016,Des Plaines,IL,Illinois,True,,59291.0,2155.2,17031,Cook,"{""17031"": ""100""}",Cook,17031,False,False,America/Chicago,"42.0497, -87.89166"
60033,Harvard,IL,Illinois,True,,13703.0,43.6,17111,McHenry,"{""17111"": ""99.3"", ""17007"": ""0.7""}","McHenry,Boone","17111,17007",False,False,America/Chicago,"42.42476, -88.60757"
60043,Kenilworth,IL,Illinois,True,,2460.0,1546.2,17031,Cook,"{""17031"": ""100""}",Cook,17031,False,False,America/Chicago,"42.08886, -87.71459"
60143,Itasca,IL,Illinois,True,,11222.0,629.7,17043,DuPage,"{""17043"": ""100""}",DuPage,17043,False,False,America/Chicago,"41.97306, -88.02155"
60153,Maywood,IL,Illinois,True,,23578.0,3037.4,17031,Cook,"{""17031"": ""100""}",Cook,17031,False,False,America/Chicago,"41.8793, -87.84327"
60154,Westchester,IL,Illinois,True,,16440.0,1316.6,17031,Cook,"{""17031"": ""100""}",Cook,17031,False,False,America/Chicago,"41.84749, -87.89167"
60177,South Elgin,IL,Illinois,True,,23310.0,1053.0,17089,Kane,"{""17089"": ""100""}",Kane,17089,False,False,America/Chicago,"41.98991, -88.30996"
60416,Coal City,IL,Illinois,True,,9083.0,157.0,17063,Grundy,"{""17063"": ""99.76"", ""17197"": ""0.24""}","Grundy,Will","17063,17197",False,False,America/Chicago,"41.29311, -88.2818"
60423,Frankfort,IL,Illinois,True,,31418.0,332.7,17197,Will,"{""17197"": ""99.92"", ""17031"": ""0.08""}","Will,Cook","17197,17031",False,False,America/Chicago,"41.47957, -87.83793"
60428,Markham,IL,Illinois,True,,12180.0,905.3,17031,Cook,"{""17031"": ""100""}",Cook,17031,False,False,America/Chicago,"41.59979, -87.69055"
60438,Lansing,IL,Illinois,True,,28633.0,1391.7,17031,Cook,"{""17031"": ""100""}",Cook,17031,False,False,America/Chicago,"41.56661, -87.55086"
60472,Robbins,IL,Illinois,True,,4904.0,1144.5,17031,Cook,"{""17031"": ""100""}",Cook,17031,False,False,America/Chicago,"41.64375, -87.7088"
60526,La Grange Park,IL,Illinois,True,,13451.0,1890.6,17031,Cook,"{""17031"": ""100""}",Cook,17031,False,False,America/Chicago,"41.83183, -87.87395"
60557,Wedron,IL,Illinois,True,,280.0,160.9,17099,LaSalle,"{""17099"": ""100""}",LaSalle,17099,False,False,America/Chicago,"41.44553, -88.76381"
60561,Darien,IL,Illinois,True,,22955.0,1418.4,17043,DuPage,"{""17043"": ""100""}",DuPage,17043,False,False,America/Chicago,"41.74536, -87.98241"
60601,Chicago,IL,Illinois,True,,15083.0,16145.0,17031,Cook,"{""17031"": ""100""}",Cook,17031,False,False,America/Chicago,"41.88526, -87.62194"
60630,Chicago,IL,Illinois,True,,56433.0,4563.6,17031,Cook,"{""17031"": ""100""}",Cook,17031,False,False,America/Chicago,"41.97213, -87.75709"
60640,Chicago,IL,Illinois,True,,69363.0,11102.5,17031,Cook,"{""17031"": ""100""}",Cook,17031,False,False,America/Chicago,"41.97237, -87.66347"
60922,Chebanse,IL,Illinois,True,,2576.0,18.7,17091,Kankakee,"{""17091"": ""55.27"", ""17075"": ""44.73""}","Kankakee,Iroquois","17091,17075",False,False,America/Chicago,"41.00413, -87.91867"
60950,Manteno,IL,Illinois,True,,11592.0,58.6,17091,Kankakee,"{""17091"": ""99.42"", ""17197"": ""0.58""}","Kankakee,Will","17091,17197",False,False,America/Chicago,"41.25119, -87.88445"
61032,Freeport,IL,Illinois,True,,29702.0,77.5,17177,Stephenson,"{""17177"": ""100""}",Stephenson,17177,False,False,America/Chicago,"42.31634, -89.63525"
61275,Port Byron,IL,Illinois,True,,4710.0,54.0,17161,Rock Island,"{""17161"": ""100""}",Rock Island,17161,False,False,America/Chicago,"41.5998, -90.2984"
61345,Neponset,IL,Illinois,True,,720.0,5.7,17011,Bureau,"{""17011"": ""94.92"", ""17175"": ""5.08""}","Bureau,Stark","17011,17175",False,False,America/Chicago,"41.28007, -89.78982"
61416,Bardolph,IL,Illinois,True,,256.0,110.3,17109,McDonough,"{""17109"": ""100""}",McDonough,17109,False,False,America/Chicago,"40.49921, -90.56299"
61448,Knoxville,IL,Illinois,True,,3814.0,35.0,17095,Knox,"{""17095"": ""100""}",Knox,17095,False,False,America/Chicago,"40.93363, -90.24678"
61731,Cropsey,IL,Illinois,True,,183.0,3.2,17113,McLean,"{""17113"": ""70.71"", ""17105"": ""19.64"", ""17053"": ""9.64""}","McLean,Livingston,Ford","17113,17105,17053",False,False,America/Chicago,"40.61393, -88.4855"
61759,Minier,IL,Illinois,True,,1588.0,18.0,17179,Tazewell,"{""17179"": ""100""}",Tazewell,17179,False,False,America/Chicago,"40.43718, -89.32371"
61761,Normal,IL,Illinois,True,,55152.0,501.5,17113,McLean,"{""17113"": ""100""}",McLean,17113,False,False,America/Chicago,"40.52958, -88.95856"
61858,Oakwood,IL,Illinois,True,,2980.0,40.0,17183,Vermilion,"{""17183"": ""100""}",Vermilion,17183,False,False,America/Chicago,"40.13282, -87.76799"
61936,La Place,IL,Illinois,True,,297.0,51.1,17147,Piatt,"{""17147"": ""100""}",Piatt,17147,False,False,America/Chicago,"39.80135, -88.73026"
