zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
46062,Noblesville,IN,Indiana,True,,35349.0,400.7,18057,Hamilton,"{""18057"": ""100""}",Hamilton,18057,False,False,America/Indiana/Indianapolis,"40.06176, -86.05544"
46172,Roachdale,IN,Indiana,True,,2562.0,14.7,18133,Putnam,"{""18133"": ""100""}",Putnam,18133,False,False,America/Indiana/Indianapolis,"39.8259, -86.81782"
46348,La Crosse,IN,Indiana,True,,1031.0,7.8,18091,LaPorte,"{""18091"": ""98.76"", ""18127"": ""1.24""}","LaPorte,Porter","18091,18127",False,False,America/Chicago,"41.31032, -86.86193"
46349,Lake Village,IN,Indiana,True,,3251.0,14.9,18111,Newton,"{""18111"": ""100""}",Newton,18111,False,False,America/Chicago,"41.10783, -87.42179"
46360,Michigan City,IN,Indiana,True,,43678.0,218.1,18091,LaPorte,"{""18091"": ""96.98"", ""18127"": ""3.02""}","LaPorte,Porter","18091,18127",False,False,America/Chicago,"41.68703, -86.8689"
46544,Mishawaka,IN,Indiana,True,,31988.0,308.0,18141,St. Joseph,"{""18141"": ""100""}",St. Joseph,18141,False,False,America/Indiana/Indianapolis,"41.61693, -86.13893"
46635,South Bend,IN,Indiana,True,,6363.0,786.6,18141,St. Joseph,"{""18141"": ""100""}",St. Joseph,18141,False,False,America/Indiana/Indianapolis,"41.71488, -86.20853"
46737,Fremont,IN,Indiana,True,,7329.0,43.5,18151,Steuben,"{""18151"": ""100""}",Steuben,18151,False,False,America/Detroit,"41.72152, -84.92385"
46747,Hudson,IN,Indiana,True,,2292.0,24.1,18151,Steuben,"{""18151"": ""75.6"", ""18087"": ""17.16"", ""18033"": ""7.24""}","Steuben,LaGrange,DeKalb","18151,18087,18033",False,False,America/Indiana/Indianapolis,"41.55989, -85.15349"
46994,Walton,IN,Indiana,True,,2815.0,18.9,18017,Cass,"{""18017"": ""100""}",Cass,18017,False,False,America/Indiana/Indianapolis,"40.66813, -86.25722"
47001,Aurora,IN,Indiana,True,,10009.0,53.0,18029,Dearborn,"{""18029"": ""93.01"", ""18115"": ""6.99""}","Dearborn,Ohio","18029,18115",False,False,America/New_York,"39.06666, -84.96833"
