zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
66050,Lecompton,KS,Kansas,True,,2000.0,17.9,20045,Douglas,"{""20045"": ""96.21"", ""20177"": ""3.79""}","Douglas,Shawnee","20045,20177",False,False,America/Chicago,"39.01539, -95.43917"
66109,Kansas City,KS,Kansas,True,,23923.0,200.7,20209,Wyandotte,"{""20209"": ""99.46"", ""20103"": ""0.54""}","Wyandotte,Leavenworth","20209,20103",False,False,America/Chicago,"39.16347, -94.82818"
66226,Shawnee,KS,Kansas,True,,14146.0,473.6,20091,Johnson,"{""20091"": ""100""}",Johnson,20091,False,False,America/Chicago,"39.03056, -94.86005"
66404,Baileyville,KS,Kansas,True,,449.0,2.6,20131,Nemaha,"{""20131"": ""100""}",Nemaha,20131,False,False,America/Chicago,"39.87969, -96.17713"
66415,Centralia,KS,Kansas,True,,760.0,3.1,20131,Nemaha,"{""20131"": ""100""}",Nemaha,20131,False,False,America/Chicago,"39.68728, -96.14561"
66424,Everest,KS,Kansas,True,,420.0,2.8,20013,Brown,"{""20013"": ""83.28"", ""20005"": ""16.72""}","Brown,Atchison","20013,20005",False,False,America/Chicago,"39.6811, -95.39732"
66701,Fort Scott,KS,Kansas,True,,12274.0,16.1,20011,Bourbon,"{""20011"": ""99.85"", ""20037"": ""0.15""}","Bourbon,Crawford","20011,20037",False,False,America/Chicago,"37.82353, -94.76156"
66769,Redfield,KS,Kansas,True,,451.0,3.3,20011,Bourbon,"{""20011"": ""100""}",Bourbon,20011,False,False,America/Chicago,"37.85605, -94.89366"
66830,Admire,KS,Kansas,True,,166.0,2.2,20111,Lyon,"{""20111"": ""100""}",Lyon,20111,False,False,America/Chicago,"38.59844, -96.08713"
66839,Burlington,KS,Kansas,True,,3754.0,10.3,20031,Coffey,"{""20031"": ""100""}",Coffey,20031,False,False,America/Chicago,"38.21416, -95.75078"
66864,Neosho Rapids,KS,Kansas,True,,384.0,3.6,20111,Lyon,"{""20111"": ""90.79"", ""20031"": ""9.21""}","Lyon,Coffey","20111,20031",False,False,America/Chicago,"38.35644, -95.98371"
66869,Strong City,KS,Kansas,True,,739.0,2.4,20017,Chase,"{""20017"": ""100""}",Chase,20017,False,False,America/Chicago,"38.45772, -96.52745"
66933,Barnes,KS,Kansas,True,,281.0,1.3,20201,Washington,"{""20201"": ""95.64"", ""20161"": ""4.36""}","Washington,Riley","20201,20161",False,False,America/Chicago,"39.67382, -96.8666"
67017,Benton,KS,Kansas,True,,2383.0,14.2,20015,Butler,"{""20015"": ""91.94"", ""20173"": ""8.06""}","Butler,Sedgwick","20015,20173",False,False,America/Chicago,"37.8263, -97.11165"
67026,Clearwater,KS,Kansas,True,,4703.0,18.5,20173,Sedgwick,"{""20173"": ""96.49"", ""20191"": ""3.51""}","Sedgwick,Sumner","20173,20191",False,False,America/Chicago,"37.51121, -97.49331"
67031,Conway Springs,KS,Kansas,True,,2650.0,9.2,20191,Sumner,"{""20191"": ""99.44"", ""20173"": ""0.56""}","Sumner,Sedgwick","20191,20173",False,False,America/Chicago,"37.40166, -97.64047"
67041,Elbing,KS,Kansas,True,,335.0,441.8,20015,Butler,"{""20015"": ""100""}",Butler,20015,False,False,America/Chicago,"38.05399, -97.12999"
67049,Freeport,KS,Kansas,True,,137.0,1.2,20077,Harper,"{""20077"": ""93.67"", ""20191"": ""6.33""}","Harper,Sumner","20077,20191",False,False,America/Chicago,"37.17744, -97.84637"
67106,Milton,KS,Kansas,True,,316.0,2.4,20191,Sumner,"{""20191"": ""84.54"", ""20173"": ""15.46""}","Sumner,Sedgwick","20191,20173",False,False,America/Chicago,"37.46711, -97.75732"
67109,Mullinville,KS,Kansas,True,,342.0,0.7,20097,Kiowa,"{""20097"": ""100""}",Kiowa,20097,False,False,America/Chicago,"37.56373, -99.4826"
67114,Newton,KS,Kansas,True,,21135.0,34.4,20079,Harvey,"{""20079"": ""96.91"", ""20115"": ""2.05"", ""20015"": ""0.89"", ""20113"": ""0.15""}","Harvey,Marion,Butler,McPherson","20079,20115,20015,20113",False,False,America/Chicago,"38.07349, -97.28875"
67460,Mcpherson,KS,Kansas,True,,15160.0,25.5,20113,McPherson,"{""20113"": ""100""}",McPherson,20113,False,False,America/Chicago,"38.38361, -97.69807"
67554,Lyons,KS,Kansas,True,,4006.0,8.5,20159,Rice,"{""20159"": ""100""}",Rice,20159,False,False,America/Chicago,"38.37452, -98.1931"
67561,Nickerson,KS,Kansas,True,,1277.0,7.6,20155,Reno,"{""20155"": ""100""}",Reno,20155,False,False,America/Chicago,"38.10633, -98.0948"
67570,Pretty Prairie,KS,Kansas,True,,1315.0,3.7,20155,Reno,"{""20155"": ""91.11"", ""20095"": ""8.89""}","Reno,Kingman","20155,20095",False,False,America/Chicago,"37.78635, -97.96912"
67632,Damar,KS,Kansas,True,,201.0,1.5,20163,Rooks,"{""20163"": ""85.02"", ""20065"": ""14.98""}","Rooks,Graham","20163,20065",False,False,America/Chicago,"39.3398, -99.58165"
67644,Kirwin,KS,Kansas,True,,261.0,1.3,20147,Phillips,"{""20147"": ""100""}",Phillips,20147,False,False,America/Chicago,"39.6333, -99.15781"
67732,Brewster,KS,Kansas,True,,468.0,0.6,20193,Thomas,"{""20193"": ""83.98"", ""20181"": ""12.15"", ""20153"": ""3.87""}","Thomas,Sherman,Rawlins","20193,20181,20153",False,False,America/Chicago,"39.4121, -101.36108"
67749,Oberlin,KS,Kansas,True,,2097.0,1.8,20039,Decatur,"{""20039"": ""99.31"", ""20153"": ""0.69""}","Decatur,Rawlins","20039,20153",False,False,America/Chicago,"39.83379, -100.56487"
67835,Cimarron,KS,Kansas,True,,2849.0,2.5,20069,Gray,"{""20069"": ""95.13"", ""20055"": ""4.87""}","Gray,Finney","20069,20055",False,False,America/Chicago,"37.97104, -100.32684"
67871,Scott City,KS,Kansas,True,,4941.0,2.2,20171,Scott,"{""20171"": ""98.49"", ""20109"": ""0.58"", ""20055"": ""0.52"", ""20203"": ""0.34"", ""20063"": ""0.06""}","Scott,Logan,Finney,Wichita,Gove","20171,20109,20055,20203,20063",False,False,America/Chicago,"38.51757, -100.90556"
67954,Rolla,KS,Kansas,True,,894.0,1.2,20129,Morton,"{""20129"": ""97.43"", ""20189"": ""2.57""}","Morton,Stevens","20129,20189",False,False,America/Chicago,"37.20867, -101.64224"
66040,La Cygne,KS,Kansas,True,,3305.0,8.8,20107,Linn,"{""20107"": ""91.6"", ""20121"": ""8.4""}","Linn,Miami","20107,20121",False,False,America/Chicago,"38.35272, -94.74359"
66043,Lansing,KS,Kansas,True,,10941.0,321.9,20103,Leavenworth,"{""20103"": ""100""}",Leavenworth,20103,False,False,America/Chicago,"39.25162, -94.8784"
66073,Perry,KS,Kansas,True,,2598.0,15.3,20087,Jefferson,"{""20087"": ""100""}",Jefferson,20087,False,False,America/Chicago,"39.09016, -95.3763"
66208,Prairie Village,KS,Kansas,True,,21264.0,1260.6,20091,Johnson,"{""20091"": ""100""}",Johnson,20091,False,False,America/Chicago,"38.99923, -94.62965"
66414,Carbondale,KS,Kansas,True,,2973.0,18.8,20139,Osage,"{""20139"": ""100""}",Osage,20139,False,False,America/Chicago,"38.82943, -95.68859"
66431,Harveyville,KS,Kansas,True,,651.0,4.0,20197,Wabaunsee,"{""20197"": ""92.7"", ""20177"": ""7.3""}","Wabaunsee,Shawnee","20197,20177",False,False,America/Chicago,"38.80471, -96.00433"
