zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
40040,Mackville,KY,Kentucky,True,,335.0,6.3,21229,Washington,"{""21229"": ""100""}",Washington,21229,False,False,America/New_York,"37.77058, -85.05538"
40052,New Hope,KY,Kentucky,True,,564.0,10.3,21179,Nelson,"{""21179"": ""69.13"", ""21155"": ""25.24"", ""21123"": ""5.63""}","Nelson,Marion,Larue","21179,21155,21123",False,False,America/New_York,"37.58293, -85.51214"
40055,Pendleton,KY,Kentucky,True,,2042.0,38.4,21103,Henry,"{""21103"": ""53.25"", ""21223"": ""25.57"", ""21185"": ""21.18""}","Henry,Trimble,Oldham","21103,21223,21185",False,False,America/New_York,"38.49678, -85.32477"
40056,Pewee Valley,KY,Kentucky,True,,3421.0,464.1,21185,Oldham,"{""21185"": ""100""}",Oldham,21185,False,False,America/New_York,"38.30628, -85.48823"
40146,Irvington,KY,Kentucky,True,,4103.0,18.9,21027,Breckinridge,"{""21027"": ""100""}",Breckinridge,21027,False,False,America/Chicago,"37.85466, -86.33149"
40155,Muldraugh,KY,Kentucky,True,,1040.0,743.4,21163,Meade,"{""21163"": ""100""}",Meade,21163,False,False,America/New_York,"37.93704, -85.99176"
40505,Lexington,KY,Kentucky,True,,26152.0,1265.1,21067,Fayette,"{""21067"": ""100""}",Fayette,21067,False,False,America/New_York,"38.05995, -84.45692"
40807,Benham,KY,Kentucky,True,,391.0,491.4,21095,Harlan,"{""21095"": ""100""}",Harlan,21095,False,False,America/New_York,"36.96438, -82.94732"
40823,Cumberland,KY,Kentucky,True,,3566.0,23.7,21095,Harlan,"{""21095"": ""97.68"", ""21133"": ""2.32""}","Harlan,Letcher","21095,21133",False,False,America/New_York,"36.95985, -82.99713"
40843,Holmes Mill,KY,Kentucky,True,,275.0,3.5,21095,Harlan,"{""21095"": ""100""}",Harlan,21095,False,False,America/New_York,"36.8969, -82.97963"
41052,Jonesville,KY,Kentucky,True,,102.0,14.6,21081,Grant,"{""21081"": ""100""}",Grant,21081,False,False,America/New_York,"38.67366, -84.76982"
41055,Mayslick,KY,Kentucky,True,,1924.0,11.8,21161,Mason,"{""21161"": ""95.31"", ""21069"": ""4.69""}","Mason,Fleming","21161,21069",False,False,America/New_York,"38.51828, -83.87086"
41168,Rush,KY,Kentucky,True,,2675.0,18.9,21019,Boyd,"{""21019"": ""60.5"", ""21043"": ""39.5""}","Boyd,Carter","21019,21043",False,False,America/New_York,"38.30732, -82.76223"
41238,Oil Springs,KY,Kentucky,True,,639.0,10.9,21115,Johnson,"{""21115"": ""100""}",Johnson,21115,False,False,America/New_York,"37.84853, -82.95474"
41557,Raccoon,KY,Kentucky,True,,1780.0,33.0,21195,Pike,"{""21195"": ""100""}",Pike,21195,False,False,America/New_York,"37.48553, -82.41805"
41667,Weeksbury,KY,Kentucky,True,,599.0,29.1,21071,Floyd,"{""21071"": ""100""}",Floyd,21071,False,False,America/New_York,"37.32021, -82.69148"
41712,Ary,KY,Kentucky,True,,411.0,30.5,21193,Perry,"{""21193"": ""100""}",Perry,21193,False,False,America/New_York,"37.36672, -83.13816"
42031,Clinton,KY,Kentucky,True,,2898.0,7.4,21105,Hickman,"{""21105"": ""100""}",Hickman,21105,False,False,America/Chicago,"36.68755, -88.99122"
42083,Tiline,KY,Kentucky,True,,260.0,3.5,21139,Livingston,"{""21139"": ""100""}",Livingston,21139,False,False,America/Chicago,"37.16145, -88.27925"
42217,Crofton,KY,Kentucky,True,,3164.0,7.7,21047,Christian,"{""21047"": ""100""}",Christian,21047,False,False,America/Chicago,"37.04837, -87.46144"
42265,Olmstead,KY,Kentucky,True,,954.0,7.2,21141,Logan,"{""21141"": ""93.05"", ""21219"": ""6.95""}","Logan,Todd","21141,21219",False,False,America/Chicago,"36.73581, -86.99345"
42344,Graham,KY,Kentucky,True,,854.0,9.5,21177,Muhlenberg,"{""21177"": ""100""}",Muhlenberg,21177,False,False,America/Chicago,"37.25686, -87.32011"
42347,Hartford,KY,Kentucky,True,,6204.0,19.4,21183,Ohio,"{""21183"": ""100""}",Ohio,21183,False,False,America/Chicago,"37.52455, -86.88429"
42411,Fredonia,KY,Kentucky,True,,1934.0,8.6,21033,Caldwell,"{""21033"": ""75.79"", ""21055"": ""20.05"", ""21143"": ""4.17""}","Caldwell,Crittenden,Lyon","21033,21055,21143",False,False,America/Chicago,"37.20308, -88.01808"
42431,Madisonville,KY,Kentucky,True,,25729.0,59.6,21107,Hopkins,"{""21107"": ""100""}",Hopkins,21107,False,False,America/Chicago,"37.32921, -87.4783"
42565,Windsor,KY,Kentucky,True,,846.0,12.2,21045,Casey,"{""21045"": ""100""}",Casey,21045,False,False,America/New_York,"37.15503, -84.89352"
42649,Strunk,KY,Kentucky,True,,2087.0,11.2,21147,McCreary,"{""21147"": ""100""}",McCreary,21147,False,False,America/New_York,"36.62464, -84.42251"
40014,Crestwood,KY,Kentucky,True,,21714.0,152.2,21185,Oldham,"{""21185"": ""100""}",Oldham,21185,False,False,America/New_York,"38.34187, -85.43096"
40037,Loretto,KY,Kentucky,True,,2764.0,21.7,21155,Marion,"{""21155"": ""91.31"", ""21179"": ""8.69""}","Marion,Nelson","21155,21179",False,False,America/New_York,"37.65468, -85.41157"
40152,McDaniels,KY,Kentucky,True,,1191.0,47.7,21027,Breckinridge,"{""21027"": ""100""}",Breckinridge,21027,False,False,America/Chicago,"37.61503, -86.44294"
40161,Rhodelia,KY,Kentucky,True,,188.0,10.3,21163,Meade,"{""21163"": ""100""}",Meade,21163,False,False,America/New_York,"38.00253, -86.39048"
40215,Louisville,KY,Kentucky,True,,20754.0,2136.4,21111,Jefferson,"{""21111"": ""100""}",Jefferson,21111,False,False,America/New_York,"38.19105, -85.78598"
40243,Louisville,KY,Kentucky,True,,10485.0,1009.0,21111,Jefferson,"{""21111"": ""100""}",Jefferson,21111,False,False,America/New_York,"38.23927, -85.53425"
40330,Harrodsburg,KY,Kentucky,True,,19892.0,34.7,21167,Mercer,"{""21167"": ""96.48"", ""21229"": ""3.52""}","Mercer,Washington","21167,21229",False,False,America/New_York,"37.7896, -84.89168"
40334,Hope,KY,Kentucky,True,,59.0,38.9,21173,Montgomery,"{""21173"": ""69.74"", ""21011"": ""30.26""}","Montgomery,Bath","21173,21011",False,False,America/New_York,"38.01466, -83.76562"
40339,Keene,KY,Kentucky,True,,0.0,0.0,21113,Jessamine,"{""21113"": ""100""}",Jessamine,21113,False,False,America/New_York,"37.94188, -84.6443"
40387,Wellington,KY,Kentucky,True,,1939.0,10.3,21165,Menifee,"{""21165"": ""93.94"", ""21175"": ""6.06""}","Menifee,Morgan","21165,21175",False,False,America/New_York,"37.93536, -83.49267"
40434,Gray Hawk,KY,Kentucky,True,,0.0,0.0,21109,Jackson,"{""21109"": ""100""}",Jackson,21109,False,False,America/New_York,"37.39449, -83.94037"
40437,Hustonville,KY,Kentucky,True,,5459.0,17.4,21137,Lincoln,"{""21137"": ""77.37"", ""21045"": ""22.63""}","Lincoln,Casey","21137,21045",False,False,America/New_York,"37.44551, -84.86586"
40771,Woodbine,KY,Kentucky,True,,1301.0,40.3,21121,Knox,"{""21121"": ""58.05"", ""21235"": ""41.95""}","Knox,Whitley","21121,21235",False,False,America/New_York,"36.85863, -84.03479"
40826,Eolia,KY,Kentucky,True,,590.0,7.3,21133,Letcher,"{""21133"": ""100""}",Letcher,21133,False,False,America/New_York,"37.05391, -82.78091"
40873,Wallins Creek,KY,Kentucky,True,,2359.0,30.7,21095,Harlan,"{""21095"": ""100""}",Harlan,21095,False,False,America/New_York,"36.8179, -83.40889"
40964,Mary Alice,KY,Kentucky,True,,52.0,7.8,21095,Harlan,"{""21095"": ""100""}",Harlan,21095,False,False,America/New_York,"36.77285, -83.31337"
40983,Sextons Creek,KY,Kentucky,True,,460.0,9.4,21051,Clay,"{""21051"": ""71.31"", ""21189"": ""28.69""}","Clay,Owsley","21051,21189",False,False,America/New_York,"37.33297, -83.76662"
41010,Corinth,KY,Kentucky,True,,3412.0,14.9,21081,Grant,"{""21081"": ""51.1"", ""21187"": ""35.47"", ""21097"": ""10.07"", ""21209"": ""3.36""}","Grant,Owen,Harrison,Scott","21081,21187,21097,21209",False,False,America/New_York,"38.49773, -84.60525"
41039,Ewing,KY,Kentucky,True,,2897.0,15.1,21069,Fleming,"{""21069"": ""97.24"", ""21181"": ""2.76""}","Fleming,Nicholas","21069,21181",False,False,America/New_York,"38.41149, -83.88076"
