zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
70082,Pointe A La Hache,LA,Louisiana,True,,190.0,5.4,22075,Plaquemines,"{""22075"": ""100""}",Plaquemines,22075,False,False,America/Chicago,"29.5582, -89.74973"
70356,Gibson,LA,Louisiana,True,,1903.0,11.2,22109,Terrebonne,"{""22109"": ""100""}",Terrebonne,22109,False,False,America/Chicago,"29.64175, -90.9606"
70358,Grand Isle,LA,Louisiana,True,,740.0,44.6,22051,Jefferson,"{""22051"": ""100""}",Jefferson,22051,False,False,America/Chicago,"29.21577, -90.02775"
70427,Bogalusa,LA,Louisiana,True,,19486.0,51.1,22117,Washington,"{""22117"": ""96.65"", ""22103"": ""3.35""}","Washington,St. Tammany","22117,22103",False,False,America/Chicago,"30.74609, -89.91074"
70435,Covington,LA,Louisiana,True,,17288.0,63.7,22103,St. Tammany,"{""22103"": ""99.73"", ""22105"": ""0.27""}","St. Tammany,Tangipahoa","22103,22105",False,False,America/Chicago,"30.55782, -90.10716"
70538,Franklin,LA,Louisiana,True,,14125.0,35.2,22101,St. Mary,"{""22101"": ""100""}",St. Mary,22101,False,False,America/Chicago,"29.76614, -91.58223"
70548,Kaplan,LA,Louisiana,True,,10397.0,7.9,22113,Vermilion,"{""22113"": ""100""}",Vermilion,22113,False,False,America/Chicago,"29.80528, -92.40555"
70555,Maurice,LA,Louisiana,True,,8431.0,65.7,22113,Vermilion,"{""22113"": ""96.36"", ""22055"": ""3.64""}","Vermilion,Lafayette","22113,22055",False,False,America/Chicago,"30.08119, -92.14556"
70559,Morse,LA,Louisiana,True,,3061.0,14.4,22001,Acadia,"{""22001"": ""100""}",Acadia,22001,False,False,America/Chicago,"30.12481, -92.50458"
70582,Saint Martinville,LA,Louisiana,True,,19408.0,52.1,22099,St. Martin,"{""22099"": ""96.7"", ""22045"": ""3.3""}","St. Martin,Iberia","22099,22045",False,False,America/Chicago,"30.15874, -91.78739"
70661,Starks,LA,Louisiana,True,,1745.0,3.9,22019,Calcasieu,"{""22019"": ""85.28"", ""22011"": ""14.72""}","Calcasieu,Beauregard","22019,22011",False,False,America/Chicago,"30.3599, -93.6503"
70719,Brusly,LA,Louisiana,True,,4555.0,108.2,22121,West Baton Rouge,"{""22121"": ""100""}",West Baton Rouge,22121,False,False,America/Chicago,"30.3769, -91.28986"
70748,Jackson,LA,Louisiana,True,,7429.0,36.1,22037,East Feliciana,"{""22037"": ""96.77"", ""22033"": ""3.23""}","East Feliciana,East Baton Rouge","22037,22033",False,False,America/Chicago,"30.81405, -91.20544"
70753,Lettsworth,LA,Louisiana,True,,885.0,5.0,22077,Pointe Coupee,"{""22077"": ""100""}",Pointe Coupee,22077,False,False,America/Chicago,"30.94499, -91.72702"
71046,Keatchie,LA,Louisiana,True,,914.0,3.9,22031,De Soto,"{""22031"": ""87.34"", ""22017"": ""12.66""}","De Soto,Caddo","22031,22017",False,False,America/Chicago,"32.16403, -93.95024"
71209,Monroe,LA,Louisiana,True,,179.0,7501.5,22073,Ouachita,"{""22073"": ""100""}",Ouachita,22073,False,False,America/Chicago,"32.52915, -92.07003"
71286,Transylvania,LA,Louisiana,True,,362.0,1.5,22035,East Carroll,"{""22035"": ""100""}",East Carroll,22035,False,False,America/Chicago,"32.66443, -91.19645"
71325,Cheneyville,LA,Louisiana,True,,1128.0,5.1,22079,Rapides,"{""22079"": ""79.94"", ""22039"": ""20.06""}","Rapides,Evangeline","22079,22039",False,False,America/Chicago,"31.00135, -92.32192"
71345,Lebeau,LA,Louisiana,True,,177.0,414.2,22097,St. Landry,"{""22097"": ""100""}",St. Landry,22097,False,False,America/Chicago,"30.72926, -91.97539"
71356,Morrow,LA,Louisiana,True,,947.0,10.6,22097,St. Landry,"{""22097"": ""83.02"", ""22009"": ""16.98""}","St. Landry,Avoyelles","22097,22009",False,False,America/Chicago,"30.82064, -92.04833"
71357,Newellton,LA,Louisiana,True,,1821.0,2.5,22107,Tensas,"{""22107"": ""100""}",Tensas,22107,False,False,America/Chicago,"32.11106, -91.29853"
71369,Simmesport,LA,Louisiana,True,,2534.0,12.8,22009,Avoyelles,"{""22009"": ""100""}",Avoyelles,22009,False,False,America/Chicago,"30.92272, -91.86756"
71404,Atlanta,LA,Louisiana,True,,777.0,2.9,22127,Winn,"{""22127"": ""66.12"", ""22043"": ""33.88""}","Winn,Grant","22127,22043",False,False,America/Chicago,"31.74824, -92.74907"
71407,Bentley,LA,Louisiana,True,,649.0,18.2,22043,Grant,"{""22043"": ""100""}",Grant,22043,False,False,America/Chicago,"31.51593, -92.48601"
71426,Fisher,LA,Louisiana,True,,355.0,117.1,22085,Sabine,"{""22085"": ""100""}",Sabine,22085,False,False,America/Chicago,"31.4989, -93.45992"
