zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
1026,Cummington,MA,Massachusetts,True,,933.0,15.0,25015,Hampshire,"{""25015"": ""100""}",Hampshire,25015,False,False,America/New_York,"42.4633, -72.92024"
1063,Northampton,MA,Massachusetts,True,,611.0,6079.5,25015,Hampshire,"{""25015"": ""100""}",Hampshire,25015,False,False,America/New_York,"42.31901, -72.63905"
1104,Springfield,MA,Massachusetts,True,,23740.0,1757.3,25013,Hampden,"{""25013"": ""100""}",Hampden,25013,False,False,America/New_York,"42.13404, -72.56679"
1129,Springfield,MA,Massachusetts,True,,6941.0,782.1,25013,Hampden,"{""25013"": ""100""}",Hampden,25013,False,False,America/New_York,"42.121, -72.48773"
1379,Wendell,MA,Massachusetts,True,,829.0,10.6,25011,Franklin,"{""25011"": ""100""}",Franklin,25011,False,False,America/New_York,"42.55286, -72.40253"
1464,Shirley,MA,Massachusetts,True,,7633.0,196.8,25017,Middlesex,"{""25017"": ""100""}",Middlesex,25017,False,False,America/New_York,"42.5733, -71.64836"
1501,Auburn,MA,Massachusetts,True,,16619.0,415.0,25027,Worcester,"{""25027"": ""100""}",Worcester,25027,False,False,America/New_York,"42.19721, -71.84534"
1564,Sterling,MA,Massachusetts,True,,8091.0,102.0,25027,Worcester,"{""25027"": ""100""}",Worcester,25027,False,False,America/New_York,"42.44124, -71.77297"
1718,Acton,MA,Massachusetts,True,,790.0,6569.1,25017,Middlesex,"{""25017"": ""100""}",Middlesex,25017,False,False,America/New_York,"42.51978, -71.42928"
1985,West Newbury,MA,Massachusetts,True,,4631.0,133.0,25009,Essex,"{""25009"": ""100""}",Essex,25009,False,False,America/New_York,"42.79391, -70.96908"
2122,Dorchester,MA,Massachusetts,True,,24485.0,4645.6,25025,Suffolk,"{""25025"": ""100""}",Suffolk,25025,False,False,America/New_York,"42.30007, -71.03352"
2126,Mattapan,MA,Massachusetts,True,,29620.0,5499.5,25025,Suffolk,"{""25025"": ""100""}",Suffolk,25025,False,False,America/New_York,"42.2743, -71.09388"
2149,Everett,MA,Massachusetts,True,,46118.0,5201.8,25017,Middlesex,"{""25017"": ""100"", ""25025"": ""0""}","Middlesex,Suffolk","25017,25025",False,False,America/New_York,"42.40642, -71.05447"
2322,Avon,MA,Massachusetts,True,,4500.0,404.8,25021,Norfolk,"{""25021"": ""100""}",Norfolk,25021,False,False,America/New_York,"42.12666, -71.04924"
