zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
21048,Finksburg,MD,Maryland,True,,10276.0,146.6,24013,Carroll,"{""24013"": ""100""}",Carroll,24013,False,False,America/New_York,"39.49525, -76.91035"
21053,Freeland,MD,Maryland,True,,3225.0,55.5,24005,Baltimore,"{""24005"": ""100""}",Baltimore,24005,False,False,America/New_York,"39.69257, -76.71561"
21146,Severna Park,MD,Maryland,True,,27555.0,1039.8,24003,Anne Arundel,"{""24003"": ""100""}",Anne Arundel,24003,False,False,America/New_York,"39.07758, -76.55665"
21562,Westernport,MD,Maryland,True,,3519.0,46.9,24001,Allegany,"{""24001"": ""98.95"", ""24023"": ""1.05""}","Allegany,Garrett","24001,24023",False,False,America/New_York,"39.50344, -79.05051"
21601,Easton,MD,Maryland,True,,23399.0,82.6,24041,Talbot,"{""24041"": ""100""}",Talbot,24041,False,False,America/New_York,"38.79377, -76.08178"
21853,Princess Anne,MD,Maryland,True,,11957.0,38.8,24039,Somerset,"{""24039"": ""100""}",Somerset,24039,False,False,America/New_York,"38.20319, -75.71508"
21918,Conowingo,MD,Maryland,True,,3692.0,80.7,24015,Cecil,"{""24015"": ""100""}",Cecil,24015,False,False,America/New_York,"39.68362, -76.16681"
20645,Issue,MD,Maryland,True,,749.0,131.3,24017,Charles,"{""24017"": ""100""}",Charles,24017,False,False,America/New_York,"38.29668, -76.90644"
20659,Mechanicsville,MD,Maryland,True,,23312.0,95.7,24037,St. Mary's,"{""24037"": ""98.43"", ""24017"": ""1.57""}","St. Mary's,Charles","24037,24017",False,False,America/New_York,"38.42062, -76.73142"
20765,Galesville,MD,Maryland,True,,407.0,336.6,24003,Anne Arundel,"{""24003"": ""100""}",Anne Arundel,24003,False,False,America/New_York,"38.84459, -76.54561"
20896,Garrett Park,MD,Maryland,True,,775.0,1208.1,24031,Montgomery,"{""24031"": ""100""}",Montgomery,24031,False,False,America/New_York,"39.03621, -77.09344"
21047,Fallston,MD,Maryland,True,,12266.0,201.2,24025,Harford,"{""24025"": ""100""}",Harford,24025,False,False,America/New_York,"39.52804, -76.43925"
21076,Hanover,MD,Maryland,True,,17442.0,534.3,24003,Anne Arundel,"{""24003"": ""87.33"", ""24027"": ""12.67""}","Anne Arundel,Howard","24003,24027",False,False,America/New_York,"39.16683, -76.72159"
21077,Harmans,MD,Maryland,True,,276.0,162.0,24003,Anne Arundel,"{""24003"": ""100""}",Anne Arundel,24003,False,False,America/New_York,"39.15605, -76.69762"
21085,Joppa,MD,Maryland,True,,16055.0,345.8,24025,Harford,"{""24025"": ""99.86"", ""24005"": ""0.14""}","Harford,Baltimore","24025,24005",False,False,America/New_York,"39.44788, -76.35469"
20622,Charlotte Hall,MD,Maryland,True,,6887.0,71.1,24017,Charles,"{""24017"": ""63.88"", ""24037"": ""36.12""}","Charles,St. Mary's","24017,24037",False,False,America/New_York,"38.45397, -76.84481"
20854,Potomac,MD,Maryland,True,,49189.0,562.4,24031,Montgomery,"{""24031"": ""100""}",Montgomery,24031,False,False,America/New_York,"39.03376, -77.22046"
20868,Spencerville,MD,Maryland,True,,780.0,150.2,24031,Montgomery,"{""24031"": ""100""}",Montgomery,24031,False,False,America/New_York,"39.12586, -76.96844"
