zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
3904,Kittery,ME,Maine,True,,7996.0,274.8,23031,York,"{""23031"": ""100""}",York,23031,False,False,America/New_York,"43.11055, -70.73108"
3905,Kittery Point,ME,Maine,True,,1735.0,102.1,23031,York,"{""23031"": ""100""}",York,23031,False,False,America/New_York,"43.08684, -70.68718"
4022,Denmark,ME,Maine,True,,1282.0,10.7,23017,Oxford,"{""23017"": ""100""}",Oxford,23017,False,False,America/New_York,"43.98049, -70.80722"
4037,Fryeburg,ME,Maine,True,,3869.0,18.1,23017,Oxford,"{""23017"": ""100""}",Oxford,23017,False,False,America/New_York,"44.09281, -70.94984"
4226,East Andover,ME,Maine,True,,182.0,6.5,23017,Oxford,"{""23017"": ""100""}",Oxford,23017,False,False,America/New_York,"44.60844, -70.69937"
4236,Greene,ME,Maine,True,,4342.0,51.9,23001,Androscoggin,"{""23001"": ""100""}",Androscoggin,23001,False,False,America/New_York,"44.19041, -70.14461"
4263,Leeds,ME,Maine,True,,2215.0,21.4,23001,Androscoggin,"{""23001"": ""100""}",Androscoggin,23001,False,False,America/New_York,"44.29481, -70.13062"
4330,Augusta,ME,Maine,True,,25712.0,84.8,23011,Kennebec,"{""23011"": ""100""}",Kennebec,23011,False,False,America/New_York,"44.36394, -69.73739"
4353,Whitefield,ME,Maine,True,,2389.0,19.7,23015,Lincoln,"{""23015"": ""100""}",Lincoln,23015,False,False,America/New_York,"44.20527, -69.61249"
4459,Mattawamkeag,ME,Maine,True,,903.0,4.3,23019,Penobscot,"{""23019"": ""88.87"", ""23003"": ""11.13""}","Penobscot,Aroostook","23019,23003",False,False,America/New_York,"45.5941, -68.3406"
4492,Waite,ME,Maine,True,,123.0,1.0,23029,Washington,"{""23029"": ""100""}",Washington,23029,False,False,America/New_York,"45.3491, -67.67788"
4574,Washington,ME,Maine,True,,1447.0,14.7,23013,Knox,"{""23013"": ""100""}",Knox,23013,False,False,America/New_York,"44.27335, -69.39127"
4653,Bass Harbor,ME,Maine,True,,565.0,76.1,23009,Hancock,"{""23009"": ""100""}",Hancock,23009,False,False,America/New_York,"44.2313, -68.34036"
4761,New Limerick,ME,Maine,True,,565.0,11.9,23003,Aroostook,"{""23003"": ""100""}",Aroostook,23003,False,False,America/New_York,"46.11835, -67.97138"
4912,Athens,ME,Maine,True,,974.0,6.3,23025,Somerset,"{""23025"": ""100""}",Somerset,23025,False,False,America/New_York,"44.98414, -69.6839"
4050,Long Island,ME,Maine,True,,314.0,84.4,23005,Cumberland,"{""23005"": ""100""}",Cumberland,23005,False,False,America/New_York,"43.69205, -70.15696"
4108,Peaks Island,ME,Maine,True,,867.0,281.1,23005,Cumberland,"{""23005"": ""100""}",Cumberland,23005,False,False,America/New_York,"43.66057, -70.18901"
4345,Gardiner,ME,Maine,True,,11421.0,61.2,23011,Kennebec,"{""23011"": ""99.9"", ""23023"": ""0.1""}","Kennebec,Sagadahoc","23011,23023",False,False,America/New_York,"44.19822, -69.78479"
4490,Topsfield,ME,Maine,True,,268.0,0.4,23029,Washington,"{""23029"": ""100""}",Washington,23029,False,False,America/New_York,"45.43358, -67.85571"
4497,Wytopitlock,ME,Maine,True,,304.0,0.5,23003,Aroostook,"{""23003"": ""88.17"", ""23019"": ""11.83""}","Aroostook,Penobscot","23003,23019",False,False,America/New_York,"45.76367, -68.05134"
4605,Ellsworth,ME,Maine,True,,14137.0,19.2,23009,Hancock,"{""23009"": ""100""}",Hancock,23009,False,False,America/New_York,"44.67483, -68.41713"
4849,Lincolnville,ME,Maine,True,,3889.0,24.6,23027,Waldo,"{""23027"": ""100""}",Waldo,23027,False,False,America/New_York,"44.31793, -69.04753"
4921,Brooks,ME,Maine,True,,1510.0,12.3,23027,Waldo,"{""23027"": ""100""}",Waldo,23027,False,False,America/New_York,"44.57091, -69.13348"
4953,Newport,ME,Maine,True,,3228.0,42.3,23019,Penobscot,"{""23019"": ""100""}",Penobscot,23019,False,False,America/New_York,"44.86019, -69.23297"
4958,North Anson,ME,Maine,True,,1721.0,12.1,23025,Somerset,"{""23025"": ""100""}",Somerset,23025,False,False,America/New_York,"44.90752, -69.93066"
4964,Oquossoc,ME,Maine,True,,111.0,0.5,23007,Franklin,"{""23007"": ""99.55"", ""23017"": ""0.45""}","Franklin,Oxford","23007,23017",False,False,America/New_York,"44.87582, -70.78325"
4973,Searsmont,ME,Maine,True,,1323.0,13.5,23027,Waldo,"{""23027"": ""100""}",Waldo,23027,False,False,America/New_York,"44.36225, -69.19305"
3906,North Berwick,ME,Maine,True,,4713.0,47.6,23031,York,"{""23031"": ""100""}",York,23031,False,False,America/New_York,"43.346, -70.77759"
3911,York Harbor,ME,Maine,True,,59.0,65.5,23031,York,"{""23031"": ""100""}",York,23031,False,False,America/New_York,"43.13488, -70.63485"
4228,East Livermore,ME,Maine,True,,0.0,0.0,23001,Androscoggin,"{""23001"": ""100""}",Androscoggin,23001,False,False,America/New_York,"44.43256, -70.11501"
4270,Oxford,ME,Maine,True,,6350.0,31.2,23017,Oxford,"{""23017"": ""100""}",Oxford,23017,False,False,America/New_York,"44.1124, -70.51561"
4294,Wilton,ME,Maine,True,,3963.0,26.5,23007,Franklin,"{""23007"": ""100""}",Franklin,23007,False,False,America/New_York,"44.62897, -70.26955"
4346,Randolph,ME,Maine,True,,1921.0,347.4,23011,Kennebec,"{""23011"": ""100""}",Kennebec,23011,False,False,America/New_York,"44.23469, -69.75061"
4418,Greenbush,ME,Maine,True,,1729.0,4.5,23019,Penobscot,"{""23019"": ""100""}",Penobscot,23019,False,False,America/New_York,"45.08638, -68.4722"
