zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
48095,Washington,MI,Michigan,True,,5765.0,131.5,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,False,False,America/Detroit,"42.7798, -83.03864"
48201,Detroit,MI,Michigan,True,,15846.0,3050.9,26163,Wayne,"{""26163"": ""100""}",Wayne,26163,False,False,America/Detroit,"42.34704, -83.06014"
48206,Detroit,MI,Michigan,True,,16065.0,1984.4,26163,Wayne,"{""26163"": ""100""}",Wayne,26163,False,False,America/Detroit,"42.3751, -83.10785"
48335,Farmington,MI,Michigan,True,,22998.0,1178.8,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,False,False,America/Detroit,"42.46285, -83.40199"
48367,Leonard,MI,Michigan,True,,4697.0,77.3,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,False,False,America/Detroit,"42.84283, -83.14145"
48437,Genesee,MI,Michigan,True,,783.0,511.9,26049,Genesee,"{""26049"": ""100""}",Genesee,26049,False,False,America/Detroit,"43.11231, -83.61542"
48453,Marlette,MI,Michigan,True,,5153.0,18.6,26151,Sanilac,"{""26151"": ""89.9"", ""26157"": ""5.29"", ""26087"": ""4.82""}","Sanilac,Tuscola,Lapeer","26151,26157,26087",False,False,America/Detroit,"43.34412, -83.03193"
48466,Peck,MI,Michigan,True,,1473.0,15.5,26151,Sanilac,"{""26151"": ""100""}",Sanilac,26151,False,False,America/Detroit,"43.27695, -82.81672"
48631,Kawkawlin,MI,Michigan,True,,4188.0,48.8,26017,Bay,"{""26017"": ""100""}",Bay,26017,False,False,America/Detroit,"43.68516, -84.001"
48662,Wheeler,MI,Michigan,True,,1659.0,13.8,26057,Gratiot,"{""26057"": ""80.3"", ""26111"": ""19.7""}","Gratiot,Midland","26057,26111",False,False,America/Detroit,"43.41115, -84.41098"
48667,Midland,MI,Michigan,True,,0.0,0.0,26111,Midland,"{""26111"": ""0""}",Midland,26111,False,False,America/Detroit,"43.60217, -84.23409"
48705,Barton City,MI,Michigan,True,,511.0,2.2,26001,Alcona,"{""26001"": ""100""}",Alcona,26001,False,False,America/Detroit,"44.70086, -83.65359"
48730,East Tawas,MI,Michigan,True,,4558.0,24.0,26069,Iosco,"{""26069"": ""100""}",Iosco,26069,False,False,America/Detroit,"44.34876, -83.47091"
48848,Laingsburg,MI,Michigan,True,,7444.0,43.5,26155,Shiawassee,"{""26155"": ""63.74"", ""26037"": ""36.26""}","Shiawassee,Clinton","26155,26037",False,False,America/Detroit,"42.88721, -84.35562"
48896,Winn,MI,Michigan,True,,306.0,433.6,26073,Isabella,"{""26073"": ""100""}",Isabella,26073,False,False,America/Detroit,"43.52128, -84.90102"
49095,Vandalia,MI,Michigan,True,,2223.0,30.9,26027,Cass,"{""26027"": ""100""}",Cass,26027,False,False,America/Detroit,"41.90703, -85.88036"
49238,Deerfield,MI,Michigan,True,,1803.0,24.6,26091,Lenawee,"{""26091"": ""81.1"", ""26115"": ""18.9""}","Lenawee,Monroe","26091,26115",False,False,America/Detroit,"41.90553, -83.78599"
49265,Onsted,MI,Michigan,True,,5102.0,65.5,26091,Lenawee,"{""26091"": ""100""}",Lenawee,26091,False,False,America/Detroit,"42.0073, -84.17264"
49288,Waldron,MI,Michigan,True,,1491.0,15.3,26059,Hillsdale,"{""26059"": ""92.92"", ""26091"": ""7.08""}","Hillsdale,Lenawee","26059,26091",False,False,America/Detroit,"41.73466, -84.42999"
49306,Belmont,MI,Michigan,True,,10650.0,207.6,26081,Kent,"{""26081"": ""100""}",Kent,26081,False,False,America/Detroit,"43.07325, -85.56775"
49419,Hamilton,MI,Michigan,True,,8612.0,46.1,26005,Allegan,"{""26005"": ""100""}",Allegan,26005,False,False,America/Detroit,"42.6789, -85.981"
49509,Wyoming,MI,Michigan,True,,28323.0,1507.9,26081,Kent,"{""26081"": ""100""}",Kent,26081,False,False,America/Detroit,"42.89755, -85.69297"
49519,Wyoming,MI,Michigan,True,,28836.0,1397.1,26081,Kent,"{""26081"": ""100""}",Kent,26081,False,False,America/Detroit,"42.89792, -85.71863"
49619,Brethren,MI,Michigan,True,,1031.0,6.3,26101,Manistee,"{""26101"": ""100""}",Manistee,26101,False,False,America/Detroit,"44.30263, -85.98189"
49625,Copemish,MI,Michigan,True,,1113.0,5.1,26101,Manistee,"{""26101"": ""95.58"", ""26165"": ""4.42""}","Manistee,Wexford","26101,26165",False,False,America/Detroit,"44.4323, -85.87975"
49632,Falmouth,MI,Michigan,True,,1051.0,4.8,26113,Missaukee,"{""26113"": ""100""}",Missaukee,26113,False,False,America/Detroit,"44.23892, -84.96935"
49651,Lake City,MI,Michigan,True,,7838.0,13.5,26113,Missaukee,"{""26113"": ""100""}",Missaukee,26113,False,False,America/Detroit,"44.39399, -85.11292"
49710,Barbeau,MI,Michigan,True,,383.0,4.1,26033,Chippewa,"{""26033"": ""100""}",Chippewa,26033,False,False,America/Detroit,"46.28343, -84.18837"
49726,Drummond Island,MI,Michigan,True,,1051.0,3.2,26033,Chippewa,"{""26033"": ""100""}",Chippewa,26033,False,False,America/Detroit,"46.0016, -83.66243"
49752,Kinross,MI,Michigan,True,,912.0,13.7,26033,Chippewa,"{""26033"": ""100""}",Chippewa,26033,False,False,America/Detroit,"46.28287, -84.46843"
49760,Moran,MI,Michigan,True,,647.0,1.7,26097,Mackinac,"{""26097"": ""100""}",Mackinac,26097,False,False,America/Detroit,"46.05368, -84.89498"
49765,Onaway,MI,Michigan,True,,3771.0,5.8,26141,Presque Isle,"{""26141"": ""62.83"", ""26031"": ""37.17""}","Presque Isle,Cheboygan","26141,26031",False,False,America/Detroit,"45.32844, -84.24545"
49769,Pellston,MI,Michigan,True,,1671.0,12.1,26047,Emmet,"{""26047"": ""92.15"", ""26031"": ""7.85""}","Emmet,Cheboygan","26047,26031",False,False,America/Detroit,"45.56748, -84.85911"
49826,Rumely,MI,Michigan,True,,271.0,7.3,26003,Alger,"{""26003"": ""100""}",Alger,26003,False,False,America/Detroit,"46.34071, -87.03928"
49872,Perkins,MI,Michigan,True,,166.0,3.4,26041,Delta,"{""26041"": ""100""}",Delta,26041,False,False,America/Detroit,"46.02103, -87.08436"
49876,Quinnesec,MI,Michigan,True,,1198.0,133.7,26043,Dickinson,"{""26043"": ""100""}",Dickinson,26043,False,False,America/Menominee,"45.80265, -87.98215"
49903,Amasa,MI,Michigan,True,,79.0,0.2,26071,Iron,"{""26071"": ""100""}",Iron,26071,False,False,America/Menominee,"46.32813, -88.42991"
49905,Atlantic Mine,MI,Michigan,True,,1986.0,12.9,26061,Houghton,"{""26061"": ""100""}",Houghton,26061,False,False,America/Detroit,"47.12377, -88.71648"
49919,Covington,MI,Michigan,True,,179.0,0.6,26013,Baraga,"{""26013"": ""100""}",Baraga,26013,False,False,America/Detroit,"46.51861, -88.45585"
49920,Crystal Falls,MI,Michigan,True,,4144.0,3.8,26071,Iron,"{""26071"": ""100""}",Iron,26071,False,False,America/Menominee,"46.15512, -88.29236"
48038,Clinton Township,MI,Michigan,True,,43478.0,1539.3,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,False,False,America/Detroit,"42.60546, -82.94158"
48041,Memphis,MI,Michigan,True,,4536.0,43.8,26147,St. Clair,"{""26147"": ""81.41"", ""26099"": ""18.59""}","St. Clair,Macomb","26147,26099",False,False,America/Detroit,"42.93873, -82.80268"
48070,Huntington Woods,MI,Michigan,True,,6322.0,1640.7,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,False,False,America/Detroit,"42.48163, -83.16844"
48096,Ray,MI,Michigan,True,,4010.0,42.3,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,False,False,America/Detroit,"42.76136, -82.92003"
48133,Erie,MI,Michigan,True,,5227.0,74.7,26115,Monroe,"{""26115"": ""100""}",Monroe,26115,False,False,America/Detroit,"41.7812, -83.48594"
48192,Wyandotte,MI,Michigan,True,,25044.0,1837.4,26163,Wayne,"{""26163"": ""100""}",Wayne,26163,False,False,America/Detroit,"42.20834, -83.16162"
48438,Goodrich,MI,Michigan,True,,6805.0,81.7,26049,Genesee,"{""26049"": ""84.06"", ""26087"": ""15.94""}","Genesee,Lapeer","26049,26087",False,False,America/Detroit,"42.91236, -83.47688"
48475,Ubly,MI,Michigan,True,,2519.0,9.0,26063,Huron,"{""26063"": ""66.74"", ""26151"": ""33.26""}","Huron,Sanilac","26063,26151",False,False,America/Detroit,"43.67062, -82.93945"
48602,Saginaw,MI,Michigan,True,,30199.0,1489.0,26145,Saginaw,"{""26145"": ""100""}",Saginaw,26145,False,False,America/Detroit,"43.41969, -83.97466"
48629,Houghton Lake,MI,Michigan,True,,7551.0,36.3,26143,Roscommon,"{""26143"": ""100""}",Roscommon,26143,False,False,America/Detroit,"44.31164, -84.77662"
48724,Carrollton,MI,Michigan,True,,544.0,608.6,26145,Saginaw,"{""26145"": ""100""}",Saginaw,26145,False,False,America/Detroit,"43.46004, -83.92283"
48733,Fairgrove,MI,Michigan,True,,1587.0,12.5,26157,Tuscola,"{""26157"": ""100""}",Tuscola,26157,False,False,America/Detroit,"43.53286, -83.5907"
48735,Gagetown,MI,Michigan,True,,1049.0,10.9,26157,Tuscola,"{""26157"": ""67.46"", ""26063"": ""32.54""}","Tuscola,Huron","26157,26063",False,False,America/Detroit,"43.66824, -83.27345"
48740,Harrisville,MI,Michigan,True,,2425.0,13.9,26001,Alcona,"{""26001"": ""100""}",Alcona,26001,False,False,America/Detroit,"44.66021, -83.37952"
48816,Cohoctah,MI,Michigan,True,,36.0,30.1,26093,Livingston,"{""26093"": ""100""}",Livingston,26093,False,False,America/Detroit,"42.76398, -83.95447"
48821,Dimondale,MI,Michigan,True,,5862.0,106.8,26045,Eaton,"{""26045"": ""94.71"", ""26065"": ""5.29""}","Eaton,Ingham","26045,26065",False,False,America/Detroit,"42.63938, -84.64707"
48843,Howell,MI,Michigan,True,,45544.0,195.3,26093,Livingston,"{""26093"": ""100""}",Livingston,26093,False,False,America/Detroit,"42.56904, -83.92628"
48857,Morrice,MI,Michigan,True,,3202.0,53.9,26155,Shiawassee,"{""26155"": ""100""}",Shiawassee,26155,False,False,America/Detroit,"42.84251, -84.1553"
48881,Saranac,MI,Michigan,True,,5560.0,38.5,26067,Ionia,"{""26067"": ""100""}",Ionia,26067,False,False,America/Detroit,"42.93281, -85.20153"
48890,Sunfield,MI,Michigan,True,,2059.0,25.6,26045,Eaton,"{""26045"": ""59.99"", ""26067"": ""40.01""}","Eaton,Ionia","26045,26067",False,False,America/Detroit,"42.76963, -84.96872"
49053,Galesburg,MI,Michigan,True,,7640.0,122.5,26077,Kalamazoo,"{""26077"": ""100""}",Kalamazoo,26077,False,False,America/Detroit,"42.28896, -85.4163"
49068,Marshall,MI,Michigan,True,,14862.0,44.3,26025,Calhoun,"{""26025"": ""100""}",Calhoun,26025,False,False,America/Detroit,"42.27682, -84.94084"
