zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
63047,Hematite,MO,Missouri,True,,73.0,128.6,29099,Jefferson,"{""29099"": ""100""}",Jefferson,29099,False,False,America/Chicago,"38.19566, -90.48722"
63050,Hillsboro,MO,Missouri,True,,15816.0,67.9,29099,Jefferson,"{""29099"": ""100""}",Jefferson,29099,False,False,America/Chicago,"38.25975, -90.57782"
63136,Saint Louis,MO,Missouri,True,,44382.0,1619.2,29189,St. Louis,"{""29189"": ""93.01"", ""29510"": ""6.99""}","St. Louis,St. Louis","29189,29510",False,False,America/Chicago,"38.74332, -90.25979"
63349,Hawk Point,MO,Missouri,True,,2276.0,24.4,29113,Lincoln,"{""29113"": ""97.67"", ""29219"": ""2.33""}","Lincoln,Warren","29113,29219",False,False,America/Chicago,"38.97755, -91.15308"
63548,Lancaster,MO,Missouri,True,,1215.0,6.1,29197,Schuyler,"{""29197"": ""100""}",Schuyler,29197,False,False,America/Chicago,"40.53009, -92.48521"
63630,Cadet,MO,Missouri,True,,4192.0,24.3,29221,Washington,"{""29221"": ""99.43"", ""29187"": ""0.57""}","Washington,St. Francois","29221,29187",False,False,America/Chicago,"38.01825, -90.72722"
63780,Scott City,MO,Missouri,True,,6343.0,45.4,29201,Scott,"{""29201"": ""99.96"", ""29031"": ""0.04""}","Scott,Cape Girardeau","29201,29031",False,False,America/Chicago,"37.1894, -89.51421"
63782,Sturdivant,MO,Missouri,True,,239.0,6.0,29017,Bollinger,"{""29017"": ""100""}",Bollinger,29017,False,False,America/Chicago,"37.11361, -90.02781"
63823,Bertrand,MO,Missouri,True,,1059.0,10.3,29133,Mississippi,"{""29133"": ""97.03"", ""29201"": ""2.97""}","Mississippi,Scott","29133,29201",False,False,America/Chicago,"36.89568, -89.45633"
63837,Clarkton,MO,Missouri,True,,1683.0,28.6,29069,Dunklin,"{""29069"": ""100""}",Dunklin,29069,False,False,America/Chicago,"36.45875, -89.99543"
63841,Dexter,MO,Missouri,True,,13305.0,38.5,29207,Stoddard,"{""29207"": ""100""}",Stoddard,29207,False,False,America/Chicago,"36.77337, -89.98702"
63876,Senath,MO,Missouri,True,,2236.0,14.8,29069,Dunklin,"{""29069"": ""100""}",Dunklin,29069,False,False,America/Chicago,"36.13182, -90.16855"
63944,Greenville,MO,Missouri,True,,1548.0,3.3,29223,Wayne,"{""29223"": ""100""}",Wayne,29223,False,False,America/Chicago,"37.10636, -90.3659"
64096,Waverly,MO,Missouri,True,,1145.0,10.4,29107,Lafayette,"{""29107"": ""100""}",Lafayette,29107,False,False,America/Chicago,"39.20208, -93.5624"
64470,Mound City,MO,Missouri,True,,1540.0,7.8,29087,Holt,"{""29087"": ""100""}",Holt,29087,False,False,America/Chicago,"40.16899, -95.22393"
64484,Rushville,MO,Missouri,True,,1047.0,5.6,29021,Buchanan,"{""29021"": ""84.46"", ""29165"": ""15.54""}","Buchanan,Platte","29021,29165",False,False,America/Chicago,"39.55668, -95.02036"
64489,Stanberry,MO,Missouri,True,,2221.0,6.9,29075,Gentry,"{""29075"": ""93.81"", ""29147"": ""6.19""}","Gentry,Nodaway","29075,29147",False,False,America/Chicago,"40.23307, -94.55553"
64501,Saint Joseph,MO,Missouri,True,,11894.0,1271.8,29021,Buchanan,"{""29021"": ""100""}",Buchanan,29021,False,False,America/Chicago,"39.76563, -94.84462"
64503,Saint Joseph,MO,Missouri,True,,12425.0,317.5,29021,Buchanan,"{""29021"": ""100""}",Buchanan,29021,False,False,America/Chicago,"39.74901, -94.84367"
64624,Braymer,MO,Missouri,True,,1457.0,4.9,29025,Caldwell,"{""29025"": ""80.26"", ""29033"": ""10.05"", ""29177"": ""7.4"", ""29117"": ""2.29""}","Caldwell,Carroll,Ray,Livingston","29025,29033,29177,29117",False,False,America/Chicago,"39.56841, -93.77766"
64640,Gallatin,MO,Missouri,True,,2894.0,8.0,29061,Daviess,"{""29061"": ""100""}",Daviess,29061,False,False,America/Chicago,"39.89844, -93.94498"
64642,Gilman City,MO,Missouri,True,,914.0,3.1,29081,Harrison,"{""29081"": ""79.53"", ""29079"": ""14.85"", ""29061"": ""5.61""}","Harrison,Grundy,Daviess","29081,29079,29061",False,False,America/Chicago,"40.17184, -93.83148"
64648,Jamesport,MO,Missouri,True,,2406.0,7.9,29061,Daviess,"{""29061"": ""81.35"", ""29079"": ""15.03"", ""29117"": ""3.62""}","Daviess,Grundy,Livingston","29061,29079,29117",False,False,America/Chicago,"39.99021, -93.80216"
64671,Polo,MO,Missouri,True,,1928.0,8.7,29025,Caldwell,"{""29025"": ""79.53"", ""29177"": ""20.47""}","Caldwell,Ray","29025,29177",False,False,America/Chicago,"39.53647, -94.05858"
64676,Rothville,MO,Missouri,True,,186.0,2.6,29041,Chariton,"{""29041"": ""100""}",Chariton,29041,False,False,America/Chicago,"39.64499, -93.05431"
64750,Harwood,MO,Missouri,True,,552.0,6.8,29217,Vernon,"{""29217"": ""100""}",Vernon,29217,False,False,America/Chicago,"37.93546, -94.11501"
64762,Liberal,MO,Missouri,True,,1551.0,4.5,29011,Barton,"{""29011"": ""100""}",Barton,29011,False,False,America/Chicago,"37.54772, -94.50037"
64804,Joplin,MO,Missouri,True,,35676.0,151.1,29097,Jasper,"{""29097"": ""56"", ""29145"": ""44""}","Jasper,Newton","29097,29145",False,False,America/Chicago,"37.02091, -94.50993"
65026,Eldon,MO,Missouri,True,,11142.0,29.8,29131,Miller,"{""29131"": ""99.59"", ""29141"": ""0.41""}","Miller,Morgan","29131,29141",False,False,America/Chicago,"38.32084, -92.57113"
65068,Prairie Home,MO,Missouri,True,,786.0,6.8,29053,Cooper,"{""29053"": ""100""}",Cooper,29053,False,False,America/Chicago,"38.82174, -92.61111"
65254,Glasgow,MO,Missouri,True,,1917.0,7.0,29089,Howard,"{""29089"": ""93.43"", ""29041"": ""6.57""}","Howard,Chariton","29089,29041",False,False,America/Chicago,"39.2144, -92.85141"
65258,Holliday,MO,Missouri,True,,498.0,3.7,29137,Monroe,"{""29137"": ""100""}",Monroe,29137,False,False,America/Chicago,"39.52302, -92.1334"
65444,Bucyrus,MO,Missouri,True,,1148.0,5.4,29215,Texas,"{""29215"": ""100""}",Texas,29215,False,False,America/Chicago,"37.38089, -92.05625"
65484,Huggins,MO,Missouri,True,,35.0,0.5,29215,Texas,"{""29215"": ""100""}",Texas,29215,False,False,America/Chicago,"37.3538, -92.21525"
65631,Clever,MO,Missouri,True,,5965.0,53.7,29043,Christian,"{""29043"": ""86.17"", ""29209"": ""13.83""}","Christian,Stone","29043,29209",False,False,America/Chicago,"37.00778, -93.42314"
65667,Hartville,MO,Missouri,True,,3122.0,6.5,29229,Wright,"{""29229"": ""100""}",Wright,29229,False,False,America/Chicago,"37.30802, -92.51504"
65791,Thayer,MO,Missouri,True,,4735.0,13.9,29149,Oregon,"{""29149"": ""100""}",Oregon,29149,False,False,America/Chicago,"36.56171, -91.50304"
63084,Union,MO,Missouri,True,,19186.0,98.6,29071,Franklin,"{""29071"": ""100""}",Franklin,29071,False,False,America/Chicago,"38.41787, -91.01283"
63106,Saint Louis,MO,Missouri,True,,10624.0,1818.5,29510,St. Louis,"{""29510"": ""100""}",St. Louis,29510,False,False,America/Chicago,"38.64445, -90.20839"
63121,Saint Louis,MO,Missouri,True,,23561.0,1268.1,29189,St. Louis,"{""29189"": ""100""}",St. Louis,29189,False,False,America/Chicago,"38.70721, -90.30136"
63376,Saint Peters,MO,Missouri,True,,75395.0,701.1,29183,St. Charles,"{""29183"": ""100""}",St. Charles,29183,False,False,America/Chicago,"38.79989, -90.61738"
63433,Ashburn,MO,Missouri,True,,0.0,0.0,29163,Pike,"{""29163"": ""100""}",Pike,29163,False,False,America/Chicago,"39.53296, -91.13169"
63540,Gibbs,MO,Missouri,True,,111.0,4.9,29001,Adair,"{""29001"": ""100""}",Adair,29001,False,False,America/Chicago,"40.10398, -92.40659"
63543,Gorin,MO,Missouri,True,,291.0,2.9,29199,Scotland,"{""29199"": ""100""}",Scotland,29199,False,False,America/Chicago,"40.35696, -92.00855"
63566,Winigan,MO,Missouri,True,,95.0,1.2,29211,Sullivan,"{""29211"": ""79.2"", ""29115"": ""20.8""}","Sullivan,Linn","29211,29115",False,False,America/Chicago,"40.0503, -92.9253"
63801,Sikeston,MO,Missouri,True,,22636.0,41.7,29201,Scott,"{""29201"": ""87.48"", ""29143"": ""12.29"", ""29207"": ""0.23""}","Scott,New Madrid,Stoddard","29201,29143,29207",False,False,America/Chicago,"36.89805, -89.6053"
63951,Lowndes,MO,Missouri,True,,159.0,2.3,29223,Wayne,"{""29223"": ""100""}",Wayne,29223,False,False,America/Chicago,"37.12085, -90.26341"
64063,Lees Summit,MO,Missouri,True,,20102.0,1239.1,29095,Jackson,"{""29095"": ""100""}",Jackson,29095,False,False,America/Chicago,"38.912, -94.35166"
64072,Missouri City,MO,Missouri,True,,536.0,232.4,29047,Clay,"{""29047"": ""100""}",Clay,29047,False,False,America/Chicago,"39.23946, -94.29343"
64081,Lees Summit,MO,Missouri,True,,24507.0,663.3,29095,Jackson,"{""29095"": ""100""}",Jackson,29095,False,False,America/Chicago,"38.90705, -94.40411"
64126,Kansas City,MO,Missouri,True,,6606.0,1025.1,29095,Jackson,"{""29095"": ""100""}",Jackson,29095,False,False,America/Chicago,"39.09042, -94.49617"
64127,Kansas City,MO,Missouri,True,,15772.0,1455.2,29095,Jackson,"{""29095"": ""100""}",Jackson,29095,False,False,America/Chicago,"39.08914, -94.53856"
64441,Denver,MO,Missouri,True,,95.0,0.7,29227,Worth,"{""29227"": ""71.91"", ""29075"": ""28.09""}","Worth,Gentry","29227,29075",False,False,America/Chicago,"40.3982, -94.26605"
64448,Faucett,MO,Missouri,True,,993.0,10.1,29021,Buchanan,"{""29021"": ""100""}",Buchanan,29021,False,False,America/Chicago,"39.59986, -94.81899"
64752,Hume,MO,Missouri,True,,745.0,4.3,29013,Bates,"{""29013"": ""73.2"", ""29217"": ""26.8""}","Bates,Vernon","29013,29217",False,False,America/Chicago,"38.06547, -94.56768"
64840,Diamond,MO,Missouri,True,,2984.0,22.6,29145,Newton,"{""29145"": ""88.94"", ""29097"": ""11.06""}","Newton,Jasper","29145,29097",False,False,America/Chicago,"37.01818, -94.33319"
65017,Brumley,MO,Missouri,True,,926.0,6.1,29131,Miller,"{""29131"": ""99.81"", ""29029"": ""0.19""}","Miller,Camden","29131,29029",False,False,America/Chicago,"38.09075, -92.49776"
65260,Jacksonville,MO,Missouri,True,,472.0,3.9,29175,Randolph,"{""29175"": ""87.8"", ""29121"": ""8.01"", ""29137"": ""4.18""}","Randolph,Macon,Monroe","29175,29121,29137",False,False,America/Chicago,"39.58659, -92.39629"
