zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
38619,Como,MS,Mississippi,True,,5368.0,15.1,28107,Panola,"{""28107"": ""76.8"", ""28071"": ""20.82"", ""28137"": ""2.38""}","Panola,Lafayette,Tate","28107,28071,28137",False,False,America/Chicago,"34.51446, -89.84234"
38642,Lamar,MS,Mississippi,True,,2289.0,10.6,28009,Benton,"{""28009"": ""55.45"", ""28093"": ""44.55""}","Benton,Marshall","28009,28093",False,False,America/Chicago,"34.9173, -89.32985"
38676,Tunica,MS,Mississippi,True,,5843.0,10.7,28143,Tunica,"{""28143"": ""100""}",Tunica,28143,False,False,America/Chicago,"34.66771, -90.38523"
38746,Gunnison,MS,Mississippi,True,,504.0,3.0,28011,Bolivar,"{""28011"": ""100""}",Bolivar,28011,False,False,America/Chicago,"33.9651, -90.90917"
38759,Merigold,MS,Mississippi,True,,926.0,5.8,28011,Bolivar,"{""28011"": ""74.12"", ""28133"": ""25.88""}","Bolivar,Sunflower","28011,28133",False,False,America/Chicago,"33.82315, -90.73133"
38945,Greenwood,MS,Mississippi,True,,64.0,1.4,28083,Leflore,"{""28083"": ""100""}",Leflore,28083,False,False,America/Chicago,"33.60004, -90.17071"
39038,Belzoni,MS,Mississippi,True,,5703.0,10.3,28053,Humphreys,"{""28053"": ""97.08"", ""28051"": ""2.22"", ""28083"": ""0.7""}","Humphreys,Holmes,Leflore","28053,28051,28083",False,False,America/Chicago,"33.18468, -90.48436"
39047,Brandon,MS,Mississippi,True,,39426.0,151.6,28121,Rankin,"{""28121"": ""100""}",Rankin,28121,False,False,America/Chicago,"32.42629, -89.94677"
39079,Goodman,MS,Mississippi,True,,1708.0,9.9,28051,Holmes,"{""28051"": ""92.98"", ""28007"": ""6.68"", ""28089"": ""0.34""}","Holmes,Attala,Madison","28051,28007,28089",False,False,America/Chicago,"32.93484, -89.89869"
39116,Mize,MS,Mississippi,True,,2285.0,10.3,28129,Smith,"{""28129"": ""100""}",Smith,28129,False,False,America/Chicago,"31.88968, -89.54988"
39305,Meridian,MS,Mississippi,True,,21126.0,74.8,28075,Lauderdale,"{""28075"": ""100""}",Lauderdale,28075,False,False,America/Chicago,"32.46657, -88.72002"
39327,Decatur,MS,Mississippi,True,,4045.0,15.0,28101,Newton,"{""28101"": ""100""}",Newton,28101,False,False,America/Chicago,"32.44578, -89.11948"
39356,Rose Hill,MS,Mississippi,True,,383.0,2.8,28061,Jasper,"{""28061"": ""100""}",Jasper,28061,False,False,America/Chicago,"32.13642, -89.02493"
39443,Laurel,MS,Mississippi,True,,21572.0,31.6,28067,Jones,"{""28067"": ""92.85"", ""28061"": ""4.63"", ""28153"": ""2.52""}","Jones,Jasper,Wayne","28067,28061,28153",False,False,America/Chicago,"31.71378, -89.07595"
39507,Gulfport,MS,Mississippi,True,,16300.0,779.7,28047,Harrison,"{""28047"": ""100""}",Harrison,28047,False,False,America/Chicago,"30.39914, -89.03582"
38633,Hickory Flat,MS,Mississippi,True,,2270.0,8.8,28009,Benton,"{""28009"": ""80.97"", ""28145"": ""19.03""}","Benton,Union","28009,28145",False,False,America/Chicago,"34.64142, -89.19457"
38644,Lula,MS,Mississippi,True,,190.0,7.9,28027,Coahoma,"{""28027"": ""100""}",Coahoma,28027,False,False,America/Chicago,"34.46085, -90.49357"
38666,Sardis,MS,Mississippi,True,,6546.0,18.6,28107,Panola,"{""28107"": ""100""}",Panola,28107,False,False,America/Chicago,"34.42655, -89.91679"
38701,Greenville,MS,Mississippi,True,,22525.0,105.1,28151,Washington,"{""28151"": ""100""}",Washington,28151,False,False,America/Chicago,"33.30989, -91.04385"
38736,Doddsville,MS,Mississippi,True,,479.0,3.0,28133,Sunflower,"{""28133"": ""86.82"", ""28083"": ""13.18""}","Sunflower,Leflore","28133,28083",False,False,America/Chicago,"33.64538, -90.53814"
38801,Tupelo,MS,Mississippi,True,,29767.0,152.0,28081,Lee,"{""28081"": ""96"", ""28115"": ""4""}","Lee,Pontotoc","28081,28115",False,False,America/Chicago,"34.22131, -88.77303"
38850,Houlka,MS,Mississippi,True,,2726.0,8.6,28017,Chickasaw,"{""28017"": ""73.42"", ""28115"": ""19.01"", ""28013"": ""7.58""}","Chickasaw,Pontotoc,Calhoun","28017,28115,28013",False,False,America/Chicago,"34.04896, -89.05309"
38965,Water Valley,MS,Mississippi,True,,8927.0,14.0,28161,Yalobusha,"{""28161"": ""78.66"", ""28071"": ""15.36"", ""28013"": ""3.36"", ""28107"": ""2.62""}","Yalobusha,Lafayette,Calhoun,Panola","28161,28071,28013,28107",False,False,America/Chicago,"34.13567, -89.60006"
39176,Vaiden,MS,Mississippi,True,,2412.0,7.3,28015,Carroll,"{""28015"": ""84.66"", ""28007"": ""14.86"", ""28097"": ""0.47""}","Carroll,Attala,Montgomery","28015,28007,28097",False,False,America/Chicago,"33.30197, -89.76658"
39213,Jackson,MS,Mississippi,True,,20301.0,272.9,28049,Hinds,"{""28049"": ""99.75"", ""28089"": ""0.25""}","Hinds,Madison","28049,28089",False,False,America/Chicago,"32.39247, -90.23371"
39464,Ovett,MS,Mississippi,True,,3299.0,13.7,28067,Jones,"{""28067"": ""86.54"", ""28111"": ""13.46""}","Jones,Perry","28067,28111",False,False,America/Chicago,"31.49249, -89.06775"
39576,Waveland,MS,Mississippi,True,,5690.0,338.3,28045,Hancock,"{""28045"": ""100""}",Hancock,28045,False,False,America/Chicago,"30.28877, -89.38377"
39705,Columbus,MS,Mississippi,True,,12695.0,73.5,28087,Lowndes,"{""28087"": ""100""}",Lowndes,28087,False,False,America/Chicago,"33.58606, -88.43574"
39773,West Point,MS,Mississippi,True,,15267.0,25.5,28025,Clay,"{""28025"": ""98.78"", ""28095"": ""1.22""}","Clay,Monroe","28025,28095",False,False,America/Chicago,"33.64257, -88.68528"
38601,Abbeville,MS,Mississippi,True,,2073.0,8.3,28071,Lafayette,"{""28071"": ""100""}",Lafayette,28071,False,False,America/Chicago,"34.48202, -89.43964"
38621,Crenshaw,MS,Mississippi,True,,1791.0,10.8,28107,Panola,"{""28107"": ""69.63"", ""28119"": ""30.37""}","Panola,Quitman","28107,28119",False,False,America/Chicago,"34.4491, -90.17014"
38652,New Albany,MS,Mississippi,True,,16775.0,41.7,28145,Union,"{""28145"": ""100""}",Union,28145,False,False,America/Chicago,"34.48346, -88.99688"
38774,Shelby,MS,Mississippi,True,,1785.0,9.2,28011,Bolivar,"{""28011"": ""100""}",Bolivar,28011,False,False,America/Chicago,"33.96311, -90.76274"
38843,Fulton,MS,Mississippi,True,,11345.0,22.2,28057,Itawamba,"{""28057"": ""99.7"", ""28081"": ""0.3""}","Itawamba,Lee","28057,28081",False,False,America/Chicago,"34.26496, -88.37564"
38857,Mooreville,MS,Mississippi,True,,4081.0,83.1,28081,Lee,"{""28081"": ""100""}",Lee,28081,False,False,America/Chicago,"34.28028, -88.57748"
38953,Scobey,MS,Mississippi,True,,587.0,5.1,28135,Tallahatchie,"{""28135"": ""45.24"", ""28161"": ""40.48"", ""28043"": ""14.29""}","Tallahatchie,Yalobusha,Grenada","28135,28161,28043",False,False,America/Chicago,"33.92643, -89.92772"
