zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
27011,Boonville,NC,North Carolina,True,,5201.0,37.8,37197,Yadkin,"{""37197"": ""100""}",Yadkin,37197,False,False,America/New_York,"36.2156, -80.69667"
27024,Lowgap,NC,North Carolina,True,,3205.0,27.9,37171,Surry,"{""37171"": ""100""}",Surry,37171,False,False,America/New_York,"36.52379, -80.84169"
27040,Pfafftown,NC,North Carolina,True,,12519.0,181.1,37067,Forsyth,"{""37067"": ""100""}",Forsyth,37067,False,False,America/New_York,"36.16893, -80.38971"
27042,Pine Hall,NC,North Carolina,True,,606.0,27.1,37169,Stokes,"{""37169"": ""100""}",Stokes,37169,False,False,America/New_York,"36.34116, -80.05603"
27205,Asheboro,NC,North Carolina,True,,34805.0,60.1,37151,Randolph,"{""37151"": ""100""}",Randolph,37151,False,False,America/New_York,"35.63956, -79.85091"
27207,Bear Creek,NC,North Carolina,True,,3227.0,14.7,37037,Chatham,"{""37037"": ""100""}",Chatham,37037,False,False,America/New_York,"35.60548, -79.39299"
27208,Bennett,NC,North Carolina,True,,1721.0,17.1,37037,Chatham,"{""37037"": ""53.4"", ""37151"": ""34.31"", ""37125"": ""12.29""}","Chatham,Randolph,Moore","37037,37151,37125",False,False,America/New_York,"35.56282, -79.54294"
27565,Oxford,NC,North Carolina,True,,25127.0,29.2,37077,Granville,"{""37077"": ""96.85"", ""37181"": ""2.71"", ""37145"": ""0.44""}","Granville,Vance,Person","37077,37181,37145",False,False,America/New_York,"36.36263, -78.65005"
27604,Raleigh,NC,North Carolina,True,,48494.0,866.8,37183,Wake,"{""37183"": ""100""}",Wake,37183,False,False,America/New_York,"35.81863, -78.55881"
27701,Durham,NC,North Carolina,True,,23112.0,1686.9,37063,Durham,"{""37063"": ""100""}",Durham,37063,False,False,America/New_York,"35.99886, -78.89864"
27822,Elm City,NC,North Carolina,True,,8225.0,34.7,37195,Wilson,"{""37195"": ""74.2"", ""37127"": ""18.9"", ""37065"": ""6.9""}","Wilson,Nash,Edgecombe","37195,37127,37065",False,False,America/New_York,"35.80519, -77.84034"
27847,Kelford,NC,North Carolina,True,,649.0,6.7,37015,Bertie,"{""37015"": ""100""}",Bertie,37015,False,False,America/New_York,"36.1846, -77.18907"
27915,Avon,NC,North Carolina,True,,421.0,20.6,37055,Dare,"{""37055"": ""100""}",Dare,37055,False,False,America/New_York,"35.40321, -75.4953"
28001,Albemarle,NC,North Carolina,True,,26557.0,77.1,37167,Stanly,"{""37167"": ""100""}",Stanly,37167,False,False,America/New_York,"35.33623, -80.20477"
28023,China Grove,NC,North Carolina,True,,16129.0,134.4,37159,Rowan,"{""37159"": ""100""}",Rowan,37159,False,False,America/New_York,"35.56951, -80.60223"
28086,Kings Mountain,NC,North Carolina,True,,25436.0,111.7,37045,Cleveland,"{""37045"": ""85.74"", ""37071"": ""14.26""}","Cleveland,Gaston","37045,37071",False,False,America/New_York,"35.243, -81.37108"
28091,Lilesville,NC,North Carolina,True,,1975.0,8.1,37007,Anson,"{""37007"": ""100""}",Anson,37007,False,False,America/New_York,"34.98477, -79.93154"
28135,Polkton,NC,North Carolina,True,,6245.0,24.1,37007,Anson,"{""37007"": ""100""}",Anson,37007,False,False,America/New_York,"35.04001, -80.21081"
28166,Troutman,NC,North Carolina,True,,9651.0,128.7,37097,Iredell,"{""37097"": ""100""}",Iredell,37097,False,False,America/New_York,"35.68145, -80.87567"
28169,Waco,NC,North Carolina,True,,202.0,139.2,37045,Cleveland,"{""37045"": ""100""}",Cleveland,37045,False,False,America/New_York,"35.35844, -81.42931"
28305,Fayetteville,NC,North Carolina,True,,5751.0,854.0,37051,Cumberland,"{""37051"": ""100""}",Cumberland,37051,False,False,America/New_York,"35.05266, -78.90674"
28363,Marston,NC,North Carolina,True,,1415.0,9.5,37165,Scotland,"{""37165"": ""59.82"", ""37153"": ""40.18""}","Scotland,Richmond","37165,37153",False,False,America/New_York,"34.95472, -79.54204"
28371,Parkton,NC,North Carolina,True,,6964.0,77.4,37155,Robeson,"{""37155"": ""59.95"", ""37051"": ""37.11"", ""37093"": ""2.95""}","Robeson,Cumberland,Hoke","37155,37051,37093",False,False,America/New_York,"34.90636, -78.98946"
