zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
58784,Stanley,ND,North Dakota,True,,3528.0,4.2,38061,Mountrail,"{""38061"": ""99.18"", ""38013"": ""0.82""}","Mountrail,Burke","38061,38013",False,False,America/Chicago,"48.36434, -102.42438"
58017,Cogswell,ND,North Dakota,True,,268.0,0.5,38081,Sargent,"{""38081"": ""100""}",Sargent,38081,False,False,America/Chicago,"46.0411, -97.84257"
58029,Erie,ND,North Dakota,True,,59.0,0.5,38017,Cass,"{""38017"": ""100""}",Cass,38017,False,False,America/Chicago,"47.11674, -97.40006"
58203,Grand Forks,ND,North Dakota,True,,16190.0,92.2,38035,Grand Forks,"{""38035"": ""100""}",Grand Forks,38035,False,False,America/Chicago,"47.97217, -97.15496"
58212,Aneta,ND,North Dakota,True,,510.0,1.0,38063,Nelson,"{""38063"": ""70.89"", ""38039"": ""21.52"", ""38035"": ""4.01"", ""38091"": ""3.59""}","Nelson,Griggs,Grand Forks,Steele","38063,38039,38035,38091",False,False,America/Chicago,"47.70512, -97.99942"
58214,Arvilla,ND,North Dakota,True,,319.0,1.8,38035,Grand Forks,"{""38035"": ""100""}",Grand Forks,38035,False,False,America/Chicago,"47.92461, -97.49967"
58261,Minto,ND,North Dakota,True,,1134.0,3.1,38099,Walsh,"{""38099"": ""93.79"", ""38035"": ""6.21""}","Walsh,Grand Forks","38099,38035",False,False,America/Chicago,"48.23978, -97.31189"
58317,Bisbee,ND,North Dakota,True,,222.0,0.6,38095,Towner,"{""38095"": ""100""}",Towner,38095,False,False,America/Chicago,"48.61861, -99.38178"
58381,Warwick,ND,North Dakota,True,,319.0,0.8,38005,Benson,"{""38005"": ""72.24"", ""38027"": ""27.76""}","Benson,Eddy","38005,38027",False,False,America/Chicago,"47.83267, -98.74062"
58420,Buchanan,ND,North Dakota,True,,311.0,0.7,38093,Stutsman,"{""38093"": ""100""}",Stutsman,38093,False,False,America/Chicago,"47.06133, -98.86783"
58558,Menoken,ND,North Dakota,True,,974.0,2.4,38015,Burleigh,"{""38015"": ""100""}",Burleigh,38015,False,False,America/Chicago,"46.82637, -100.51066"
