zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
68117,Omaha,NE,Nebraska,True,,8684.0,736.0,31055,Douglas,"{""31055"": ""100""}",Douglas,31055,False,False,America/Chicago,"41.20752, -96.00042"
68137,Omaha,NE,Nebraska,True,,25704.0,1197.3,31055,Douglas,"{""31055"": ""100""}",Douglas,31055,False,False,America/Chicago,"41.20586, -96.11886"
68164,Omaha,NE,Nebraska,True,,29285.0,1271.1,31055,Douglas,"{""31055"": ""100""}",Douglas,31055,False,False,America/Chicago,"41.29905, -96.10955"
68321,Brownville,NE,Nebraska,True,,293.0,4.0,31127,Nemaha,"{""31127"": ""100""}",Nemaha,31127,False,False,America/Chicago,"40.3924, -95.69082"
68372,Hickman,NE,Nebraska,True,,3980.0,42.8,31109,Lancaster,"{""31109"": ""100""}",Lancaster,31109,False,False,America/Chicago,"40.60813, -96.60353"
68527,Lincoln,NE,Nebraska,True,,755.0,10.8,31109,Lancaster,"{""31109"": ""100""}",Lancaster,31109,False,False,America/Chicago,"40.84711, -96.52423"
68651,Osceola,NE,Nebraska,True,,1464.0,4.5,31143,Polk,"{""31143"": ""100""}",Polk,31143,False,False,America/Chicago,"41.2262, -97.57973"
68761,Oakdale,NE,Nebraska,True,,372.0,3.7,31003,Antelope,"{""31003"": ""100""}",Antelope,31003,False,False,America/Chicago,"42.05446, -97.96181"
68843,Hampton,NE,Nebraska,True,,783.0,3.7,31081,Hamilton,"{""31081"": ""100""}",Hamilton,31081,False,False,America/Chicago,"40.90455, -97.8853"
68845,Kearney,NE,Nebraska,True,,21167.0,73.3,31019,Buffalo,"{""31019"": ""98.29"", ""31099"": ""1.71""}","Buffalo,Kearney","31019,31099",False,False,America/Chicago,"40.72731, -99.16299"
68852,Litchfield,NE,Nebraska,True,,553.0,2.0,31163,Sherman,"{""31163"": ""100""}",Sherman,31163,False,False,America/Chicago,"41.16459, -99.12629"
68855,Mason City,NE,Nebraska,True,,434.0,0.9,31041,Custer,"{""31041"": ""100""}",Custer,31041,False,False,America/Chicago,"41.1678, -99.32387"
68862,Ord,NE,Nebraska,True,,3043.0,4.2,31175,Valley,"{""31175"": ""100""}",Valley,31175,False,False,America/Chicago,"41.60044, -98.93664"
68872,Saint Libory,NE,Nebraska,True,,747.0,4.3,31093,Howard,"{""31093"": ""83.35"", ""31121"": ""16.65""}","Howard,Merrick","31093,31121",False,False,America/Chicago,"41.09485, -98.33396"
68934,Deweese,NE,Nebraska,True,,151.0,2.2,31035,Clay,"{""31035"": ""69.15"", ""31129"": ""30.85""}","Clay,Nuckolls","31035,31129",False,False,America/Chicago,"40.33931, -98.13834"
68937,Elwood,NE,Nebraska,True,,1652.0,4.0,31073,Gosper,"{""31073"": ""74.56"", ""31047"": ""25.44""}","Gosper,Dawson","31073,31047",False,False,America/Chicago,"40.59087, -99.88136"
68938,Fairfield,NE,Nebraska,True,,477.0,3.2,31035,Clay,"{""31035"": ""100""}",Clay,31035,False,False,America/Chicago,"40.40951, -98.11835"
69343,Gordon,NE,Nebraska,True,,2378.0,0.7,31161,Sheridan,"{""31161"": ""93.7"", ""31031"": ""6.3""}","Sheridan,Cherry","31161,31031",False,False,America/Denver,"42.69427, -102.01462"
68045,Oakland,NE,Nebraska,True,,1982.0,8.1,31021,Burt,"{""31021"": ""93.61"", ""31039"": ""6.39""}","Burt,Cuming","31021,31039",False,False,America/Chicago,"41.8256, -96.49652"
68314,Bee,NE,Nebraska,True,,393.0,4.6,31159,Seward,"{""31159"": ""100""}",Seward,31159,False,False,America/Chicago,"41.01276, -97.02761"
68322,Bruning,NE,Nebraska,True,,425.0,2.9,31169,Thayer,"{""31169"": ""91.36"", ""31059"": ""8.64""}","Thayer,Fillmore","31169,31059",False,False,America/Chicago,"40.33882, -97.55624"
68340,Deshler,NE,Nebraska,True,,982.0,6.0,31169,Thayer,"{""31169"": ""100""}",Thayer,31169,False,False,America/Chicago,"40.13255, -97.74719"
68357,Filley,NE,Nebraska,True,,319.0,2.4,31067,Gage,"{""31067"": ""100""}",Gage,31067,False,False,America/Chicago,"40.31658, -96.55112"
68361,Geneva,NE,Nebraska,True,,2382.0,9.5,31059,Fillmore,"{""31059"": ""100""}",Fillmore,31059,False,False,America/Chicago,"40.50993, -97.60023"
68413,Nehawka,NE,Nebraska,True,,627.0,4.8,31025,Cass,"{""31025"": ""94"", ""31131"": ""6""}","Cass,Otoe","31025,31131",False,False,America/Chicago,"40.83779, -96.01229"
68452,Ong,NE,Nebraska,True,,91.0,2.3,31035,Clay,"{""31035"": ""100""}",Clay,31035,False,False,America/Chicago,"40.39446, -97.85229"
68455,Union,NE,Nebraska,True,,398.0,4.4,31025,Cass,"{""31025"": ""100""}",Cass,31025,False,False,America/Chicago,"40.82569, -95.90087"
68460,Waco,NE,Nebraska,True,,727.0,2.9,31185,York,"{""31185"": ""100""}",York,31185,False,False,America/Chicago,"40.89459, -97.43027"
68622,Bartlett,NE,Nebraska,True,,222.0,0.5,31183,Wheeler,"{""31183"": ""100""}",Wheeler,31183,False,False,America/Chicago,"41.94182, -98.58052"
68723,Carroll,NE,Nebraska,True,,547.0,3.0,31179,Wayne,"{""31179"": ""100""}",Wayne,31179,False,False,America/Chicago,"42.286, -97.21192"
68725,Chambers,NE,Nebraska,True,,534.0,1.2,31089,Holt,"{""31089"": ""100""}",Holt,31089,False,False,America/Chicago,"42.20223, -98.7771"
68756,Neligh,NE,Nebraska,True,,1995.0,5.9,31003,Antelope,"{""31003"": ""100""}",Antelope,31003,False,False,America/Chicago,"42.19063, -97.98003"
68769,Plainview,NE,Nebraska,True,,1693.0,4.6,31139,Pierce,"{""31139"": ""89.81"", ""31003"": ""10.19""}","Pierce,Antelope","31139,31003",False,False,America/Chicago,"42.32227, -97.81212"
68786,Wausa,NE,Nebraska,True,,922.0,2.9,31107,Knox,"{""31107"": ""95.18"", ""31027"": ""4.82""}","Knox,Cedar","31107,31027",False,False,America/Chicago,"42.50576, -97.55664"
68840,Gibbon,NE,Nebraska,True,,3241.0,8.6,31019,Buffalo,"{""31019"": ""96.54"", ""31099"": ""3.46""}","Buffalo,Kearney","31019,31099",False,False,America/Chicago,"40.75845, -98.88117"
68959,Minden,NE,Nebraska,True,,3719.0,4.7,31099,Kearney,"{""31099"": ""100""}",Kearney,31099,False,False,America/Chicago,"40.48589, -98.91426"
68967,Oxford,NE,Nebraska,True,,979.0,2.0,31065,Furnas,"{""31065"": ""70.32"", ""31083"": ""29.68""}","Furnas,Harlan","31065,31083",False,False,America/Chicago,"40.25369, -99.62433"
68980,Trumbull,NE,Nebraska,True,,452.0,5.9,31035,Clay,"{""31035"": ""72.16"", ""31001"": ""13.92"", ""31081"": ""13.92""}","Clay,Adams,Hamilton","31035,31001,31081",False,False,America/Chicago,"40.68125, -98.25261"
69041,Parks,NE,Nebraska,True,,67.0,0.2,31057,Dundy,"{""31057"": ""100""}",Dundy,31057,False,False,America/Denver,"40.17088, -101.73987"
69337,Chadron,NE,Nebraska,True,,7009.0,3.9,31045,Dawes,"{""31045"": ""99.66"", ""31161"": ""0.34""}","Dawes,Sheridan","31045,31161",False,False,America/Denver,"42.82654, -103.01091"
68028,Gretna,NE,Nebraska,True,,14762.0,88.6,31153,Sarpy,"{""31153"": ""100""}",Sarpy,31153,False,False,America/Chicago,"41.10634, -96.26083"
68107,Omaha,NE,Nebraska,True,,30428.0,1781.3,31055,Douglas,"{""31055"": ""100""}",Douglas,31055,False,False,America/Chicago,"41.20841, -95.95167"
68147,Bellevue,NE,Nebraska,True,,11274.0,862.0,31153,Sarpy,"{""31153"": ""98.02"", ""31055"": ""1.98""}","Sarpy,Douglas","31153,31055",False,False,America/Chicago,"41.1761, -95.95671"
68325,Byron,NE,Nebraska,True,,183.0,1.4,31169,Thayer,"{""31169"": ""85.34"", ""20157"": ""14.66""}","Thayer,Republic","31169,20157",False,False,America/Chicago,"40.01683, -97.75788"
68341,De Witt,NE,Nebraska,True,,1165.0,4.5,31151,Saline,"{""31151"": ""70.12"", ""31067"": ""25.74"", ""31095"": ""4.13""}","Saline,Gage,Jefferson","31151,31067,31095",False,False,America/Chicago,"40.38379, -96.91376"
68410,Nebraska City,NE,Nebraska,True,,8763.0,22.3,31131,Otoe,"{""31131"": ""100""}",Otoe,31131,False,False,America/Chicago,"40.6375, -95.88476"
68503,Lincoln,NE,Nebraska,True,,15557.0,2027.5,31109,Lancaster,"{""31109"": ""100""}",Lancaster,31109,False,False,America/Chicago,"40.82458, -96.67403"
68641,Howells,NE,Nebraska,True,,1115.0,4.5,31037,Colfax,"{""31037"": ""76.01"", ""31167"": ""14.21"", ""31039"": ""9.78""}","Colfax,Stanton,Cuming","31037,31167,31039",False,False,America/Chicago,"41.73515, -97.00818"
68741,Hubbard,NE,Nebraska,True,,711.0,4.3,31043,Dakota,"{""31043"": ""100""}",Dakota,31043,False,False,America/Chicago,"42.34861, -96.59047"
68747,Mclean,NE,Nebraska,True,,101.0,1.2,31139,Pierce,"{""31139"": ""100""}",Pierce,31139,False,False,America/Chicago,"42.39443, -97.49721"
68771,Randolph,NE,Nebraska,True,,1532.0,4.0,31027,Cedar,"{""31027"": ""76.97"", ""31139"": ""15.09"", ""31179"": ""7.94""}","Cedar,Pierce,Wayne","31027,31139,31179",False,False,America/Chicago,"42.38321, -97.35756"
68789,Winnetoon,NE,Nebraska,True,,158.0,1.4,31107,Knox,"{""31107"": ""100""}",Knox,31107,False,False,America/Chicago,"42.54725, -97.97265"
68929,Bloomington,NE,Nebraska,True,,143.0,1.1,31061,Franklin,"{""31061"": ""100""}",Franklin,31061,False,False,America/Chicago,"40.14998, -99.05112"
68966,Orleans,NE,Nebraska,True,,599.0,1.9,31083,Harlan,"{""31083"": ""100""}",Harlan,31083,False,False,America/Chicago,"40.14974, -99.46891"
68976,Smithfield,NE,Nebraska,True,,402.0,1.7,31073,Gosper,"{""31073"": ""100""}",Gosper,31073,False,False,America/Chicago,"40.58319, -99.72852"
69022,Cambridge,NE,Nebraska,True,,1727.0,1.9,31065,Furnas,"{""31065"": ""82.23"", ""31063"": ""10.38"", ""31145"": ""7.39""}","Furnas,Frontier,Red Willow","31065,31063,31145",False,False,America/Chicago,"40.35959, -100.18582"
69026,Danbury,NE,Nebraska,True,,216.0,1.7,31145,Red Willow,"{""31145"": ""100""}",Red Willow,31145,False,False,America/Chicago,"40.04677, -100.42967"
69034,Indianola,NE,Nebraska,True,,1098.0,2.2,31145,Red Willow,"{""31145"": ""96.59"", ""31063"": ""3.41""}","Red Willow,Frontier","31145,31063",False,False,America/Chicago,"40.2486, -100.43074"
69128,Bushnell,NE,Nebraska,True,,139.0,0.1,31105,Kimball,"{""31105"": ""85.1"", ""31007"": ""14.9""}","Kimball,Banner","31105,31007",False,False,America/Denver,"41.22199, -103.92135"
69155,Paxton,NE,Nebraska,True,,1106.0,1.2,31101,Keith,"{""31101"": ""100""}",Keith,31101,False,False,America/Denver,"41.19466, -101.39565"
68005,Bellevue,NE,Nebraska,True,,23157.0,497.5,31153,Sarpy,"{""31153"": ""100""}",Sarpy,31153,False,False,America/Chicago,"41.14193, -95.89228"
68017,Ceresco,NE,Nebraska,True,,1820.0,9.8,31155,Saunders,"{""31155"": ""84.34"", ""31109"": ""15.66""}","Saunders,Lancaster","31155,31109",False,False,America/Chicago,"41.05951, -96.65487"
