zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
3037,Deerfield,NH,New Hampshire,True,,4366.0,35.0,33015,Rockingham,"{""33015"": ""100""}",Rockingham,33015,False,False,America/New_York,"43.13975, -71.25262"
3084,Temple,NH,New Hampshire,True,,1264.0,22.1,33011,Hillsborough,"{""33011"": ""100""}",Hillsborough,33011,False,False,America/New_York,"42.82853, -71.85496"
3249,Gilford,NH,New Hampshire,True,,7169.0,71.3,33001,Belknap,"{""33001"": ""100""}",Belknap,33001,False,False,America/New_York,"43.55791, -71.38502"
3260,North Sutton,NH,New Hampshire,True,,757.0,11.9,33013,Merrimack,"{""33013"": ""100""}",Merrimack,33013,False,False,America/New_York,"43.35365, -71.92174"
3261,Northwood,NH,New Hampshire,True,,4335.0,59.5,33015,Rockingham,"{""33015"": ""100""}",Rockingham,33015,False,False,America/New_York,"43.21341, -71.20966"
3273,South Sutton,NH,New Hampshire,True,,310.0,20.3,33013,Merrimack,"{""33013"": ""100""}",Merrimack,33013,False,False,America/New_York,"43.29903, -71.93208"
3446,Swanzey,NH,New Hampshire,True,,5994.0,54.2,33005,Cheshire,"{""33005"": ""100""}",Cheshire,33005,False,False,America/New_York,"42.86048, -72.29758"
3570,Berlin,NH,New Hampshire,True,,10221.0,37.5,33007,Coos,"{""33007"": ""100""}",Coos,33007,False,False,America/New_York,"44.49905, -71.15716"
3574,Bethlehem,NH,New Hampshire,True,,2569.0,10.9,33009,Grafton,"{""33009"": ""100""}",Grafton,33009,False,False,America/New_York,"44.25344, -71.59886"
3609,North Walpole,NH,New Hampshire,True,,832.0,360.0,33005,Cheshire,"{""33005"": ""100""}",Cheshire,33005,False,False,America/New_York,"43.1446, -72.44526"
3766,Lebanon,NH,New Hampshire,True,,9388.0,114.1,33009,Grafton,"{""33009"": ""100""}",Grafton,33009,False,False,America/New_York,"43.63467, -72.23724"
3811,Atkinson,NH,New Hampshire,True,,6952.0,241.1,33015,Rockingham,"{""33015"": ""100""}",Rockingham,33015,False,False,America/New_York,"42.83696, -71.16039"
3844,Hampton Falls,NH,New Hampshire,True,,2371.0,74.3,33015,Rockingham,"{""33015"": ""100""}",Rockingham,33015,False,False,America/New_York,"42.92705, -70.88586"
3849,Madison,NH,New Hampshire,True,,1478.0,22.8,33003,Carroll,"{""33003"": ""100""}",Carroll,33003,False,False,America/New_York,"43.90044, -71.13378"
3860,North Conway,NH,New Hampshire,True,,4479.0,86.0,33003,Carroll,"{""33003"": ""100""}",Carroll,33003,False,False,America/New_York,"44.04206, -71.1199"
3055,Milford,NH,New Hampshire,True,,15632.0,241.3,33011,Hillsborough,"{""33011"": ""100""}",Hillsborough,33011,False,False,America/New_York,"42.81745, -71.6734"
3057,Mont Vernon,NH,New Hampshire,True,,2607.0,59.7,33011,Hillsborough,"{""33011"": ""100""}",Hillsborough,33011,False,False,America/New_York,"42.90244, -71.68336"
3221,Bradford,NH,New Hampshire,True,,2095.0,17.5,33013,Merrimack,"{""33013"": ""100""}",Merrimack,33013,False,False,America/New_York,"43.25179, -71.96171"
3222,Bristol,NH,New Hampshire,True,,5896.0,31.3,33009,Grafton,"{""33009"": ""100""}",Grafton,33009,False,False,America/New_York,"43.6275, -71.78286"
3243,Hill,NH,New Hampshire,True,,920.0,13.5,33013,Merrimack,"{""33013"": ""100""}",Merrimack,33013,False,False,America/New_York,"43.52493, -71.76467"
