zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
7011,Clifton,NJ,New Jersey,True,,39783.0,4639.1,34031,Passaic,"{""34031"": ""100""}",Passaic,34031,False,False,America/New_York,"40.87848, -74.14478"
7034,Lake Hiawatha,NJ,New Jersey,True,,9143.0,2775.7,34027,Morris,"{""34027"": ""100""}",Morris,34027,False,False,America/New_York,"40.87968, -74.37989"
7058,Pine Brook,NJ,New Jersey,True,,5109.0,660.6,34027,Morris,"{""34027"": ""100""}",Morris,34027,False,False,America/New_York,"40.86728, -74.34275"
7060,Plainfield,NJ,New Jersey,True,,45520.0,3471.1,34039,Union,"{""34039"": ""61.31"", ""34035"": ""38.69""}","Union,Somerset","34039,34035",False,False,America/New_York,"40.61635, -74.42166"
7064,Port Reading,NJ,New Jersey,True,,3864.0,1072.5,34023,Middlesex,"{""34023"": ""100""}",Middlesex,34023,False,False,America/New_York,"40.56812, -74.24811"
7065,Rahway,NJ,New Jersey,True,,29543.0,2943.7,34039,Union,"{""34039"": ""100""}",Union,34039,False,False,America/New_York,"40.60771, -74.2807"
7522,Paterson,NJ,New Jersey,True,,20615.0,9686.8,34031,Passaic,"{""34031"": ""100""}",Passaic,34031,False,False,America/New_York,"40.92502, -74.17853"
7644,Lodi,NJ,New Jersey,True,,24430.0,4119.9,34003,Bergen,"{""34003"": ""100""}",Bergen,34003,False,False,America/New_York,"40.87848, -74.08138"
7656,Park Ridge,NJ,New Jersey,True,,8795.0,1296.4,34003,Bergen,"{""34003"": ""100""}",Bergen,34003,False,False,America/New_York,"41.03533, -74.04243"
7661,River Edge,NJ,New Jersey,True,,11500.0,2428.9,34003,Bergen,"{""34003"": ""100""}",Bergen,34003,False,False,America/New_York,"40.92695, -74.03872"
7719,Belmar,NJ,New Jersey,True,,21083.0,628.1,34025,Monmouth,"{""34025"": ""100""}",Monmouth,34025,False,False,America/New_York,"40.1687, -74.07274"
7836,Flanders,NJ,New Jersey,True,,12579.0,303.9,34027,Morris,"{""34027"": ""100""}",Morris,34027,False,False,America/New_York,"40.84525, -74.70319"
8090,Wenonah,NJ,New Jersey,True,,8087.0,1218.0,34015,Gloucester,"{""34015"": ""100""}",Gloucester,34015,False,False,America/New_York,"39.79751, -75.15071"
8091,West Berlin,NJ,New Jersey,True,,5553.0,641.5,34007,Camden,"{""34007"": ""100""}",Camden,34007,False,False,America/New_York,"39.80536, -74.92546"
8092,West Creek,NJ,New Jersey,True,,3393.0,56.5,34029,Ocean,"{""34029"": ""100""}",Ocean,34029,False,False,America/New_York,"39.65483, -74.28431"
8095,Winslow,NJ,New Jersey,True,,39.0,7.4,34007,Camden,"{""34007"": ""100""}",Camden,34007,False,False,America/New_York,"39.64847, -74.86033"
8221,Linwood,NJ,New Jersey,True,,6742.0,677.1,34001,Atlantic,"{""34001"": ""100""}",Atlantic,34001,False,False,America/New_York,"39.34346, -74.57068"
8251,Villas,NJ,New Jersey,True,,9228.0,564.0,34009,Cape May,"{""34009"": ""100""}",Cape May,34009,False,False,America/New_York,"39.02704, -74.92736"
8691,Robbinsville,NJ,New Jersey,True,,16850.0,249.0,34021,Mercer,"{""34021"": ""98.42"", ""34025"": ""1.58""}","Mercer,Monmouth","34021,34025",False,False,America/New_York,"40.20976, -74.59379"
8730,Brielle,NJ,New Jersey,True,,4726.0,1039.0,34025,Monmouth,"{""34025"": ""100""}",Monmouth,34025,False,False,America/New_York,"40.10484, -74.06368"
8750,Sea Girt,NJ,New Jersey,True,,3017.0,615.7,34025,Monmouth,"{""34025"": ""100""}",Monmouth,34025,False,False,America/New_York,"40.13394, -74.04432"
8758,Waretown,NJ,New Jersey,True,,7731.0,238.6,34029,Ocean,"{""34029"": ""100""}",Ocean,34029,False,False,America/New_York,"39.78928, -74.23008"
7003,Bloomfield,NJ,New Jersey,True,,49260.0,3579.1,34013,Essex,"{""34013"": ""100""}",Essex,34013,False,False,America/New_York,"40.80999, -74.18679"
7055,Passaic,NJ,New Jersey,True,,70090.0,8625.6,34031,Passaic,"{""34031"": ""100""}",Passaic,34031,False,False,America/New_York,"40.8575, -74.12821"
7306,Jersey City,NJ,New Jersey,True,,52093.0,7387.6,34017,Hudson,"{""34017"": ""100""}",Hudson,34017,False,False,America/New_York,"40.73458, -74.07178"
7627,Demarest,NJ,New Jersey,True,,4942.0,919.9,34003,Bergen,"{""34003"": ""100""}",Bergen,34003,False,False,America/New_York,"40.95505, -73.95674"
7645,Montvale,NJ,New Jersey,True,,8489.0,816.7,34003,Bergen,"{""34003"": ""100""}",Bergen,34003,False,False,America/New_York,"41.05292, -74.04988"
7663,Saddle Brook,NJ,New Jersey,True,,13845.0,1997.3,34003,Bergen,"{""34003"": ""100""}",Bergen,34003,False,False,America/New_York,"40.90321, -74.09559"
7731,Howell,NJ,New Jersey,True,,38730.0,449.9,34025,Monmouth,"{""34025"": ""100""}",Monmouth,34025,False,False,America/New_York,"40.14979, -74.20007"
7826,Branchville,NJ,New Jersey,True,,5824.0,43.2,34037,Sussex,"{""34037"": ""100""}",Sussex,34037,False,False,America/New_York,"41.19266, -74.76869"
7830,Califon,NJ,New Jersey,True,,6813.0,109.8,34019,Hunterdon,"{""34019"": ""84.02"", ""34027"": ""15.98""}","Hunterdon,Morris","34019,34027",False,False,America/New_York,"40.72104, -74.80747"
7846,Johnsonburg,NJ,New Jersey,True,,67.0,188.6,34041,Warren,"{""34041"": ""100""}",Warren,34041,False,False,America/New_York,"40.9661, -74.87721"
7870,Schooleys Mountain,NJ,New Jersey,True,,30.0,49.9,34027,Morris,"{""34027"": ""100""}",Morris,34027,False,False,America/New_York,"40.80394, -74.81965"
7977,Peapack,NJ,New Jersey,True,,731.0,189.6,34035,Somerset,"{""34035"": ""100""}",Somerset,34035,False,False,America/New_York,"40.70628, -74.66373"
8030,Gloucester City,NJ,New Jersey,True,,13252.0,1925.8,34007,Camden,"{""34007"": ""100""}",Camden,34007,False,False,America/New_York,"39.88971, -75.11772"
8039,Harrisonville,NJ,New Jersey,True,,182.0,68.2,34015,Gloucester,"{""34015"": ""100""}",Gloucester,34015,False,False,America/New_York,"39.68798, -75.27215"
8071,Pitman,NJ,New Jersey,True,,9419.0,1094.8,34015,Gloucester,"{""34015"": ""100""}",Gloucester,34015,False,False,America/New_York,"39.73228, -75.13387"
8314,Delmont,NJ,New Jersey,True,,2908.0,85.9,34011,Cumberland,"{""34011"": ""100""}",Cumberland,34011,False,False,America/New_York,"39.21814, -74.94235"
8319,Estell Manor,NJ,New Jersey,True,,1171.0,32.0,34001,Atlantic,"{""34001"": ""100""}",Atlantic,34001,False,False,America/New_York,"39.36864, -74.81691"
8328,Malaga,NJ,New Jersey,True,,1301.0,240.3,34015,Gloucester,"{""34015"": ""100""}",Gloucester,34015,False,False,America/New_York,"39.5784, -75.05917"
