zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
87023,Jarales,NM,New Mexico,True,,529.0,65.4,35061,Valencia,"{""35061"": ""100""}",Valencia,35061,False,False,America/Denver,"34.59821, -106.76059"
87036,Mountainair,NM,New Mexico,True,,1548.0,0.6,35057,Torrance,"{""35057"": ""98.82"", ""35053"": ""1.18""}","Torrance,Socorro","35057,35053",False,False,America/Denver,"34.37816, -106.25927"
87415,Flora Vista,NM,New Mexico,True,,1715.0,60.3,35045,San Juan,"{""35045"": ""100""}",San Juan,35045,False,False,America/Denver,"36.81831, -108.09743"
87508,Santa Fe,NM,New Mexico,True,,19447.0,50.8,35049,Santa Fe,"{""35049"": ""100""}",Santa Fe,35049,False,False,America/Denver,"35.52744, -105.96873"
87567,Santa Cruz,NM,New Mexico,True,,1157.0,137.5,35049,Santa Fe,"{""35049"": ""100""}",Santa Fe,35049,False,False,America/Denver,"35.9939, -106.02023"
87732,Mora,NM,New Mexico,True,,1251.0,3.1,35033,Mora,"{""35033"": ""100""}",Mora,35033,False,False,America/Denver,"35.9634, -105.3675"
87935,Elephant Butte,NM,New Mexico,True,,1422.0,15.1,35051,Sierra,"{""35051"": ""100""}",Sierra,35051,False,False,America/Denver,"33.25398, -107.22754"
87005,Bluewater,NM,New Mexico,True,,219.0,2.8,35006,Cibola,"{""35006"": ""100""}",Cibola,35006,False,False,America/Denver,"35.26424, -107.97682"
87040,Paguate,NM,New Mexico,True,,432.0,9.3,35006,Cibola,"{""35006"": ""100""}",Cibola,35006,False,False,America/Denver,"35.12356, -107.39163"
87043,Placitas,NM,New Mexico,True,,4686.0,21.1,35043,Sandoval,"{""35043"": ""100""}",Sandoval,35043,False,False,America/Denver,"35.28806, -106.46606"
87070,Clines Corners,NM,New Mexico,True,,180.0,2.6,35057,Torrance,"{""35057"": ""100""}",Torrance,35057,False,False,America/Denver,"35.0219, -105.77764"
87114,Albuquerque,NM,New Mexico,True,,68789.0,1252.4,35001,Bernalillo,"{""35001"": ""100""}",Bernalillo,35001,False,False,America/Denver,"35.19711, -106.68401"
87319,Mentmore,NM,New Mexico,True,,2014.0,4.6,35031,McKinley,"{""35031"": ""100""}",McKinley,35031,False,False,America/Denver,"35.47231, -108.9505"
87455,Newcomb,NM,New Mexico,True,,1714.0,1.9,35045,San Juan,"{""35045"": ""100""}",San Juan,35045,False,False,America/Denver,"36.3244, -108.64179"
87514,Arroyo Seco,NM,New Mexico,True,,894.0,19.7,35055,Taos,"{""35055"": ""100""}",Taos,35055,False,False,America/Denver,"36.54126, -105.52521"
87522,Chimayo,NM,New Mexico,True,,2715.0,6.7,35039,Rio Arriba,"{""35039"": ""75.3"", ""35049"": ""24.7""}","Rio Arriba,Santa Fe","35039,35049",False,False,America/Denver,"35.93801, -105.83647"
87528,Dulce,NM,New Mexico,True,,3546.0,1.8,35039,Rio Arriba,"{""35039"": ""100""}",Rio Arriba,35039,False,False,America/Denver,"36.66881, -106.98213"
87532,Espanola,NM,New Mexico,True,,18641.0,63.2,35039,Rio Arriba,"{""35039"": ""69.69"", ""35049"": ""30.31""}","Rio Arriba,Santa Fe","35039,35049",False,False,America/Denver,"35.99328, -106.08987"
88042,Hillsboro,NM,New Mexico,True,,253.0,0.2,35051,Sierra,"{""35051"": ""100""}",Sierra,35051,False,False,America/Denver,"32.80696, -107.58906"
88121,House,NM,New Mexico,True,,126.0,0.2,35037,Quay,"{""35037"": ""100""}",Quay,35037,False,False,America/Denver,"34.71464, -103.98069"
88210,Artesia,NM,New Mexico,True,,18097.0,5.5,35015,Eddy,"{""35015"": ""100""}",Eddy,35015,False,False,America/Denver,"32.77172, -104.21957"
88240,Hobbs,NM,New Mexico,True,,40944.0,25.3,35025,Lea,"{""35025"": ""100""}",Lea,35025,False,False,America/Denver,"32.70781, -103.47152"
88253,Lake Arthur,NM,New Mexico,True,,985.0,2.0,35005,Chaves,"{""35005"": ""73.9"", ""35015"": ""26.1""}","Chaves,Eddy","35005,35015",False,False,America/Denver,"32.98609, -104.45485"
87015,Edgewood,NM,New Mexico,True,,13399.0,34.4,35049,Santa Fe,"{""35049"": ""67.66"", ""35057"": ""17.99"", ""35001"": ""14.35""}","Santa Fe,Torrance,Bernalillo","35049,35057,35001",False,False,America/Denver,"35.07419, -106.18002"
87718,Eagle Nest,NM,New Mexico,True,,381.0,1.6,35007,Colfax,"{""35007"": ""100""}",Colfax,35007,False,False,America/Denver,"36.59004, -105.29664"
87731,Montezuma,NM,New Mexico,True,,250.0,1.1,35047,San Miguel,"{""35047"": ""100""}",San Miguel,35047,False,False,America/Denver,"35.73196, -105.41386"
87930,Arrey,NM,New Mexico,True,,759.0,2.0,35051,Sierra,"{""35051"": ""100""}",Sierra,35051,False,False,America/Denver,"32.83387, -107.43342"
88024,Berino,NM,New Mexico,True,,162.0,84.3,35013,Doña Ana,"{""35013"": ""100""}",Doña Ana,35013,False,False,America/Denver,"32.0706, -106.63951"
88040,Hachita,NM,New Mexico,True,,114.0,0.0,35017,Grant,"{""35017"": ""63.79"", ""35023"": ""36.21""}","Grant,Hidalgo","35017,35023",False,False,America/Denver,"31.61683, -108.43763"
88053,Pinos Altos,NM,New Mexico,True,,208.0,7.4,35017,Grant,"{""35017"": ""100""}",Grant,35017,False,False,America/Denver,"32.9025, -108.20595"
88310,Alamogordo,NM,New Mexico,True,,36707.0,33.2,35035,Otero,"{""35035"": ""100""}",Otero,35035,False,False,America/Denver,"32.70076, -106.00576"
88342,Orogrande,NM,New Mexico,True,,41.0,2.7,35035,Otero,"{""35035"": ""100""}",Otero,35035,False,False,America/Denver,"32.38792, -106.10153"
87017,Gallina,NM,New Mexico,True,,322.0,0.7,35039,Rio Arriba,"{""35039"": ""100""}",Rio Arriba,35039,False,False,America/Denver,"36.32022, -106.76865"
87310,Brimhall,NM,New Mexico,True,,1081.0,2.3,35031,McKinley,"{""35031"": ""100""}",McKinley,35031,False,False,America/Denver,"35.79415, -108.53908"
87565,San Jose,NM,New Mexico,True,,368.0,2.9,35047,San Miguel,"{""35047"": ""100""}",San Miguel,35047,False,False,America/Denver,"35.45598, -105.49284"
87820,Aragon,NM,New Mexico,True,,93.0,0.2,35003,Catron,"{""35003"": ""100""}",Catron,35003,False,False,America/Denver,"33.89521, -108.54735"
87939,Monticello,NM,New Mexico,True,,100.0,0.3,35051,Sierra,"{""35051"": ""100""}",Sierra,35051,False,False,America/Denver,"33.41286, -107.48874"
88048,Mesquite,NM,New Mexico,True,,2402.0,47.4,35013,Doña Ana,"{""35013"": ""100""}",Doña Ana,35013,False,False,America/Denver,"32.16352, -106.65918"
88260,Lovington,NM,New Mexico,True,,14869.0,7.6,35025,Lea,"{""35025"": ""100""}",Lea,35025,False,False,America/Denver,"32.99151, -103.39911"
88311,Alamogordo,NM,New Mexico,True,,1384.0,227.1,35035,Otero,"{""35035"": ""100""}",Otero,35035,False,False,America/Denver,"32.80751, -105.98864"
87052,Santo Domingo Pueblo,NM,New Mexico,True,,2858.0,28.2,35043,Sandoval,"{""35043"": ""100""}",Sandoval,35043,False,False,America/Denver,"35.50479, -106.30689"
87056,Stanley,NM,New Mexico,True,,1063.0,0.8,35049,Santa Fe,"{""35049"": ""98.53"", ""35047"": ""1.47""}","Santa Fe,San Miguel","35049,35047",False,False,America/Denver,"35.18882, -105.88649"
87410,Aztec,NM,New Mexico,True,,16766.0,24.1,35045,San Juan,"{""35045"": ""100""}",San Juan,35045,False,False,America/Denver,"36.86691, -107.87985"
87539,La Madera,NM,New Mexico,True,,25.0,0.1,35039,Rio Arriba,"{""35039"": ""100""}",Rio Arriba,35039,False,False,America/Denver,"36.38171, -106.03924"
87569,Serafina,NM,New Mexico,True,,438.0,2.1,35047,San Miguel,"{""35047"": ""100""}",San Miguel,35047,False,False,America/Denver,"35.3464, -105.30068"
87574,Tesuque,NM,New Mexico,True,,123.0,15.8,35049,Santa Fe,"{""35049"": ""100""}",Santa Fe,35049,False,False,America/Denver,"35.81671, -105.88857"
87736,Rainsville,NM,New Mexico,True,,118.0,1.8,35033,Mora,"{""35033"": ""100""}",Mora,35033,False,False,America/Denver,"35.98112, -105.19545"
87943,Winston,NM,New Mexico,True,,172.0,0.1,35051,Sierra,"{""35051"": ""77.19"", ""35053"": ""15.79"", ""35003"": ""7.02""}","Sierra,Socorro,Catron","35051,35053,35003",False,False,America/Denver,"33.39161, -107.73215"
88046,Mesilla,NM,New Mexico,True,,765.0,123.8,35013,Doña Ana,"{""35013"": ""100""}",Doña Ana,35013,False,False,America/Denver,"32.25, -106.8023"
88081,Chaparral,NM,New Mexico,True,,16829.0,16.4,35035,Otero,"{""35035"": ""55.66"", ""35013"": ""44.34""}","Otero,Doña Ana","35035,35013",False,False,America/Denver,"32.22412, -106.26298"
88201,Roswell,NM,New Mexico,True,,26485.0,4.5,35005,Chaves,"{""35005"": ""100""}",Chaves,35005,False,False,America/Denver,"33.63974, -104.37492"
88346,Ruidoso Downs,NM,New Mexico,True,,2728.0,17.6,35027,Lincoln,"{""35027"": ""100""}",Lincoln,35027,False,False,America/Denver,"33.35376, -105.54007"
88352,Tularosa,NM,New Mexico,True,,4605.0,3.6,35035,Otero,"{""35035"": ""100""}",Otero,35035,False,False,America/Denver,"33.03756, -106.10175"
88411,Bard,NM,New Mexico,True,,48.0,0.1,35037,Quay,"{""35037"": ""100""}",Quay,35037,False,False,America/Denver,"35.13678, -103.16049"
88417,Cuervo,NM,New Mexico,True,,0.0,0.0,35019,Guadalupe,"{""35019"": ""100""}",Guadalupe,35019,False,False,America/Denver,"35.05147, -104.39122"
88430,Nara Visa,NM,New Mexico,True,,98.0,0.1,35037,Quay,"{""35037"": ""94.44"", ""48359"": ""5.56""}","Quay,Oldham","35037,48359",False,False,America/Denver,"35.59028, -103.18118"
87044,Ponderosa,NM,New Mexico,True,,255.0,7.0,35043,Sandoval,"{""35043"": ""100""}",Sandoval,35043,False,False,America/Denver,"35.66552, -106.64425"
87113,Albuquerque,NM,New Mexico,True,,15712.0,674.1,35001,Bernalillo,"{""35001"": ""100""}",Bernalillo,35001,False,False,America/Denver,"35.18356, -106.59231"
87510,Abiquiu,NM,New Mexico,True,,987.0,0.9,35039,Rio Arriba,"{""35039"": ""100""}",Rio Arriba,35039,False,False,America/Denver,"36.29328, -106.41423"
87515,Canjilon,NM,New Mexico,True,,337.0,1.0,35039,Rio Arriba,"{""35039"": ""100""}",Rio Arriba,35039,False,False,America/Denver,"36.50231, -106.37718"
87562,Rowe,NM,New Mexico,True,,361.0,2.4,35047,San Miguel,"{""35047"": ""100""}",San Miguel,35047,False,False,America/Denver,"35.41692, -105.68447"
87575,Tierra Amarilla,NM,New Mexico,True,,899.0,0.6,35039,Rio Arriba,"{""35039"": ""100""}",Rio Arriba,35039,False,False,America/Denver,"36.74607, -106.38491"
87701,Las Vegas,NM,New Mexico,True,,19020.0,4.5,35047,San Miguel,"{""35047"": ""100""}",San Miguel,35047,False,False,America/Denver,"35.53869, -104.92699"
87735,Ojo Feliz,NM,New Mexico,True,,77.0,0.9,35033,Mora,"{""35033"": ""100""}",Mora,35033,False,False,America/Denver,"36.07344, -105.1471"
87740,Raton,NM,New Mexico,True,,7007.0,2.2,35007,Colfax,"{""35007"": ""100""}",Colfax,35007,False,False,America/Denver,"36.75538, -104.41045"
87746,Solano,NM,New Mexico,True,,55.0,0.0,35047,San Miguel,"{""35047"": ""85.83"", ""35021"": ""14.17""}","San Miguel,Harding","35047,35021",False,False,America/Denver,"35.64111, -104.23613"
88028,Cliff,NM,New Mexico,True,,253.0,0.7,35017,Grant,"{""35017"": ""100""}",Grant,35017,False,False,America/Denver,"32.93289, -108.63592"
88203,Roswell,NM,New Mexico,True,,30463.0,8.0,35005,Chaves,"{""35005"": ""100""}",Chaves,35005,False,False,America/Denver,"33.18609, -104.34426"
88419,Folsom,NM,New Mexico,True,,98.0,0.0,35059,Union,"{""35059"": ""91.27"", ""35007"": ""8.73""}","Union,Colfax","35059,35007",False,False,America/Denver,"36.88276, -103.53903"
88431,Newkirk,NM,New Mexico,True,,55.0,0.1,35019,Guadalupe,"{""35019"": ""53.06"", ""35047"": ""46.94""}","Guadalupe,San Miguel","35019,35047",False,False,America/Denver,"35.17599, -104.27799"
87002,Belen,NM,New Mexico,True,,21993.0,24.6,35061,Valencia,"{""35061"": ""100""}",Valencia,35061,False,False,America/Denver,"34.60272, -106.6599"
87013,Cuba,NM,New Mexico,True,,5556.0,1.2,35043,Sandoval,"{""35043"": ""67.73"", ""35031"": ""26.56"", ""35039"": ""3.73"", ""35045"": ""1.98""}","Sandoval,McKinley,Rio Arriba,San Juan","35043,35031,35039,35045",False,False,America/Denver,"35.90924, -107.39226"
87517,Carson,NM,New Mexico,True,,340.0,1.7,35055,Taos,"{""35055"": ""100""}",Taos,35055,False,False,America/Denver,"36.3949, -105.78756"
87521,Chamisal,NM,New Mexico,True,,723.0,2.8,35055,Taos,"{""35055"": ""76.37"", ""35039"": ""23.63""}","Taos,Rio Arriba","35055,35039",False,False,America/Denver,"36.07629, -105.69802"
87523,Cordova,NM,New Mexico,True,,704.0,37.7,35039,Rio Arriba,"{""35039"": ""100""}",Rio Arriba,35039,False,False,America/Denver,"36.01364, -105.84268"
87543,Llano,NM,New Mexico,True,,97.0,1.9,35055,Taos,"{""35055"": ""100""}",Taos,35055,False,False,America/Denver,"36.107, -105.6612"
87553,Penasco,NM,New Mexico,True,,1386.0,26.1,35055,Taos,"{""35055"": ""100""}",Taos,35055,False,False,America/Denver,"36.20595, -105.70695"
87729,Miami,NM,New Mexico,True,,43.0,0.2,35007,Colfax,"{""35007"": ""100""}",Colfax,35007,False,False,America/Denver,"36.33255, -104.8006"
87827,Pie Town,NM,New Mexico,True,,146.0,0.1,35003,Catron,"{""35003"": ""100""}",Catron,35003,False,False,America/Denver,"34.40185, -108.10286"
88063,Sunland Park,NM,New Mexico,True,,14044.0,476.4,35013,Doña Ana,"{""35013"": ""99.79"", ""48141"": ""0.21""}","Doña Ana,El Paso","35013,48141",False,False,America/Denver,"31.81825, -106.5994"
88312,Alto,NM,New Mexico,True,,2919.0,11.7,35027,Lincoln,"{""35027"": ""100""}",Lincoln,35027,False,False,America/Denver,"33.43147, -105.67741"
88338,Lincoln,NM,New Mexico,True,,57.0,0.2,35027,Lincoln,"{""35027"": ""100""}",Lincoln,35027,False,False,America/Denver,"33.4869, -105.38177"
88349,Sunspot,NM,New Mexico,True,,12.0,0.2,35035,Otero,"{""35035"": ""100""}",Otero,35035,False,False,America/Denver,"32.76434, -105.78603"
88436,Sedan,NM,New Mexico,True,,66.0,0.2,35059,Union,"{""35059"": ""100""}",Union,35059,False,False,America/Denver,"36.13154, -103.12165"
87020,Grants,NM,New Mexico,True,,11069.0,4.1,35006,Cibola,"{""35006"": ""100""}",Cibola,35006,False,False,America/Denver,"34.93005, -107.93988"
87025,Jemez Springs,NM,New Mexico,True,,1242.0,1.4,35043,Sandoval,"{""35043"": ""100""}",Sandoval,35043,False,False,America/Denver,"35.83959, -106.63483"
87041,Pena Blanca,NM,New Mexico,True,,874.0,2.4,35043,Sandoval,"{""35043"": ""100""}",Sandoval,35043,False,False,America/Denver,"35.68785, -106.32989"
87046,Regina,NM,New Mexico,True,,230.0,1.5,35043,Sandoval,"{""35043"": ""74.19"", ""35039"": ""25.81""}","Sandoval,Rio Arriba","35043,35039",False,False,America/Denver,"36.24694, -106.91609"
87566,Ohkay Owingeh,NM,New Mexico,True,,3128.0,58.0,35039,Rio Arriba,"{""35039"": ""100""}",Rio Arriba,35039,False,False,America/Denver,"36.07121, -106.07011"
87733,Mosquero,NM,New Mexico,True,,108.0,0.1,35021,Harding,"{""35021"": ""100""}",Harding,35021,False,False,America/Denver,"35.80997, -103.82487"
87936,Garfield,NM,New Mexico,True,,191.0,6.1,35013,Doña Ana,"{""35013"": ""88.54"", ""35051"": ""11.46""}","Doña Ana,Sierra","35013,35051",False,False,America/Denver,"32.7532, -107.26365"
88012,Las Cruces,NM,New Mexico,True,,30500.0,32.3,35013,Doña Ana,"{""35013"": ""100""}",Doña Ana,35013,False,False,America/Denver,"32.58346, -106.77146"
88038,Gila,NM,New Mexico,True,,226.0,0.2,35017,Grant,"{""35017"": ""100""}",Grant,35017,False,False,America/Denver,"33.07212, -108.42651"
88047,Mesilla Park,NM,New Mexico,True,,2132.0,112.9,35013,Doña Ana,"{""35013"": ""100""}",Doña Ana,35013,False,False,America/Denver,"32.21003, -106.71473"
88130,Portales,NM,New Mexico,True,,17476.0,10.8,35041,Roosevelt,"{""35041"": ""100""}",Roosevelt,35041,False,False,America/Denver,"34.13556, -103.31049"
88132,Rogers,NM,New Mexico,True,,244.0,0.5,35041,Roosevelt,"{""35041"": ""100""}",Roosevelt,35041,False,False,America/Denver,"33.92431, -103.19459"
88325,High Rolls Mountain Park,NM,New Mexico,True,,954.0,3.6,35035,Otero,"{""35035"": ""100""}",Otero,35035,False,False,America/Denver,"32.85121, -105.8626"
88330,Holloman Air Force Base,NM,New Mexico,True,,4096.0,1145.0,35035,Otero,"{""35035"": ""100""}",Otero,35035,False,False,America/Denver,"32.83659, -106.07738"
88348,San Patricio,NM,New Mexico,True,,318.0,12.0,35027,Lincoln,"{""35027"": ""100""}",Lincoln,35027,False,False,America/Denver,"33.39619, -105.35842"
87027,La Jara,NM,New Mexico,True,,341.0,3.7,35043,Sandoval,"{""35043"": ""100""}",Sandoval,35043,False,False,America/Denver,"36.12632, -106.94777"
87053,San Ysidro,NM,New Mexico,True,,1405.0,1.9,35043,Sandoval,"{""35043"": ""100""}",Sandoval,35043,False,False,America/Denver,"35.65124, -107.03361"
87059,Tijeras,NM,New Mexico,True,,10488.0,28.4,35001,Bernalillo,"{""35001"": ""100""}",Bernalillo,35001,False,False,America/Denver,"34.99401, -106.29716"
87506,Santa Fe,NM,New Mexico,True,,13784.0,26.9,35049,Santa Fe,"{""35049"": ""100""}",Santa Fe,35049,False,False,America/Denver,"35.81952, -105.98861"
87511,Alcalde,NM,New Mexico,True,,2328.0,16.3,35039,Rio Arriba,"{""35039"": ""100""}",Rio Arriba,35039,False,False,America/Denver,"36.10226, -105.92584"
87540,Lamy,NM,New Mexico,True,,792.0,3.6,35049,Santa Fe,"{""35049"": ""100""}",Santa Fe,35049,False,False,America/Denver,"35.44515, -105.90366"
87552,Pecos,NM,New Mexico,True,,3459.0,9.0,35047,San Miguel,"{""35047"": ""100""}",San Miguel,35047,False,False,America/Denver,"35.64618, -105.60163"
87715,Cleveland,NM,New Mexico,True,,394.0,3.6,35033,Mora,"{""35033"": ""100""}",Mora,35033,False,False,America/Denver,"36.01816, -105.42581"
88002,White Sands Missile Range,NM,New Mexico,True,,1277.0,2.7,35013,Doña Ana,"{""35013"": ""100""}",Doña Ana,35013,False,False,America/Denver,"32.46284, -106.48007"
88119,Fort Sumner,NM,New Mexico,True,,1964.0,0.4,35011,De Baca,"{""35011"": ""100""}",De Baca,35011,False,False,America/Denver,"34.32303, -104.40797"
88125,Milnesand,NM,New Mexico,True,,58.0,0.1,35041,Roosevelt,"{""35041"": ""100""}",Roosevelt,35041,False,False,America/Denver,"33.68518, -103.28026"
88126,Pep,NM,New Mexico,True,,44.0,0.3,35041,Roosevelt,"{""35041"": ""100""}",Roosevelt,35041,False,False,America/Denver,"33.83096, -103.37685"
88351,Tinnie,NM,New Mexico,True,,159.0,0.1,35027,Lincoln,"{""35027"": ""100""}",Lincoln,35027,False,False,America/Denver,"33.54952, -105.08763"
88355,Ruidoso,NM,New Mexico,True,,0.0,0.0,35027,Lincoln,"{""35027"": ""100""}",Lincoln,35027,False,False,America/Denver,"33.36303, -105.66826"
87031,Los Lunas,NM,New Mexico,True,,44364.0,33.7,35061,Valencia,"{""35061"": ""100""}",Valencia,35061,False,False,America/Denver,"34.73181, -106.88782"
87116,Albuquerque,NM,New Mexico,True,,3919.0,460.6,35001,Bernalillo,"{""35001"": ""100""}",Bernalillo,35001,False,False,America/Denver,"35.052, -106.57174"
