zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
89012,Henderson,NV,Nevada,True,,36512.0,1305.4,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.01194, -115.04397"
89043,Pioche,NV,Nevada,True,,1478.0,0.3,32017,Lincoln,"{""32017"": ""100""}",Lincoln,32017,False,False,America/Los_Angeles,"38.25741, -114.47219"
89109,Las Vegas,NV,Nevada,True,,7859.0,681.4,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.12535, -115.16372"
89404,Denio,NV,Nevada,True,,0.0,0.0,32013,Humboldt,"{""32013"": ""100""}",Humboldt,32013,False,False,America/Los_Angeles,"41.88683, -118.70584"
89427,Schurz,NV,Nevada,True,,1162.0,1.8,32021,Mineral,"{""32021"": ""100""}",Mineral,32021,False,False,America/Los_Angeles,"38.92055, -118.70037"
89084,North Las Vegas,NV,Nevada,True,,27773.0,979.1,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.2969, -115.17408"
89143,Las Vegas,NV,Nevada,True,,13265.0,1497.0,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.32231, -115.29318"
89405,Empire,NV,Nevada,True,,134.0,0.1,32031,Washoe,"{""32031"": ""99.58"", ""32027"": ""0.42""}","Washoe,Pershing","32031,32027",False,False,America/Los_Angeles,"40.48051, -119.42448"
89448,Zephyr Cove,NV,Nevada,True,,1712.0,53.8,32005,Douglas,"{""32005"": ""100""}",Douglas,32005,False,False,America/Los_Angeles,"39.00784, -119.92412"
89701,Carson City,NV,Nevada,True,,27193.0,315.3,32510,Carson City,"{""32510"": ""100""}",Carson City,32510,False,False,America/Los_Angeles,"39.13966, -119.71837"
89031,North Las Vegas,NV,Nevada,True,,67750.0,2753.1,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.25893, -115.17175"
89444,Wellington,NV,Nevada,True,,2949.0,3.8,32005,Douglas,"{""32005"": ""56.4"", ""32019"": ""43.6""}","Douglas,Lyon","32005,32019",False,False,America/Los_Angeles,"38.70709, -119.37194"
89519,Reno,NV,Nevada,True,,8766.0,434.5,32031,Washoe,"{""32031"": ""100""}",Washoe,32031,False,False,America/Los_Angeles,"39.48135, -119.85904"
89822,Carlin,NV,Nevada,True,,2160.0,1.4,32007,Elko,"{""32007"": ""94.31"", ""32011"": ""5.69""}","Elko,Eureka","32007,32011",False,False,America/Los_Angeles,"40.53131, -116.19417"
89046,Searchlight,NV,Nevada,True,,357.0,0.2,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"35.51337, -114.88657"
89145,Las Vegas,NV,Nevada,True,,25071.0,2107.7,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.1677, -115.27787"
89317,Lund,NV,Nevada,True,,268.0,1.1,32033,White Pine,"{""32033"": ""96.02"", ""32023"": ""3.98""}","White Pine,Nye","32033,32023",False,False,America/Los_Angeles,"38.65835, -115.09913"
89418,Imlay,NV,Nevada,True,,306.0,0.4,32027,Pershing,"{""32027"": ""100""}",Pershing,32027,False,False,America/Los_Angeles,"40.54841, -118.03436"
89422,Mina,NV,Nevada,True,,182.0,0.2,32021,Mineral,"{""32021"": ""100""}",Mineral,32021,False,False,America/Los_Angeles,"38.17367, -118.41484"
89431,Sparks,NV,Nevada,True,,39042.0,1557.1,32031,Washoe,"{""32031"": ""100""}",Washoe,32031,False,False,America/Los_Angeles,"39.54046, -119.7495"
89801,Elko,NV,Nevada,True,,26669.0,5.9,32007,Elko,"{""32007"": ""100""}",Elko,32007,False,False,America/Los_Angeles,"41.24905, -115.7589"
89104,Las Vegas,NV,Nevada,True,,39443.0,2686.0,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.15136, -115.10856"
89134,Las Vegas,NV,Nevada,True,,24363.0,1419.8,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.20274, -115.30777"
89445,Winnemucca,NV,Nevada,True,,16387.0,1.6,32013,Humboldt,"{""32013"": ""92.47"", ""32027"": ""7.53""}","Humboldt,Pershing","32013,32027",False,False,America/Los_Angeles,"41.16908, -118.27422"
89446,Winnemucca,NV,Nevada,True,,0.0,0.0,32013,Humboldt,"{""32013"": ""100""}",Humboldt,32013,False,False,America/Los_Angeles,"41.21713, -117.87034"
89506,Reno,NV,Nevada,True,,43566.0,178.0,32031,Washoe,"{""32031"": ""100""}",Washoe,32031,False,False,America/Los_Angeles,"39.70138, -119.82276"
89702,Carson City,NV,Nevada,True,,0.0,0.0,32510,Carson City,"{""32510"": ""0""}",Carson City,32510,False,False,America/Los_Angeles,"39.15921, -119.73599"
89820,Battle Mountain,NV,Nevada,True,,5436.0,1.0,32015,Lander,"{""32015"": ""99.96"", ""32011"": ""0.04""}","Lander,Eureka","32015,32011",False,False,America/Los_Angeles,"40.42657, -116.97366"
89007,Bunkerville,NV,Nevada,True,,1479.0,1.7,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.63481, -114.18809"
89017,Hiko,NV,Nevada,True,,83.0,0.1,32017,Lincoln,"{""32017"": ""100""}",Lincoln,32017,False,False,America/Los_Angeles,"37.73096, -115.24786"
89019,Jean,NV,Nevada,True,,2158.0,1.7,32003,Clark,"{""32003"": ""97.42"", ""06071"": ""2.58"", ""06027"": ""0""}","Clark,San Bernardino,Inyo","32003,06071,06027",False,False,America/Los_Angeles,"35.76621, -115.73453"
89032,North Las Vegas,NV,Nevada,True,,44200.0,1660.5,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.22321, -115.17272"
89135,Las Vegas,NV,Nevada,True,,28192.0,238.7,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.10099, -115.37588"
89412,Gerlach,NV,Nevada,True,,114.0,0.0,32031,Washoe,"{""32031"": ""97.22"", ""32013"": ""2.78""}","Washoe,Humboldt","32031,32013",False,False,America/Los_Angeles,"41.10776, -119.69948"
89450,Incline Village,NV,Nevada,True,,60.0,816.7,32031,Washoe,"{""32031"": ""100""}",Washoe,32031,False,False,America/Los_Angeles,"39.24043, -119.93903"
89027,Mesquite,NV,Nevada,True,,18446.0,241.5,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.81122, -114.12363"
89102,Las Vegas,NV,Nevada,True,,39449.0,2840.9,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.14535, -115.18684"
89123,Las Vegas,NV,Nevada,True,,60679.0,2198.8,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.03525, -115.14874"
89124,Las Vegas,NV,Nevada,True,,1362.0,0.4,32003,Clark,"{""32003"": ""98.3"", ""32023"": ""1.7""}","Clark,Nye","32003,32023",False,False,America/Los_Angeles,"36.42582, -115.48089"
89429,Silver Springs,NV,Nevada,True,,7715.0,17.7,32019,Lyon,"{""32019"": ""100""}",Lyon,32019,False,False,America/Los_Angeles,"39.36397, -119.30531"
89523,Reno,NV,Nevada,True,,34363.0,704.1,32031,Washoe,"{""32031"": ""100""}",Washoe,32031,False,False,America/Los_Angeles,"39.524, -119.91376"
89010,Dyer,NV,Nevada,True,,514.0,0.5,32009,Esmeralda,"{""32009"": ""88.67"", ""06051"": ""7.47"", ""32021"": ""3.86""}","Esmeralda,Mono,Mineral","32009,06051,32021",False,False,America/Los_Angeles,"37.77764, -118.08391"
89081,North Las Vegas,NV,Nevada,True,,37480.0,1943.6,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.25833, -115.10677"
89115,Las Vegas,NV,Nevada,True,,63084.0,975.0,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.25367, -115.041"
89406,Fallon,NV,Nevada,True,,24213.0,6.0,32001,Churchill,"{""32001"": ""99.99"", ""32019"": ""0.01""}","Churchill,Lyon","32001,32019",False,False,America/Los_Angeles,"39.52221, -118.31663"
89414,Golconda,NV,Nevada,True,,154.0,0.1,32013,Humboldt,"{""32013"": ""86.82"", ""32007"": ""13.18""}","Humboldt,Elko","32013,32007",False,False,America/Los_Angeles,"41.04623, -117.17819"
89436,Sparks,NV,Nevada,True,,43826.0,414.6,32031,Washoe,"{""32031"": ""100""}",Washoe,32031,False,False,America/Los_Angeles,"39.60434, -119.68778"
89451,Incline Village,NV,Nevada,True,,8777.0,133.9,32031,Washoe,"{""32031"": ""100""}",Washoe,32031,False,False,America/Los_Angeles,"39.24152, -119.93386"
89503,Reno,NV,Nevada,True,,28867.0,1717.3,32031,Washoe,"{""32031"": ""100""}",Washoe,32031,False,False,America/Los_Angeles,"39.54076, -119.83983"
89508,Reno,NV,Nevada,True,,13206.0,31.9,32031,Washoe,"{""32031"": ""100""}",Washoe,32031,False,False,America/Los_Angeles,"39.79286, -119.91954"
89821,Crescent Valley,NV,Nevada,True,,462.0,0.5,32011,Eureka,"{""32011"": ""100""}",Eureka,32011,False,False,America/Los_Angeles,"40.49241, -116.46224"
89833,Ruby Valley,NV,Nevada,True,,137.0,0.1,32007,Elko,"{""32007"": ""100""}",Elko,32007,False,False,America/Los_Angeles,"40.47107, -115.31693"
89128,Las Vegas,NV,Nevada,True,,35666.0,2294.9,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.19682, -115.26436"
89131,Las Vegas,NV,Nevada,True,,50564.0,1217.6,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.30619, -115.24268"
89166,Las Vegas,NV,Nevada,True,,25245.0,50.5,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.38065, -115.50689"
89316,Eureka,NV,Nevada,True,,1218.0,0.3,32011,Eureka,"{""32011"": ""96.59"", ""32033"": ""2.91"", ""32023"": ""0.5""}","Eureka,White Pine,Nye","32011,32033,32023",False,False,America/Los_Angeles,"39.63087, -116.17716"
89318,McGill,NV,Nevada,True,,990.0,13.6,32033,White Pine,"{""32033"": ""100""}",White Pine,32033,False,False,America/Los_Angeles,"39.43856, -114.80356"
89828,Lamoille,NV,Nevada,True,,363.0,1.1,32007,Elko,"{""32007"": ""100""}",Elko,32007,False,False,America/Los_Angeles,"40.75053, -115.36309"
89835,Wells,NV,Nevada,True,,1626.0,0.2,32007,Elko,"{""32007"": ""100""}",Elko,32007,False,False,America/Los_Angeles,"41.1147, -114.85451"
89107,Las Vegas,NV,Nevada,True,,38936.0,2750.6,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.17066, -115.21028"
89147,Las Vegas,NV,Nevada,True,,55865.0,2911.2,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.1128, -115.28016"
89403,Dayton,NV,Nevada,True,,15531.0,29.7,32019,Lyon,"{""32019"": ""95.19"", ""32029"": ""4.81""}","Lyon,Storey","32019,32029",False,False,America/Los_Angeles,"39.19832, -119.47024"
89440,Virginia City,NV,Nevada,True,,864.0,23.1,32029,Storey,"{""32029"": ""100""}",Storey,32029,False,False,America/Los_Angeles,"39.29648, -119.65873"
89510,Reno,NV,Nevada,True,,1454.0,0.5,32031,Washoe,"{""32031"": ""100""}",Washoe,32031,False,False,America/Los_Angeles,"40.05586, -119.66305"
89511,Reno,NV,Nevada,True,,26443.0,68.5,32031,Washoe,"{""32031"": ""100""}",Washoe,32031,False,False,America/Los_Angeles,"39.3953, -119.89494"
89823,Deeth,NV,Nevada,True,,124.0,0.1,32007,Elko,"{""32007"": ""100""}",Elko,32007,False,False,America/Los_Angeles,"41.00476, -115.27447"
89004,Blue Diamond,NV,Nevada,True,,326.0,2.9,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.08529, -115.47079"
89011,Henderson,NV,Nevada,True,,28229.0,660.3,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.0828, -114.96848"
89040,Overton,NV,Nevada,True,,3886.0,2.9,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.35808, -114.5386"
89142,Las Vegas,NV,Nevada,True,,34671.0,2811.5,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.1479, -115.03637"
89178,Las Vegas,NV,Nevada,True,,40808.0,824.6,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"35.99768, -115.28607"
89703,Carson City,NV,Nevada,True,,9955.0,151.5,32510,Carson City,"{""32510"": ""100""}",Carson City,32510,False,False,America/Los_Angeles,"39.1639, -119.81277"
89060,Pahrump,NV,Nevada,True,,9473.0,7.9,32023,Nye,"{""32023"": ""99.71"", ""06027"": ""0.29""}","Nye,Inyo","32023,06027",False,False,America/Los_Angeles,"36.39425, -116.06352"
89130,Las Vegas,NV,Nevada,True,,34697.0,1750.8,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.25405, -115.22708"
89183,Las Vegas,NV,Nevada,True,,42480.0,2340.1,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"35.99588, -115.15762"
89413,Glenbrook,NV,Nevada,True,,725.0,17.7,32005,Douglas,"{""32005"": ""100""}",Douglas,32005,False,False,America/Los_Angeles,"39.07389, -119.92096"
89085,North Las Vegas,NV,Nevada,True,,4156.0,3148.4,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.30958, -115.19819"
89119,Las Vegas,NV,Nevada,True,,52378.0,1564.2,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.08476, -115.14614"
89402,Crystal Bay,NV,Nevada,True,,16.0,59.4,32031,Washoe,"{""32031"": ""100""}",Washoe,32031,False,False,America/Los_Angeles,"39.22549, -120.00295"
89834,Tuscarora,NV,Nevada,True,,152.0,0.1,32007,Elko,"{""32007"": ""100""}",Elko,32007,False,False,America/Los_Angeles,"41.37383, -116.2641"
89042,Panaca,NV,Nevada,True,,1247.0,3.4,32017,Lincoln,"{""32017"": ""100""}",Lincoln,32017,False,False,America/Los_Angeles,"37.74396, -114.32223"
89826,Jarbidge,NV,Nevada,True,,0.0,0.0,32007,Elko,"{""32007"": ""100""}",Elko,32007,False,False,America/Los_Angeles,"41.8873, -115.38128"
89001,Alamo,NV,Nevada,True,,1363.0,0.3,32017,Lincoln,"{""32017"": ""99.84"", ""32023"": ""0.16""}","Lincoln,Nye","32017,32023",False,False,America/Los_Angeles,"37.27386, -115.39051"
89002,Henderson,NV,Nevada,True,,35881.0,1556.7,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"35.99857, -114.96171"
89311,Baker,NV,Nevada,True,,124.0,0.2,32033,White Pine,"{""32033"": ""100""}",White Pine,32033,False,False,America/Los_Angeles,"38.98711, -114.19431"
89415,Hawthorne,NV,Nevada,True,,3043.0,3.9,32021,Mineral,"{""32021"": ""100""}",Mineral,32021,False,False,America/Los_Angeles,"38.48546, -118.6415"
89423,Minden,NV,Nevada,True,,10283.0,57.3,32005,Douglas,"{""32005"": ""100""}",Douglas,32005,False,False,America/Los_Angeles,"39.01761, -119.74877"
89424,Nixon,NV,Nevada,True,,209.0,0.3,32031,Washoe,"{""32031"": ""100""}",Washoe,32031,False,False,America/Los_Angeles,"39.851, -119.32368"
89502,Reno,NV,Nevada,True,,45294.0,787.8,32031,Washoe,"{""32031"": ""100""}",Washoe,32031,False,False,America/Los_Angeles,"39.49206, -119.74507"
89832,Owyhee,NV,Nevada,True,,1312.0,3.8,32007,Elko,"{""32007"": ""72.7"", ""16073"": ""27.3""}","Elko,Owyhee","32007,16073",False,False,America/Los_Angeles,"41.98653, -116.16574"
89014,Henderson,NV,Nevada,True,,39430.0,2009.5,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.06172, -115.05811"
89015,Henderson,NV,Nevada,True,,42387.0,436.8,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.03921, -114.92817"
89047,Silverpeak,NV,Nevada,True,,142.0,10.1,32009,Esmeralda,"{""32009"": ""100""}",Esmeralda,32009,False,False,America/Los_Angeles,"37.7659, -117.64791"
89049,Tonopah,NV,Nevada,True,,2286.0,0.5,32023,Nye,"{""32023"": ""99.19"", ""32009"": ""0.81""}","Nye,Esmeralda","32023,32009",False,False,America/Los_Angeles,"38.36445, -116.26157"
89319,Ruth,NV,Nevada,True,,132.0,4.8,32033,White Pine,"{""32033"": ""100""}",White Pine,32033,False,False,America/Los_Angeles,"39.29631, -114.97601"
89521,Reno,NV,Nevada,True,,33381.0,168.0,32031,Washoe,"{""32031"": ""95.1"", ""32029"": ""4.9""}","Washoe,Storey","32031,32029",False,False,America/Los_Angeles,"39.38099, -119.68598"
89830,Montello,NV,Nevada,True,,208.0,0.1,32007,Elko,"{""32007"": ""100""}",Elko,32007,False,False,America/Los_Angeles,"41.27533, -114.28821"
89003,Beatty,NV,Nevada,True,,820.0,1.0,32023,Nye,"{""32023"": ""100""}",Nye,32023,False,False,America/Los_Angeles,"36.95743, -116.7262"
89018,Indian Springs,NV,Nevada,True,,4847.0,33.3,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.54161, -115.66863"
89149,Las Vegas,NV,Nevada,True,,39613.0,1273.3,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.27223, -115.29254"
89314,Duckwater,NV,Nevada,True,,313.0,0.7,32023,Nye,"{""32023"": ""100""}",Nye,32023,False,False,America/Los_Angeles,"38.85481, -115.76709"
89409,Gabbs,NV,Nevada,True,,109.0,0.1,32023,Nye,"{""32023"": ""98.59"", ""32021"": ""1.41""}","Nye,Mineral","32023,32021",False,False,America/Los_Angeles,"38.78468, -118.10324"
89439,Verdi,NV,Nevada,True,,1284.0,34.0,32031,Washoe,"{""32031"": ""94.35"", ""06091"": ""5.65""}","Washoe,Sierra","32031,06091",False,False,America/Los_Angeles,"39.52955, -120.00394"
89831,Mountain City,NV,Nevada,True,,11.0,0.0,32007,Elko,"{""32007"": ""100""}",Elko,32007,False,False,America/Los_Angeles,"41.73253, -116.11224"
89008,Caliente,NV,Nevada,True,,1009.0,0.2,32017,Lincoln,"{""32017"": ""100""}",Lincoln,32017,False,False,America/Los_Angeles,"37.27637, -114.54633"
89020,Amargosa Valley,NV,Nevada,True,,1435.0,1.6,32023,Nye,"{""32023"": ""100""}",Nye,32023,False,False,America/Los_Angeles,"36.53671, -116.4348"
89029,Laughlin,NV,Nevada,True,,8167.0,33.5,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"35.12559, -114.68628"
89101,Las Vegas,NV,Nevada,True,,42592.0,3074.4,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.17251, -115.12228"
89122,Las Vegas,NV,Nevada,True,,49600.0,2115.9,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.10639, -115.04028"
89156,Las Vegas,NV,Nevada,True,,29764.0,353.8,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"36.16345, -114.98822"
89425,Orovada,NV,Nevada,True,,312.0,0.2,32013,Humboldt,"{""32013"": ""100""}",Humboldt,32013,False,False,America/Los_Angeles,"41.66538, -117.90827"
89441,Sparks,NV,Nevada,True,,12435.0,115.7,32031,Washoe,"{""32031"": ""100""}",Washoe,32031,False,False,America/Los_Angeles,"39.67635, -119.6758"
89026,Jean,NV,Nevada,True,,0.0,0.0,32003,Clark,"{""32003"": ""100""}",Clark,32003,False,False,America/Los_Angeles,"35.75522, -115.28964"
