zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
10031,New York,NY,New York,True,,59586.0,35435.2,36061,New York,"{""36061"": ""100""}",New York,36061,False,False,America/New_York,"40.82518, -73.95013"
10112,New York,NY,New York,True,,0.0,0.0,36061,New York,"{""36061"": ""0""}",New York,36061,False,False,America/New_York,"40.75917, -73.97967"
10199,New York,NY,New York,True,,0.0,0.0,36061,New York,"{""36061"": ""100""}",New York,36061,False,False,America/New_York,"40.75138, -73.99715"
10301,Staten Island,NY,New York,True,,38280.0,4165.7,36085,Richmond,"{""36085"": ""100""}",Richmond,36085,False,False,America/New_York,"40.62846, -74.0962"
10454,Bronx,NY,New York,True,,37212.0,13709.0,36005,Bronx,"{""36005"": ""100""}",Bronx,36005,False,False,America/New_York,"40.80549, -73.91661"
10456,Bronx,NY,New York,True,,92717.0,35177.8,36005,Bronx,"{""36005"": ""100""}",Bronx,36005,False,False,America/New_York,"40.83003, -73.90815"
10459,Bronx,NY,New York,True,,48780.0,22962.7,36005,Bronx,"{""36005"": ""100""}",Bronx,36005,False,False,America/New_York,"40.82585, -73.89289"
10538,Larchmont,NY,New York,True,,16302.0,1751.0,36119,Westchester,"{""36119"": ""100""}",Westchester,36119,False,False,America/New_York,"40.938, -73.75667"
10588,Shrub Oak,NY,New York,True,,3087.0,610.6,36119,Westchester,"{""36119"": ""96.41"", ""36079"": ""3.59""}","Westchester,Putnam","36119,36079",False,False,America/New_York,"41.33533, -73.82183"
10604,West Harrison,NY,New York,True,,11290.0,641.8,36119,Westchester,"{""36119"": ""100""}",Westchester,36119,False,False,America/New_York,"41.05928, -73.73944"
10605,White Plains,NY,New York,True,,19195.0,1458.6,36119,Westchester,"{""36119"": ""100""}",Westchester,36119,False,False,America/New_York,"41.00919, -73.74605"
10607,White Plains,NY,New York,True,,7578.0,1318.5,36119,Westchester,"{""36119"": ""100""}",Westchester,36119,False,False,America/New_York,"41.0395, -73.81117"
10969,Pine Island,NY,New York,True,,1329.0,46.0,36071,Orange,"{""36071"": ""100""}",Orange,36071,False,False,America/New_York,"41.29255, -74.48882"
