zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
73007,Arcadia,OK,Oklahoma,True,,2741.0,25.9,40109,Oklahoma,"{""40109"": ""76.35"", ""40083"": ""23.65""}","Oklahoma,Logan","40109,40083",False,False,America/Chicago,"35.68863, -97.31856"
73011,Bradley,OK,Oklahoma,True,,319.0,2.4,40051,Grady,"{""40051"": ""100""}",Grady,40051,False,False,America/Chicago,"34.84444, -97.74985"
73019,Norman,OK,Oklahoma,True,,0.0,0.0,40027,Cleveland,"{""40027"": ""0""}",Cleveland,40027,False,False,America/Chicago,"35.20606, -97.44358"
73029,Cyril,OK,Oklahoma,True,,1674.0,13.1,40015,Caddo,"{""40015"": ""100""}",Caddo,40015,False,False,America/Chicago,"34.90561, -98.20637"
73043,Greenfield,OK,Oklahoma,True,,181.0,3.6,40011,Blaine,"{""40011"": ""100""}",Blaine,40011,False,False,America/Chicago,"35.73424, -98.39719"
73448,Marietta,OK,Oklahoma,True,,6206.0,11.2,40085,Love,"{""40085"": ""100""}",Love,40085,False,False,America/Chicago,"33.94683, -97.10753"
73449,Mead,OK,Oklahoma,True,,3038.0,31.2,40013,Bryan,"{""40013"": ""100""}",Bryan,40013,False,False,America/Chicago,"34.00002, -96.53768"
73455,Ravia,OK,Oklahoma,True,,611.0,26.0,40069,Johnston,"{""40069"": ""100""}",Johnston,40069,False,False,America/Chicago,"34.23162, -96.76246"
73487,Tatums,OK,Oklahoma,True,,159.0,5.3,40019,Carter,"{""40019"": ""100""}",Carter,40019,False,False,America/Chicago,"34.47883, -97.44581"
73554,Mangum,OK,Oklahoma,True,,3244.0,3.1,40055,Greer,"{""40055"": ""99.67"", ""40057"": ""0.33""}","Greer,Harmon","40055,40057",False,False,America/Chicago,"34.89057, -99.61999"
73560,Olustee,OK,Oklahoma,True,,889.0,2.6,40065,Jackson,"{""40065"": ""100""}",Jackson,40065,False,False,America/Chicago,"34.53737, -99.45034"
73632,Cordell,OK,Oklahoma,True,,3189.0,6.1,40149,Washita,"{""40149"": ""100""}",Washita,40149,False,False,America/Chicago,"35.27186, -98.9274"
73641,Dill City,OK,Oklahoma,True,,530.0,4.8,40149,Washita,"{""40149"": ""100""}",Washita,40149,False,False,America/Chicago,"35.27332, -99.17215"
73718,Ames,OK,Oklahoma,True,,527.0,2.8,40093,Major,"{""40093"": ""93.61"", ""40047"": ""6.39""}","Major,Garfield","40093,40047",False,False,America/Chicago,"36.22232, -98.17033"
73743,Hillsdale,OK,Oklahoma,True,,104.0,7.2,40047,Garfield,"{""40047"": ""100""}",Garfield,40047,False,False,America/Chicago,"36.57436, -98.01411"
73755,Longdale,OK,Oklahoma,True,,759.0,4.0,40011,Blaine,"{""40011"": ""76.13"", ""40093"": ""18.34"", ""40043"": ""5.52""}","Blaine,Major,Dewey","40011,40093,40043",False,False,America/Chicago,"36.13483, -98.57157"
74020,Cleveland,OK,Oklahoma,True,,7293.0,41.3,40117,Pawnee,"{""40117"": ""100""}",Pawnee,40117,False,False,America/Chicago,"36.24511, -96.41911"
74027,Delaware,OK,Oklahoma,True,,1103.0,4.6,40105,Nowata,"{""40105"": ""100""}",Nowata,40105,False,False,America/Chicago,"36.79882, -95.58707"
74078,Stillwater,OK,Oklahoma,True,,2306.0,3667.9,40119,Payne,"{""40119"": ""100""}",Payne,40119,False,False,America/Chicago,"36.12408, -97.0705"
74104,Tulsa,OK,Oklahoma,True,,11186.0,1586.5,40143,Tulsa,"{""40143"": ""100""}",Tulsa,40143,False,False,America/Chicago,"36.1465, -95.95398"
74346,Jay,OK,Oklahoma,True,,7690.0,13.4,40041,Delaware,"{""40041"": ""100""}",Delaware,40041,False,False,America/Chicago,"36.43793, -94.75038"
74368,Twin Oaks,OK,Oklahoma,True,,109.0,37.5,40041,Delaware,"{""40041"": ""100""}",Delaware,40041,False,False,America/Chicago,"36.20754, -94.84861"
74438,Hitchita,OK,Oklahoma,True,,130.0,6.4,40091,McIntosh,"{""40091"": ""100""}",McIntosh,40091,False,False,America/Chicago,"35.5376, -95.75539"
