zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
97102,Arch Cape,OR,Oregon,True,,318.0,19.6,41007,Clatsop,"{""41007"": ""91.22"", ""41057"": ""8.78""}","Clatsop,Tillamook","41007,41057",False,False,America/Los_Angeles,"45.79203, -123.95464"
97109,Buxton,OR,Oregon,True,,538.0,6.4,41067,Washington,"{""41067"": ""100""}",Washington,41067,False,False,America/Los_Angeles,"45.73784, -123.18112"
97112,Cloverdale,OR,Oregon,True,,1867.0,6.9,41057,Tillamook,"{""41057"": ""100""}",Tillamook,41057,False,False,America/Los_Angeles,"45.26032, -123.86917"
97113,Cornelius,OR,Oregon,True,,14918.0,162.0,41067,Washington,"{""41067"": ""100""}",Washington,41067,False,False,America/Los_Angeles,"45.50548, -123.04618"
97133,North Plains,OR,Oregon,True,,4734.0,26.1,41067,Washington,"{""41067"": ""98.73"", ""41051"": ""1.28""}","Washington,Multnomah","41067,41051",False,False,America/Los_Angeles,"45.68195, -123.01959"
97148,Yamhill,OR,Oregon,True,,4288.0,21.9,41071,Yamhill,"{""41071"": ""100""}",Yamhill,41071,False,False,America/Los_Angeles,"45.35589, -123.24658"
97210,Portland,OR,Oregon,True,,11877.0,608.2,41051,Multnomah,"{""41051"": ""97.29"", ""41067"": ""2.71""}","Multnomah,Washington","41051,41067",False,False,America/Los_Angeles,"45.54692, -122.73"
97224,Portland,OR,Oregon,True,,35434.0,1543.5,41067,Washington,"{""41067"": ""100""}",Washington,41067,False,False,America/Los_Angeles,"45.40551, -122.7951"
97301,Salem,OR,Oregon,True,,56196.0,1872.3,41047,Marion,"{""41047"": ""100""}",Marion,41047,False,False,America/Los_Angeles,"44.94903, -123.00399"
97302,Salem,OR,Oregon,True,,38706.0,634.2,41047,Marion,"{""41047"": ""100""}",Marion,41047,False,False,America/Los_Angeles,"44.90187, -123.06785"
97376,Seal Rock,OR,Oregon,True,,1254.0,7.6,41041,Lincoln,"{""41041"": ""100""}",Lincoln,41041,False,False,America/Los_Angeles,"44.5085, -123.98034"
97381,Silverton,OR,Oregon,True,,16158.0,57.3,41047,Marion,"{""41047"": ""100""}",Marion,41047,False,False,America/Los_Angeles,"44.97268, -122.74572"
97430,Deadwood,OR,Oregon,True,,349.0,1.3,41039,Lane,"{""41039"": ""100""}",Lane,41039,False,False,America/Los_Angeles,"44.17494, -123.70523"
97444,Gold Beach,OR,Oregon,True,,5643.0,13.3,41015,Curry,"{""41015"": ""100""}",Curry,41015,False,False,America/Los_Angeles,"42.47962, -124.34441"
97452,Lowell,OR,Oregon,True,,1719.0,30.8,41039,Lane,"{""41039"": ""100""}",Lane,41039,False,False,America/Los_Angeles,"43.8805, -122.72121"
97462,Oakland,OR,Oregon,True,,3730.0,7.0,41019,Douglas,"{""41019"": ""100""}",Douglas,41019,False,False,America/Los_Angeles,"43.48633, -123.38294"
97495,Winchester,OR,Oregon,True,,1673.0,87.5,41019,Douglas,"{""41019"": ""100""}",Douglas,41019,False,False,America/Los_Angeles,"43.28778, -123.3054"
97501,Medford,OR,Oregon,True,,45993.0,334.3,41029,Jackson,"{""41029"": ""100""}",Jackson,41029,False,False,America/Los_Angeles,"42.28178, -122.90541"
97601,Klamath Falls,OR,Oregon,True,,22726.0,15.8,41035,Klamath,"{""41035"": ""100""}",Klamath,41035,False,False,America/Los_Angeles,"42.44883, -122.07473"
97641,Christmas Valley,OR,Oregon,True,,1196.0,0.7,41037,Lake,"{""41037"": ""100""}",Lake,41037,False,False,America/Los_Angeles,"43.26455, -120.51876"
97843,Ione,OR,Oregon,True,,643.0,0.7,41049,Morrow,"{""41049"": ""95.98"", ""41021"": ""4.02""}","Morrow,Gilliam","41049,41021",False,False,America/Los_Angeles,"45.50471, -119.89785"
97020,Donald,OR,Oregon,True,,918.0,2478.2,41047,Marion,"{""41047"": ""100""}",Marion,41047,False,False,America/Los_Angeles,"45.22204, -122.83756"
97054,Deer Island,OR,Oregon,True,,1541.0,12.4,41009,Columbia,"{""41009"": ""100""}",Columbia,41009,False,False,America/Los_Angeles,"45.94813, -122.93373"
97136,Rockaway Beach,OR,Oregon,True,,1590.0,30.1,41057,Tillamook,"{""41057"": ""100""}",Tillamook,41057,False,False,America/Los_Angeles,"45.62439, -123.91609"
97205,Portland,OR,Oregon,True,,7462.0,2951.3,41051,Multnomah,"{""41051"": ""100""}",Multnomah,41051,False,False,America/Los_Angeles,"45.519, -122.70202"
97230,Portland,OR,Oregon,True,,39776.0,1106.8,41051,Multnomah,"{""41051"": ""100""}",Multnomah,41051,False,False,America/Los_Angeles,"45.55813, -122.50746"
97343,Eddyville,OR,Oregon,True,,222.0,0.6,41041,Lincoln,"{""41041"": ""100""}",Lincoln,41041,False,False,America/Los_Angeles,"44.55856, -123.7434"
97351,Independence,OR,Oregon,True,,11150.0,82.2,41053,Polk,"{""41053"": ""100""}",Polk,41053,False,False,America/Los_Angeles,"44.83831, -123.17489"
97364,Neotsu,OR,Oregon,True,,464.0,577.2,41041,Lincoln,"{""41041"": ""100""}",Lincoln,41041,False,False,America/Los_Angeles,"44.99901, -123.9868"
97365,Newport,OR,Oregon,True,,11348.0,102.3,41041,Lincoln,"{""41041"": ""100""}",Lincoln,41041,False,False,America/Los_Angeles,"44.66872, -124.01448"
97538,Selma,OR,Oregon,True,,1463.0,4.0,41033,Josephine,"{""41033"": ""100""}",Josephine,41033,False,False,America/Los_Angeles,"42.2737, -123.58169"
97730,Camp Sherman,OR,Oregon,True,,222.0,6.5,41031,Jefferson,"{""41031"": ""100""}",Jefferson,41031,False,False,America/Los_Angeles,"44.50237, -121.64715"
97732,Crane,OR,Oregon,True,,123.0,0.6,41025,Harney,"{""41025"": ""100""}",Harney,41025,False,False,America/Los_Angeles,"43.39673, -118.45323"
97042,Mulino,OR,Oregon,True,,2964.0,51.0,41005,Clackamas,"{""41005"": ""100""}",Clackamas,41005,False,False,America/Los_Angeles,"45.20577, -122.53452"
97128,Mcminnville,OR,Oregon,True,,37993.0,137.3,41071,Yamhill,"{""41071"": ""100""}",Yamhill,41071,False,False,America/Los_Angeles,"45.19704, -123.25457"
97204,Portland,OR,Oregon,True,,1036.0,1609.8,41051,Multnomah,"{""41051"": ""100""}",Multnomah,41051,False,False,America/Los_Angeles,"45.51832, -122.6738"
97333,Corvallis,OR,Oregon,True,,23302.0,77.4,41003,Benton,"{""41003"": ""94.03"", ""41043"": ""5.97""}","Benton,Linn","41003,41043",False,False,America/Los_Angeles,"44.47368, -123.30732"
97366,South Beach,OR,Oregon,True,,1772.0,65.1,41041,Lincoln,"{""41041"": ""100""}",Lincoln,41041,False,False,America/Los_Angeles,"44.57712, -124.05101"
97437,Elmira,OR,Oregon,True,,2939.0,51.2,41039,Lane,"{""41039"": ""100""}",Lane,41039,False,False,America/Los_Angeles,"44.09688, -123.38908"
97443,Glide,OR,Oregon,True,,2135.0,10.9,41019,Douglas,"{""41019"": ""100""}",Douglas,41019,False,False,America/Los_Angeles,"43.24704, -123.01073"
97722,Diamond,OR,Oregon,True,,65.0,0.1,41025,Harney,"{""41025"": ""100""}",Harney,41025,False,False,America/Los_Angeles,"42.95081, -118.69496"
97733,Crescent,OR,Oregon,True,,391.0,0.4,41035,Klamath,"{""41035"": ""100""}",Klamath,41035,False,False,America/Los_Angeles,"43.37924, -121.95668"
97735,Fort Rock,OR,Oregon,True,,97.0,0.1,41037,Lake,"{""41037"": ""100""}",Lake,41037,False,False,America/Los_Angeles,"43.41066, -120.92595"
97741,Madras,OR,Oregon,True,,12608.0,13.9,41031,Jefferson,"{""41031"": ""100""}",Jefferson,41031,False,False,America/Los_Angeles,"44.6518, -121.05269"
97869,Prairie City,OR,Oregon,True,,930.0,1.0,41023,Grant,"{""41023"": ""100"", ""41001"": ""0""}","Grant,Baker","41023,41001",False,False,America/Los_Angeles,"44.40198, -118.62051"
97883,Union,OR,Oregon,True,,2526.0,3.6,41061,Union,"{""41061"": ""100""}",Union,41061,False,False,America/Los_Angeles,"45.15518, -117.61966"
97909,Jamieson,OR,Oregon,True,,97.0,0.8,41045,Malheur,"{""41045"": ""100""}",Malheur,41045,False,False,America/Boise,"44.24647, -117.41897"
97022,Eagle Creek,OR,Oregon,True,,3386.0,53.0,41005,Clackamas,"{""41005"": ""100""}",Clackamas,41005,False,False,America/Los_Angeles,"45.34598, -122.33038"
97055,Sandy,OR,Oregon,True,,18923.0,62.0,41005,Clackamas,"{""41005"": ""100""}",Clackamas,41005,False,False,America/Los_Angeles,"45.38866, -122.15507"
97070,Wilsonville,OR,Oregon,True,,25101.0,507.9,41005,Clackamas,"{""41005"": ""89.09"", ""41067"": ""10.91""}","Clackamas,Washington","41005,41067",False,False,America/Los_Angeles,"45.30759, -122.77154"
97147,Wheeler,OR,Oregon,True,,349.0,192.5,41057,Tillamook,"{""41057"": ""100""}",Tillamook,41057,False,False,America/Los_Angeles,"45.68879, -123.88215"
97209,Portland,OR,Oregon,True,,18982.0,7008.4,41051,Multnomah,"{""41051"": ""100""}",Multnomah,41051,False,False,America/Los_Angeles,"45.53095, -122.68439"
97322,Albany,OR,Oregon,True,,36826.0,228.1,41043,Linn,"{""41043"": ""100""}",Linn,41043,False,False,America/Los_Angeles,"44.62606, -123.01891"
97392,Turner,OR,Oregon,True,,7011.0,63.2,41047,Marion,"{""41047"": ""100""}",Marion,41047,False,False,America/Los_Angeles,"44.78939, -122.94136"
97406,Agness,OR,Oregon,True,,48.0,0.2,41015,Curry,"{""41015"": ""100""}",Curry,41015,False,False,America/Los_Angeles,"42.62136, -124.014"
97416,Camas Valley,OR,Oregon,True,,1349.0,9.7,41019,Douglas,"{""41019"": ""100""}",Douglas,41019,False,False,America/Los_Angeles,"43.03589, -123.6854"
97454,Marcola,OR,Oregon,True,,1471.0,10.1,41039,Lane,"{""41039"": ""100""}",Lane,41039,False,False,America/Los_Angeles,"44.22157, -122.82168"
97819,Bridgeport,OR,Oregon,True,,17.0,0.1,41001,Baker,"{""41001"": ""100""}",Baker,41001,False,False,America/Los_Angeles,"44.48542, -117.76037"
97875,Stanfield,OR,Oregon,True,,3126.0,19.3,41059,Umatilla,"{""41059"": ""100""}",Umatilla,41059,False,False,America/Los_Angeles,"45.81938, -119.13834"
97006,Beaverton,OR,Oregon,True,,74070.0,2431.7,41067,Washington,"{""41067"": ""100""}",Washington,41067,False,False,America/Los_Angeles,"45.51704, -122.85988"
97103,Astoria,OR,Oregon,True,,17677.0,45.9,41007,Clatsop,"{""41007"": ""100""}",Clatsop,41007,False,False,America/Los_Angeles,"46.13219, -123.70323"
97303,Salem,OR,Oregon,True,,41173.0,637.5,41047,Marion,"{""41047"": ""100""}",Marion,41047,False,False,America/Los_Angeles,"45.03045, -123.02438"
97329,Cascadia,OR,Oregon,True,,146.0,1.6,41043,Linn,"{""41043"": ""100""}",Linn,41043,False,False,America/Los_Angeles,"44.41125, -122.38453"
97346,Gates,OR,Oregon,True,,988.0,12.4,41047,Marion,"{""41047"": ""62.17"", ""41043"": ""37.83""}","Marion,Linn","41047,41043",False,False,America/Los_Angeles,"44.76901, -122.35788"
97470,Roseburg,OR,Oregon,True,,19785.0,44.2,41019,Douglas,"{""41019"": ""100""}",Douglas,41019,False,False,America/Los_Angeles,"43.22975, -123.23434"
97626,Fort Klamath,OR,Oregon,True,,45.0,0.3,41035,Klamath,"{""41035"": ""100""}",Klamath,41035,False,False,America/Los_Angeles,"42.66858, -122.02784"
97634,Midland,OR,Oregon,True,,242.0,162.4,41035,Klamath,"{""41035"": ""100""}",Klamath,41035,False,False,America/Los_Angeles,"42.12827, -121.81491"
97836,Heppner,OR,Oregon,True,,1941.0,0.8,41049,Morrow,"{""41049"": ""100""}",Morrow,41049,False,False,America/Los_Angeles,"45.2939, -119.50152"
97904,Drewsey,OR,Oregon,True,,253.0,0.2,41025,Harney,"{""41025"": ""100""}",Harney,41025,False,False,America/Los_Angeles,"43.88224, -118.51065"
97002,Aurora,OR,Oregon,True,,6657.0,60.1,41047,Marion,"{""41047"": ""76.28"", ""41005"": ""23.72""}","Marion,Clackamas","41047,41005",False,False,America/Los_Angeles,"45.23708, -122.79898"
97016,Clatskanie,OR,Oregon,True,,6224.0,10.4,41009,Columbia,"{""41009"": ""85.48"", ""41007"": ""14.52""}","Columbia,Clatsop","41009,41007",False,False,America/Los_Angeles,"46.05878, -123.2688"
97028,Government Camp,OR,Oregon,True,,192.0,1.9,41005,Clackamas,"{""41005"": ""100""}",Clackamas,41005,False,False,America/Los_Angeles,"45.28232, -121.75272"
97051,Saint Helens,OR,Oregon,True,,16977.0,135.8,41009,Columbia,"{""41009"": ""100""}",Columbia,41009,False,False,America/Los_Angeles,"45.8847, -122.91213"
97132,Newberg,OR,Oregon,True,,29732.0,183.9,41071,Yamhill,"{""41071"": ""98.62"", ""41067"": ""1.08"", ""41005"": ""0.3""}","Yamhill,Washington,Clackamas","41071,41067,41005",False,False,America/Los_Angeles,"45.32229, -122.9871"
97201,Portland,OR,Oregon,True,,17993.0,3420.5,41051,Multnomah,"{""41051"": ""100""}",Multnomah,41051,False,False,America/Los_Angeles,"45.50777, -122.68975"
97215,Portland,OR,Oregon,True,,18934.0,3217.7,41051,Multnomah,"{""41051"": ""100""}",Multnomah,41051,False,False,America/Los_Angeles,"45.51468, -122.59959"
97330,Corvallis,OR,Oregon,True,,42956.0,215.1,41003,Benton,"{""41003"": ""100""}",Benton,41003,False,False,America/Los_Angeles,"44.63646, -123.27657"
97345,Foster,OR,Oregon,True,,731.0,7.4,41043,Linn,"{""41043"": ""100""}",Linn,41043,False,False,America/Los_Angeles,"44.41464, -122.57084"
97532,Merlin,OR,Oregon,True,,2562.0,16.6,41033,Josephine,"{""41033"": ""100""}",Josephine,41033,False,False,America/Los_Angeles,"42.57181, -123.52213"
97633,Merrill,OR,Oregon,True,,1263.0,16.4,41035,Klamath,"{""41035"": ""100""}",Klamath,41035,False,False,America/Los_Angeles,"42.03085, -121.56334"
