zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
15020,Bunola,PA,Pennsylvania,True,,165.0,48.3,42003,Allegheny,"{""42003"": ""100""}",Allegheny,42003,False,False,America/New_York,"40.23094, -79.94552"
15024,Cheswick,PA,Pennsylvania,True,,8624.0,199.0,42003,Allegheny,"{""42003"": ""100""}",Allegheny,42003,False,False,America/New_York,"40.57854, -79.84369"
15083,Sutersville,PA,Pennsylvania,True,,692.0,72.9,42129,Westmoreland,"{""42129"": ""100""}",Westmoreland,42129,False,False,America/New_York,"40.25428, -79.78741"
15331,Ellsworth,PA,Pennsylvania,True,,808.0,409.7,42125,Washington,"{""42125"": ""100""}",Washington,42125,False,False,America/New_York,"40.1074, -80.0216"
15442,Grindstone,PA,Pennsylvania,True,,1978.0,50.9,42051,Fayette,"{""42051"": ""100""}",Fayette,42051,False,False,America/New_York,"40.01734, -79.84075"
15451,Lake Lynn,PA,Pennsylvania,True,,1095.0,41.6,42051,Fayette,"{""42051"": ""100""}",Fayette,42051,False,False,America/New_York,"39.73866, -79.83804"
15477,Roscoe,PA,Pennsylvania,True,,779.0,1612.1,42125,Washington,"{""42125"": ""100""}",Washington,42125,False,False,America/New_York,"40.07819, -79.86373"
15546,Jenners,PA,Pennsylvania,True,,411.0,205.7,42111,Somerset,"{""42111"": ""100""}",Somerset,42111,False,False,America/New_York,"40.13667, -79.04803"
15622,Champion,PA,Pennsylvania,True,,1379.0,16.5,42051,Fayette,"{""42051"": ""67.77"", ""42129"": ""22.64"", ""42111"": ""9.59""}","Fayette,Westmoreland,Somerset","42051,42129,42111",False,False,America/New_York,"40.04173, -79.32285"
15661,Loyalhanna,PA,Pennsylvania,True,,646.0,673.8,42129,Westmoreland,"{""42129"": ""100""}",Westmoreland,42129,False,False,America/New_York,"40.32215, -79.36"
15662,Luxor,PA,Pennsylvania,True,,235.0,553.0,42129,Westmoreland,"{""42129"": ""100""}",Westmoreland,42129,False,False,America/New_York,"40.33438, -79.47848"
