zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
659,Hatillo,PR,Puerto Rico,True,,39950.0,369.2,72065,Hatillo,"{""72065"": ""100""}",Hatillo,72065,False,False,America/Puerto_Rico,"18.41069, -66.79648"
680,Mayaguez,PR,Puerto Rico,True,,45190.0,271.7,72097,Mayagüez,"{""72097"": ""97.01"", ""72125"": ""2.53"", ""72011"": ""0.46""}","Mayagüez,San Germán,Añasco","72097,72125,72011",False,False,America/Puerto_Rico,"18.16328, -67.36192"
736,Cayey,PR,Puerto Rico,True,,46085.0,322.9,72035,Cayey,"{""72035"": ""92.62"", ""72041"": ""7.38""}","Cayey,Cidra","72035,72041",False,False,America/Puerto_Rico,"18.10652, -66.15258"
664,Jayuya,PR,Puerto Rico,True,,14693.0,124.6,72073,Jayuya,"{""72073"": ""99.15"", ""72141"": ""0.85""}","Jayuya,Utuado","72073,72141",False,False,America/Puerto_Rico,"18.21151, -66.5889"
717,Ponce,PR,Puerto Rico,True,,16086.0,2955.1,72113,Ponce,"{""72113"": ""100""}",Ponce,72113,False,False,America/Puerto_Rico,"18.00342, -66.61325"
979,Carolina,PR,Puerto Rico,True,,16130.0,3985.5,72031,Carolina,"{""72031"": ""100""}",Carolina,72031,False,False,America/Puerto_Rico,"18.43651, -66.017"
637,Sabana Grande,PR,Puerto Rico,True,,22383.0,250.9,72121,Sabana Grande,"{""72121"": ""99.56"", ""72153"": ""0.44""}","Sabana Grande,Yauco","72121,72153",False,False,America/Puerto_Rico,"18.0798, -66.94274"
662,Isabela,PR,Puerto Rico,True,,39700.0,345.4,72071,Isabela,"{""72071"": ""100""}",Isabela,72071,False,False,America/Puerto_Rico,"18.46208, -67.01444"
692,Vega Alta,PR,Puerto Rico,True,,35135.0,506.9,72143,Vega Alta,"{""72143"": ""100""}",Vega Alta,72143,False,False,America/Puerto_Rico,"18.40845, -66.33691"
725,Caguas,PR,Puerto Rico,True,,80537.0,736.5,72025,Caguas,"{""72025"": ""94.56"", ""72061"": ""2.76"", ""72007"": ""1.51"", ""72127"": ""0.6"", ""72035"": ""0.43"", ""72129"": ""0.14""}","Caguas,Guaynabo,Aguas Buenas,San Juan,Cayey,San Lorenzo","72025,72061,72007,72127,72035,72129",False,False,America/Puerto_Rico,"18.21857, -66.04275"
784,Guayama,PR,Puerto Rico,True,,39823.0,276.8,72057,Guayama,"{""72057"": ""100""}",Guayama,72057,False,False,America/Puerto_Rico,"18.00544, -66.13392"
795,Juana Diaz,PR,Puerto Rico,True,,43873.0,366.2,72075,Juana Díaz,"{""72075"": ""100""}",Juana Díaz,72075,False,False,America/Puerto_Rico,"18.05932, -66.50178"
951,Toa Baja,PR,Puerto Rico,True,,0.0,0.0,72137,Toa Baja,"{""72137"": ""100""}",Toa Baja,72137,False,False,America/Puerto_Rico,"18.42839, -66.25661"
961,Bayamon,PR,Puerto Rico,True,,29743.0,2218.9,72021,Bayamón,"{""72021"": ""98.88"", ""72033"": ""1.12""}","Bayamón,Cataño","72021,72033",False,False,America/Puerto_Rico,"18.41011, -66.16537"
987,Carolina,PR,Puerto Rico,True,,54241.0,843.0,72031,Carolina,"{""72031"": ""99.42"", ""72139"": ""0.58""}","Carolina,Trujillo Alto","72031,72139",False,False,America/Puerto_Rico,"18.33934, -65.94312"
646,Dorado,PR,Puerto Rico,True,,37095.0,691.0,72051,Dorado,"{""72051"": ""99.89"", ""72143"": ""0.11""}","Dorado,Vega Alta","72051,72143",False,False,America/Puerto_Rico,"18.43401, -66.2833"
650,Florida,PR,Puerto Rico,True,,14534.0,183.9,72054,Florida,"{""72054"": ""83.61"", ""72141"": ""11.84"", ""72017"": ""1.91"", ""72013"": ""1.51"", ""72039"": ""1.13""}","Florida,Utuado,Barceloneta,Arecibo,Ciales","72054,72141,72017,72013,72039",False,False,America/Puerto_Rico,"18.34321, -66.58601"
705,Aibonito,PR,Puerto Rico,True,,22662.0,273.9,72009,Aibonito,"{""72009"": ""99.79"", ""72043"": ""0.21""}","Aibonito,Coamo","72009,72043",False,False,America/Puerto_Rico,"18.12946, -66.26477"
610,Anasco,PR,Puerto Rico,True,,26686.0,286.9,72011,Añasco,"{""72011"": ""99.45"", ""72003"": ""0.55""}","Añasco,Aguada","72011,72003",False,False,America/Puerto_Rico,"18.29032, -67.12244"
674,Manati,PR,Puerto Rico,True,,38971.0,334.7,72091,Manatí,"{""72091"": ""98.49"", ""72145"": ""1.51""}","Manatí,Vega Baja","72091,72145",False,False,America/Puerto_Rico,"18.42123, -66.49003"
912,San Juan,PR,Puerto Rico,True,,5660.0,6558.7,72127,San Juan,"{""72127"": ""100""}",San Juan,72127,False,False,America/Puerto_Rico,"18.44534, -66.06018"
925,San Juan,PR,Puerto Rico,True,,6640.0,5733.6,72127,San Juan,"{""72127"": ""100""}",San Juan,72127,False,False,America/Puerto_Rico,"18.40033, -66.05053"
934,Fort Buchanan,PR,Puerto Rico,True,,109.0,56.2,72061,Guaynabo,"{""72061"": ""57.99"", ""72021"": ""42.01""}","Guaynabo,Bayamón","72061,72021",False,False,America/Puerto_Rico,"18.41138, -66.124"
602,Aguada,PR,Puerto Rico,True,,37751.0,476.0,72003,Aguada,"{""72003"": ""100""}",Aguada,72003,False,False,America/Puerto_Rico,"18.36074, -67.17519"
698,Yauco,PR,Puerto Rico,True,,35317.0,195.9,72153,Yauco,"{""72153"": ""99.76"", ""72059"": ""0.24""}","Yauco,Guayanilla","72153,72059",False,False,America/Puerto_Rico,"18.06727, -66.85273"
707,Maunabo,PR,Puerto Rico,True,,10721.0,196.5,72095,Maunabo,"{""72095"": ""100""}",Maunabo,72095,False,False,America/Puerto_Rico,"18.01813, -65.922"
714,Arroyo,PR,Puerto Rico,True,,17739.0,468.5,72015,Arroyo,"{""72015"": ""100""}",Arroyo,72015,False,False,America/Puerto_Rico,"17.99854, -66.05606"
715,Mercedita,PR,Puerto Rico,True,,2818.0,138.3,72113,Ponce,"{""72113"": ""74.26"", ""72075"": ""25.74""}","Ponce,Juana Díaz","72113,72075",False,False,America/Puerto_Rico,"18.01174, -66.55987"
719,Naranjito,PR,Puerto Rico,True,,28556.0,393.7,72105,Naranjito,"{""72105"": ""98.1"", ""72047"": ""1.42"", ""72135"": ""0.48""}","Naranjito,Corozal,Toa Alta","72105,72047,72135",False,False,America/Puerto_Rico,"18.2888, -66.25336"
927,San Juan,PR,Puerto Rico,True,,13626.0,2002.1,72127,San Juan,"{""72127"": ""100""}",San Juan,72127,False,False,America/Puerto_Rico,"18.38874, -66.07191"
982,Carolina,PR,Puerto Rico,True,,14346.0,3906.5,72031,Carolina,"{""72031"": ""100""}",Carolina,72031,False,False,America/Puerto_Rico,"18.40992, -65.9917"
690,San Antonio,PR,Puerto Rico,True,,5722.0,784.6,72005,Aguadilla,"{""72005"": ""100""}",Aguadilla,72005,False,False,America/Puerto_Rico,"18.49563, -67.09822"
694,Vega Baja,PR,Puerto Rico,True,,64.0,30.9,72145,Vega Baja,"{""72145"": ""100""}",Vega Baja,72145,False,False,America/Puerto_Rico,"18.48329, -66.39261"
906,San Juan,PR,Puerto Rico,True,,191.0,23159.9,72127,San Juan,"{""72127"": ""100""}",San Juan,72127,False,False,America/Puerto_Rico,"18.46446, -66.09499"
971,Guaynabo,PR,Puerto Rico,True,,25925.0,627.0,72061,Guaynabo,"{""72061"": ""99.51"", ""72021"": ""0.33"", ""72127"": ""0.16""}","Guaynabo,Bayamón,San Juan","72061,72021,72127",False,False,America/Puerto_Rico,"18.32131, -66.11811"
985,Carolina,PR,Puerto Rico,True,,31682.0,1503.7,72031,Carolina,"{""72031"": ""100""}",Carolina,72031,False,False,America/Puerto_Rico,"18.40825, -65.94842"
676,Moca,PR,Puerto Rico,True,,36299.0,277.9,72099,Moca,"{""72099"": ""99.49"", ""72003"": ""0.51""}","Moca,Aguada","72099,72003",False,False,America/Puerto_Rico,"18.37789, -67.08084"
685,San Sebastian,PR,Puerto Rico,True,,37058.0,184.5,72131,San Sebastián,"{""72131"": ""98"", ""72071"": ""2""}","San Sebastián,Isabela","72131,72071",False,False,America/Puerto_Rico,"18.33625, -66.97225"
959,Bayamon,PR,Puerto Rico,True,,46441.0,2794.6,72021,Bayamón,"{""72021"": ""97.64"", ""72061"": ""1.88"", ""72135"": ""0.36"", ""72137"": ""0.12""}","Bayamón,Guaynabo,Toa Alta,Toa Baja","72021,72061,72135,72137",False,False,America/Puerto_Rico,"18.38482, -66.15585"
962,Catano,PR,Puerto Rico,True,,19082.0,1929.7,72033,Cataño,"{""72033"": ""100""}",Cataño,72033,False,False,America/Puerto_Rico,"18.43903, -66.13928"
751,Salinas,PR,Puerto Rico,True,,20677.0,169.9,72123,Salinas,"{""72123"": ""100""}",Salinas,72123,False,False,America/Puerto_Rico,"18.01021, -66.24751"
786,La Plata,PR,Puerto Rico,True,,360.0,540.3,72009,Aibonito,"{""72009"": ""100""}",Aibonito,72009,False,False,America/Puerto_Rico,"18.15536, -66.22992"
624,Penuelas,PR,Puerto Rico,True,,21936.0,196.2,72111,Peñuelas,"{""72111"": ""92.53"", ""72113"": ""7.47""}","Peñuelas,Ponce","72111,72113",False,False,America/Puerto_Rico,"18.06465, -66.71823"
667,Lajas,PR,Puerto Rico,True,,23186.0,148.4,72079,Lajas,"{""72079"": ""98.91"", ""72125"": ""1.09""}","Lajas,San Germán","72079,72125",False,False,America/Puerto_Rico,"18.01227, -67.0409"
718,Naguabo,PR,Puerto Rico,True,,25430.0,217.0,72103,Naguabo,"{""72103"": ""100""}",Naguabo,72103,False,False,America/Puerto_Rico,"18.2333, -65.7611"
727,Caguas,PR,Puerto Rico,True,,52743.0,947.3,72025,Caguas,"{""72025"": ""100""}",Caguas,72025,False,False,America/Puerto_Rico,"18.21496, -66.07356"
766,Villalba,PR,Puerto Rico,True,,22687.0,218.8,72149,Villalba,"{""72149"": ""98.43"", ""72107"": ""1.57""}","Villalba,Orocovis","72149,72107",False,False,America/Puerto_Rico,"18.13299, -66.47703"
794,Barranquitas,PR,Puerto Rico,True,,28434.0,311.0,72019,Barranquitas,"{""72019"": ""99.13"", ""72045"": ""0.59"", ""72043"": ""0.29""}","Barranquitas,Comerío,Coamo","72019,72045,72043",False,False,America/Puerto_Rico,"18.20154, -66.30873"
915,San Juan,PR,Puerto Rico,True,,24888.0,6880.9,72127,San Juan,"{""72127"": ""100""}",San Juan,72127,False,False,America/Puerto_Rico,"18.43691, -66.04562"
918,San Juan,PR,Puerto Rico,True,,15759.0,2856.5,72127,San Juan,"{""72127"": ""100""}",San Juan,72127,False,False,America/Puerto_Rico,"18.42138, -66.06589"
969,Guaynabo,PR,Puerto Rico,True,,41941.0,3316.4,72061,Guaynabo,"{""72061"": ""84.94"", ""72127"": ""13.45"", ""72021"": ""1.6""}","Guaynabo,San Juan,Bayamón","72061,72127,72021",False,False,America/Puerto_Rico,"18.36751, -66.10852"
