zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
2802,Albion,RI,Rhode Island,True,,723.0,1427.7,44007,Providence,"{""44007"": ""100""}",Providence,44007,False,False,America/New_York,"41.95195, -71.45534"
2808,Bradford,RI,Rhode Island,True,,2312.0,112.1,44009,Washington,"{""44009"": ""100""}",Washington,44009,False,False,America/New_York,"41.40855, -71.74867"
2812,Carolina,RI,Rhode Island,True,,1207.0,70.2,44009,Washington,"{""44009"": ""100""}",Washington,44009,False,False,America/New_York,"41.47768, -71.65437"
2826,Glendale,RI,Rhode Island,True,,418.0,64.6,44007,Providence,"{""44007"": ""100""}",Providence,44007,False,False,America/New_York,"41.97399, -71.63706"
2828,Greenville,RI,Rhode Island,True,,7592.0,614.3,44007,Providence,"{""44007"": ""100""}",Providence,44007,False,False,America/New_York,"41.87799, -71.55938"
2830,Harrisville,RI,Rhode Island,True,,6255.0,125.1,44007,Providence,"{""44007"": ""100""}",Providence,44007,False,False,America/New_York,"41.98212, -71.64988"
2837,Little Compton,RI,Rhode Island,True,,3489.0,65.6,44005,Newport,"{""44005"": ""100""}",Newport,44005,False,False,America/New_York,"41.51523, -71.16455"
2831,Hope,RI,Rhode Island,True,,3277.0,131.4,44007,Providence,"{""44007"": ""96.13"", ""44003"": ""3.87""}","Providence,Kent","44007,44003",False,False,America/New_York,"41.75264, -71.58911"
2806,Barrington,RI,Rhode Island,True,,16153.0,759.3,44001,Bristol,"{""44001"": ""100""}",Bristol,44001,False,False,America/New_York,"41.74438, -71.31461"
2818,East Greenwich,RI,Rhode Island,True,,18292.0,323.3,44003,Kent,"{""44003"": ""100""}",Kent,44003,False,False,America/New_York,"41.64311, -71.49293"
2822,Exeter,RI,Rhode Island,True,,6304.0,43.6,44009,Washington,"{""44009"": ""100""}",Washington,44009,False,False,America/New_York,"41.56724, -71.63243"
2863,Central Falls,RI,Rhode Island,True,,19411.0,6244.2,44007,Providence,"{""44007"": ""100""}",Providence,44007,False,False,America/New_York,"41.89005, -71.39344"
2875,Shannock,RI,Rhode Island,True,,466.0,155.9,44009,Washington,"{""44009"": ""100""}",Washington,44009,False,False,America/New_York,"41.45557, -71.63813"
2815,Clayville,RI,Rhode Island,True,,367.0,34.0,44007,Providence,"{""44007"": ""100""}",Providence,44007,False,False,America/New_York,"41.77305, -71.65833"
2904,Providence,RI,Rhode Island,True,,30613.0,2264.2,44007,Providence,"{""44007"": ""100""}",Providence,44007,False,False,America/New_York,"41.8604, -71.43538"
2920,Cranston,RI,Rhode Island,True,,37165.0,1560.4,44007,Providence,"{""44007"": ""100""}",Providence,44007,False,False,America/New_York,"41.76743, -71.46599"
2809,Bristol,RI,Rhode Island,True,,22172.0,872.2,44001,Bristol,"{""44001"": ""100""}",Bristol,44001,False,False,America/New_York,"41.68271, -71.2694"
2860,Pawtucket,RI,Rhode Island,True,,46363.0,3312.5,44007,Providence,"{""44007"": ""100""}",Providence,44007,False,False,America/New_York,"41.87002, -71.3883"
2816,Coventry,RI,Rhode Island,True,,32738.0,333.5,44003,Kent,"{""44003"": ""99.98"", ""44007"": ""0.02""}","Kent,Providence","44003,44007",False,False,America/New_York,"41.69086, -71.61977"
2908,Providence,RI,Rhode Island,True,,36314.0,4436.6,44007,Providence,"{""44007"": ""100""}",Providence,44007,False,False,America/New_York,"41.83912, -71.43687"
2861,Pawtucket,RI,Rhode Island,True,,25622.0,2775.4,44007,Providence,"{""44007"": ""99.95"", ""25005"": ""0.05""}","Providence,Bristol","44007,25005",False,False,America/New_York,"41.87853, -71.35227"
2874,Saunderstown,RI,Rhode Island,True,,6045.0,153.9,44009,Washington,"{""44009"": ""100""}",Washington,44009,False,False,America/New_York,"41.51543, -71.46878"
2882,Narragansett,RI,Rhode Island,True,,14029.0,423.3,44009,Washington,"{""44009"": ""100""}",Washington,44009,False,False,America/New_York,"41.42484, -71.46856"
2888,Warwick,RI,Rhode Island,True,,18687.0,1216.6,44003,Kent,"{""44003"": ""100""}",Kent,44003,False,False,America/New_York,"41.74861, -71.41036"
2895,Woonsocket,RI,Rhode Island,True,,41603.0,2072.3,44007,Providence,"{""44007"": ""100""}",Providence,44007,False,False,America/New_York,"42.00101, -71.49934"
2857,North Scituate,RI,Rhode Island,True,,8206.0,75.9,44007,Providence,"{""44007"": ""100""}",Providence,44007,False,False,America/New_York,"41.82934, -71.63203"
2871,Portsmouth,RI,Rhode Island,True,,17119.0,387.9,44005,Newport,"{""44005"": ""100""}",Newport,44005,False,False,America/New_York,"41.58391, -71.25635"
