zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
29036,Chapin,SC,South Carolina,True,,23011.0,164.4,45063,Lexington,"{""45063"": ""72.4"", ""45079"": ""25.76"", ""45071"": ""1.83""}","Lexington,Richland,Newberry","45063,45079,45071",False,False,America/New_York,"34.1329, -81.33686"
29037,Chappells,SC,South Carolina,True,,950.0,5.5,45071,Newberry,"{""45071"": ""58.01"", ""45081"": ""41.99""}","Newberry,Saluda","45071,45081",False,False,America/New_York,"34.18558, -81.86437"
29069,Lamar,SC,South Carolina,True,,4532.0,22.9,45031,Darlington,"{""45031"": ""93.33"", ""45061"": ""6.67""}","Darlington,Lee","45031,45061",False,False,America/New_York,"34.1862, -80.09627"
29208,Columbia,SC,South Carolina,True,,756.0,4406.5,45079,Richland,"{""45079"": ""100""}",Richland,45079,False,False,America/New_York,"33.99824, -81.02793"
29324,Clifton,SC,South Carolina,True,,324.0,570.6,45083,Spartanburg,"{""45083"": ""100""}",Spartanburg,45083,False,False,America/New_York,"34.9838, -81.82664"
29464,Mount Pleasant,SC,South Carolina,True,,50886.0,659.9,45019,Charleston,"{""45019"": ""100""}",Charleston,45019,False,False,America/New_York,"32.82038, -79.85636"
29466,Mount Pleasant,SC,South Carolina,True,,39949.0,525.3,45019,Charleston,"{""45019"": ""100""}",Charleston,45019,False,False,America/New_York,"32.87848, -79.78989"
29488,Walterboro,SC,South Carolina,True,,21326.0,35.8,45029,Colleton,"{""45029"": ""100""}",Colleton,45029,False,False,America/New_York,"32.90658, -80.67209"
29543,Fork,SC,South Carolina,True,,663.0,13.9,45033,Dillon,"{""45033"": ""100""}",Dillon,45033,False,False,America/New_York,"34.28761, -79.26593"
29546,Gresham,SC,South Carolina,True,,2832.0,7.5,45067,Marion,"{""45067"": ""100""}",Marion,45067,False,False,America/New_York,"33.89264, -79.35226"
29555,Johnsonville,SC,South Carolina,True,,5760.0,24.2,45041,Florence,"{""45041"": ""98.52"", ""45089"": ""1.48""}","Florence,Williamsburg","45041,45089",False,False,America/New_York,"33.84036, -79.46572"
29592,Sellers,SC,South Carolina,True,,739.0,6.8,45033,Dillon,"{""45033"": ""66"", ""45067"": ""34""}","Dillon,Marion","45033,45067",False,False,America/New_York,"34.2636, -79.47877"
29605,Greenville,SC,South Carolina,True,,37168.0,561.0,45045,Greenville,"{""45045"": ""100""}",Greenville,45045,False,False,America/New_York,"34.77531, -82.38015"
29661,Marietta,SC,South Carolina,True,,5707.0,32.0,45045,Greenville,"{""45045"": ""81.43"", ""45077"": ""18.57""}","Greenville,Pickens","45045,45077",False,False,America/New_York,"35.06213, -82.53509"
29915,Daufuskie Island,SC,South Carolina,True,,444.0,15.9,45013,Beaufort,"{""45013"": ""100""}",Beaufort,45013,False,False,America/New_York,"32.11465, -80.86898"
29932,Luray,SC,South Carolina,True,,144.0,0.8,45049,Hampton,"{""45049"": ""68.03"", ""45005"": ""31.97""}","Hampton,Allendale","45049,45005",False,False,America/New_York,"32.81839, -81.34757"
29058,Heath Springs,SC,South Carolina,True,,4666.0,12.7,45057,Lancaster,"{""45057"": ""98.48"", ""45055"": ""1.52""}","Lancaster,Kershaw","45057,45055",False,False,America/New_York,"34.56391, -80.73586"
29563,Lake View,SC,South Carolina,True,,2074.0,21.1,45033,Dillon,"{""45033"": ""100""}",Dillon,45033,False,False,America/New_York,"34.35346, -79.20429"
29626,Anderson,SC,South Carolina,True,,12651.0,94.5,45007,Anderson,"{""45007"": ""100""}",Anderson,45007,False,False,America/New_York,"34.45956, -82.76133"
29651,Greer,SC,South Carolina,True,,47994.0,204.2,45045,Greenville,"{""45045"": ""62.53"", ""45083"": ""37.47""}","Greenville,Spartanburg","45045,45083",False,False,America/New_York,"34.94719, -82.22596"
29851,Warrenville,SC,South Carolina,True,,7504.0,139.6,45003,Aiken,"{""45003"": ""100""}",Aiken,45003,False,False,America/New_York,"33.51185, -81.81159"
29014,Blackstock,SC,South Carolina,True,,1756.0,4.1,45023,Chester,"{""45023"": ""67"", ""45039"": ""33""}","Chester,Fairfield","45023,45039",False,False,America/New_York,"34.54461, -81.13436"
