zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
57043,Marion,SD,South Dakota,True,,1377.0,4.9,46125,Turner,"{""46125"": ""96.01"", ""46087"": ""3.12"", ""46067"": ""0.87""}","Turner,McCook,Hutchinson","46125,46087,46067",False,False,America/Chicago,"43.41623, -97.31155"
57068,Valley Springs,SD,South Dakota,True,,1397.0,12.0,46099,Minnehaha,"{""46099"": ""97.29"", ""27133"": ""2.71""}","Minnehaha,Rock","46099,27133",False,False,America/Chicago,"43.57541, -96.49221"
57072,Volin,SD,South Dakota,True,,695.0,3.1,46135,Yankton,"{""46135"": ""76.37"", ""46027"": ""23.63""}","Yankton,Clay","46135,46027",False,False,America/Chicago,"42.98223, -97.19354"
57325,Chamberlain,SD,South Dakota,True,,3147.0,5.6,46015,Brule,"{""46015"": ""98.43"", ""46017"": ""1.57""}","Brule,Buffalo","46015,46017",False,False,America/Chicago,"43.7561, -99.29633"
57342,Geddes,SD,South Dakota,True,,577.0,1.4,46023,Charles Mix,"{""46023"": ""100""}",Charles Mix,46023,False,False,America/Chicago,"43.2466, -98.70177"
57362,Miller,SD,South Dakota,True,,2076.0,1.6,46059,Hand,"{""46059"": ""100""}",Hand,46059,False,False,America/Chicago,"44.4916, -99.07088"
57401,Aberdeen,SD,South Dakota,True,,32831.0,43.6,46013,Brown,"{""46013"": ""100""}",Brown,46013,False,False,America/Chicago,"45.47648, -98.52753"
57552,Midland,SD,South Dakota,True,,554.0,0.2,46055,Haakon,"{""46055"": ""79.96"", ""46117"": ""11.37"", ""46075"": ""6.14"", ""46071"": ""2.53""}","Haakon,Stanley,Jones,Jackson","46055,46117,46075,46071",False,False,America/Denver,"44.27155, -101.19563"
57633,Isabel,SD,South Dakota,True,,400.0,0.2,46041,Dewey,"{""46041"": ""57"", ""46031"": ""30.92"", ""46137"": ""12.08""}","Dewey,Corson,Ziebach","46041,46031,46137",False,False,America/Denver,"45.46016, -101.45463"
57636,Lantry,SD,South Dakota,True,,195.0,3.7,46041,Dewey,"{""46041"": ""100""}",Dewey,46041,False,False,America/Denver,"45.03497, -101.46131"
57658,Wakpala,SD,South Dakota,True,,400.0,1.1,46031,Corson,"{""46031"": ""100""}",Corson,46031,False,False,America/Denver,"45.67891, -100.49452"
57725,Caputa,SD,South Dakota,True,,296.0,1.0,46103,Pennington,"{""46103"": ""100""}",Pennington,46103,False,False,America/Denver,"43.94008, -102.80947"
57432,Claremont,SD,South Dakota,True,,367.0,1.4,46013,Brown,"{""46013"": ""62.8"", ""46091"": ""37.2""}","Brown,Marshall","46013,46091",False,False,America/Chicago,"45.68238, -98.03365"
57021,Davis,SD,South Dakota,True,,253.0,3.1,46125,Turner,"{""46125"": ""100""}",Turner,46125,False,False,America/Chicago,"43.27028, -96.97796"
57035,Humboldt,SD,South Dakota,True,,1061.0,4.8,46099,Minnehaha,"{""46099"": ""97.5"", ""46087"": ""2.5""}","Minnehaha,McCook","46099,46087",False,False,America/Chicago,"43.63214, -97.07453"
57266,Summit,SD,South Dakota,True,,634.0,1.8,46109,Roberts,"{""46109"": ""64.74"", ""46051"": ""35.26""}","Roberts,Grant","46109,46051",False,False,America/Chicago,"45.27903, -97.09701"
57376,Tripp,SD,South Dakota,True,,928.0,2.3,46067,Hutchinson,"{""46067"": ""92.28"", ""46009"": ""7.72""}","Hutchinson,Bon Homme","46067,46009",False,False,America/Chicago,"43.21571, -97.94065"
57540,Holabird,SD,South Dakota,True,,114.0,0.3,46069,Hyde,"{""46069"": ""100""}",Hyde,46069,False,False,America/Chicago,"44.51898, -99.6073"
57555,Mission,SD,South Dakota,True,,4292.0,4.0,46121,Todd,"{""46121"": ""100""}",Todd,46121,False,False,America/Chicago,"43.24342, -100.6321"
57571,Saint Charles,SD,South Dakota,True,,8.0,7.9,46053,Gregory,"{""46053"": ""100""}",Gregory,46053,False,False,America/Chicago,"43.08528, -99.09257"
