zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
37037,Christiana,TN,Tennessee,True,,8768.0,45.7,47149,Rutherford,"{""47149"": ""100""}",Rutherford,47149,False,False,America/Chicago,"35.70277, -86.3515"
37076,Hermitage,TN,Tennessee,True,,40161.0,568.0,47037,Davidson,"{""47037"": ""97.88"", ""47189"": ""2.12""}","Davidson,Wilson","47037,47189",False,False,America/Chicago,"36.14947, -86.58188"
37326,Ducktown,TN,Tennessee,True,,462.0,91.3,47139,Polk,"{""47139"": ""100""}",Polk,47139,False,False,America/New_York,"35.04003, -84.38463"
37339,Gruetli Laager,TN,Tennessee,True,,2565.0,28.2,47061,Grundy,"{""47061"": ""100""}",Grundy,47061,False,False,America/Chicago,"35.37992, -85.63424"
37406,Chattanooga,TN,Tennessee,True,,14058.0,442.8,47065,Hamilton,"{""47065"": ""100""}",Hamilton,47065,False,False,America/New_York,"35.07224, -85.24555"
37722,Cosby,TN,Tennessee,True,,5911.0,24.9,47029,Cocke,"{""47029"": ""81.55"", ""47155"": ""18.45""}","Cocke,Sevier","47029,47155",False,False,America/New_York,"35.80702, -83.23447"
37748,Harriman,TN,Tennessee,True,,16576.0,62.6,47145,Roane,"{""47145"": ""89.3"", ""47129"": ""10.7""}","Roane,Morgan","47145,47129",False,False,America/New_York,"35.94879, -84.5134"
37777,Louisville,TN,Tennessee,True,,12122.0,141.7,47009,Blount,"{""47009"": ""100""}",Blount,47009,False,False,America/New_York,"35.82711, -84.05208"
38050,Maury City,TN,Tennessee,True,,595.0,116.4,47033,Crockett,"{""47033"": ""100""}",Crockett,47033,False,False,America/Chicago,"35.82956, -89.23304"
38079,Tiptonville,TN,Tennessee,True,,5229.0,19.1,47095,Lake,"{""47095"": ""99.68"", ""21075"": ""0.32""}","Lake,Fulton","47095,21075",False,False,America/Chicago,"36.4302, -89.46291"
38117,Memphis,TN,Tennessee,True,,26296.0,1086.4,47157,Shelby,"{""47157"": ""100""}",Shelby,47157,False,False,America/Chicago,"35.11524, -89.90529"
38224,Cottage Grove,TN,Tennessee,True,,858.0,5.9,47079,Henry,"{""47079"": ""94.56"", ""47183"": ""5.44""}","Henry,Weakley","47079,47183",False,False,America/Chicago,"36.39138, -88.48608"
38225,Dresden,TN,Tennessee,True,,5606.0,19.6,47183,Weakley,"{""47183"": ""100""}",Weakley,47183,False,False,America/Chicago,"36.32087, -88.67904"
38321,Cedar Grove,TN,Tennessee,True,,2300.0,9.3,47017,Carroll,"{""47017"": ""63.31"", ""47077"": ""36.69""}","Carroll,Henderson","47017,47077",False,False,America/Chicago,"35.83715, -88.52987"
38343,Humboldt,TN,Tennessee,True,,15413.0,43.0,47053,Gibson,"{""47053"": ""78.35"", ""47113"": ""15.39"", ""47033"": ""6.27""}","Gibson,Madison,Crockett","47053,47113,47033",False,False,America/Chicago,"35.82686, -88.92626"
38552,Chestnut Mound,TN,Tennessee,True,,157.0,9.6,47159,Smith,"{""47159"": ""100""}",Smith,47159,False,False,America/Chicago,"36.22039, -85.81002"
37059,Dowelltown,TN,Tennessee,True,,1090.0,16.1,47041,DeKalb,"{""47041"": ""100""}",DeKalb,47041,False,False,America/Chicago,"35.98748, -85.90928"
37072,Goodlettsville,TN,Tennessee,True,,31492.0,156.1,47037,Davidson,"{""47037"": ""51.24"", ""47165"": ""38.3"", ""47147"": ""10.46""}","Davidson,Sumner,Robertson","47037,47165,47147",False,False,America/Chicago,"36.35751, -86.74424"
37130,Murfreesboro,TN,Tennessee,True,,57002.0,420.4,47149,Rutherford,"{""47149"": ""100""}",Rutherford,47149,False,False,America/Chicago,"35.87897, -86.32911"
37150,Red Boiling Springs,TN,Tennessee,True,,4897.0,17.7,47111,Macon,"{""47111"": ""69.96"", ""47027"": ""30.04""}","Macon,Clay","47111,47027",False,False,America/Chicago,"36.54102, -85.8135"
37215,Nashville,TN,Tennessee,True,,22379.0,553.3,47037,Davidson,"{""47037"": ""99.71"", ""47187"": ""0.29""}","Davidson,Williamson","47037,47187",False,False,America/Chicago,"36.08192, -86.83469"
37331,Etowah,TN,Tennessee,True,,7261.0,67.4,47107,McMinn,"{""47107"": ""100""}",McMinn,47107,False,False,America/New_York,"35.31936, -84.53023"
37340,Guild,TN,Tennessee,True,,655.0,20.4,47115,Marion,"{""47115"": ""100""}",Marion,47115,False,False,America/Chicago,"35.0317, -85.52315"
37381,Spring City,TN,Tennessee,True,,9478.0,26.3,47143,Rhea,"{""47143"": ""89.66"", ""47007"": ""10.34""}","Rhea,Bledsoe","47143,47007",False,False,America/New_York,"35.68138, -84.87675"
37616,Afton,TN,Tennessee,True,,4284.0,36.9,47059,Greene,"{""47059"": ""100""}",Greene,47059,False,False,America/New_York,"36.22652, -82.74757"
37721,Corryton,TN,Tennessee,True,,13426.0,105.2,47093,Knox,"{""47093"": ""85.68"", ""47173"": ""14.32""}","Knox,Union","47093,47173",False,False,America/New_York,"36.13176, -83.80706"
37870,Speedwell,TN,Tennessee,True,,4454.0,20.6,47025,Claiborne,"{""47025"": ""78.54"", ""47013"": ""15.72"", ""47173"": ""5.74""}","Claiborne,Campbell,Union","47025,47013,47173",False,False,America/New_York,"36.46339, -83.83521"
37874,Sweetwater,TN,Tennessee,True,,14881.0,56.5,47123,Monroe,"{""47123"": ""82.59"", ""47107"": ""13.67"", ""47105"": ""3.75""}","Monroe,McMinn,Loudon","47123,47107,47105",False,False,America/New_York,"35.5981, -84.45768"
37918,Knoxville,TN,Tennessee,True,,45268.0,498.7,47093,Knox,"{""47093"": ""100""}",Knox,47093,False,False,America/New_York,"36.06085, -83.90938"
37919,Knoxville,TN,Tennessee,True,,29108.0,589.4,47093,Knox,"{""47093"": ""100""}",Knox,47093,False,False,America/New_York,"35.9143, -84.0011"
38063,Ripley,TN,Tennessee,True,,16277.0,20.6,47097,Lauderdale,"{""47097"": ""98.35"", ""47075"": ""1.65""}","Lauderdale,Haywood","47097,47075",False,False,America/Chicago,"35.75577, -89.63995"
38126,Memphis,TN,Tennessee,True,,6329.0,1345.0,47157,Shelby,"{""47157"": ""100""}",Shelby,47157,False,False,America/Chicago,"35.12695, -90.04363"
