zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
75019,Coppell,TX,Texas,True,,42888.0,1004.9,48113,Dallas,"{""48113"": ""98.05"", ""48121"": ""1.95""}","Dallas,Denton","48113,48121",False,False,America/Chicago,"32.96329, -96.98553"
75024,Plano,TX,Texas,True,,43551.0,1326.6,48085,Collin,"{""48085"": ""94.2"", ""48121"": ""5.8""}","Collin,Denton","48085,48121",False,False,America/Chicago,"33.07735, -96.80704"
75035,Frisco,TX,Texas,True,,75485.0,1234.1,48085,Collin,"{""48085"": ""100""}",Collin,48085,False,False,America/Chicago,"33.15534, -96.77271"
75164,Josephine,TX,Texas,True,,633.0,107.2,48085,Collin,"{""48085"": ""100""}",Collin,48085,False,False,America/Chicago,"33.06593, -96.30793"
75218,Dallas,TX,Texas,True,,22529.0,1244.8,48113,Dallas,"{""48113"": ""100""}",Dallas,48113,False,False,America/Chicago,"32.84154, -96.70237"
75452,Leonard,TX,Texas,True,,4650.0,23.6,48147,Fannin,"{""48147"": ""93.79"", ""48231"": ""4.23"", ""48085"": ""1.98""}","Fannin,Hunt,Collin","48147,48231,48085",False,False,America/Chicago,"33.39324, -96.24331"
75476,Ravenna,TX,Texas,True,,1056.0,7.9,48147,Fannin,"{""48147"": ""100""}",Fannin,48147,False,False,America/Chicago,"33.70586, -96.24354"
75481,Sulphur Bluff,TX,Texas,True,,314.0,1.7,48223,Hopkins,"{""48223"": ""80.76"", ""48159"": ""19.24""}","Hopkins,Franklin","48223,48159",False,False,America/Chicago,"33.31522, -95.37374"
75482,Sulphur Springs,TX,Texas,True,,24984.0,30.9,48223,Hopkins,"{""48223"": ""100""}",Hopkins,48223,False,False,America/Chicago,"33.16816, -95.60681"
75556,Bloomburg,TX,Texas,True,,1214.0,19.5,48067,Cass,"{""48067"": ""97.71"", ""05091"": ""2.29""}","Cass,Miller","48067,05091",False,False,America/Chicago,"33.16112, -94.06127"
75603,Longview,TX,Texas,True,,6100.0,50.9,48183,Gregg,"{""48183"": ""74.69"", ""48401"": ""25.31""}","Gregg,Rusk","48183,48401",False,False,America/Chicago,"32.39854, -94.70911"
75681,Mount Enterprise,TX,Texas,True,,2128.0,6.4,48401,Rusk,"{""48401"": ""100""}",Rusk,48401,False,False,America/Chicago,"31.92844, -94.69197"
75780,New Summerfield,TX,Texas,True,,216.0,66.4,48073,Cherokee,"{""48073"": ""100""}",Cherokee,48073,False,False,America/Chicago,"31.99099, -95.09183"
75790,Van,TX,Texas,True,,3864.0,40.6,48467,Van Zandt,"{""48467"": ""98.24"", ""48423"": ""1.76""}","Van Zandt,Smith","48467,48423",False,False,America/Chicago,"32.53231, -95.6426"
75792,Winona,TX,Texas,True,,3002.0,12.3,48423,Smith,"{""48423"": ""100""}",Smith,48423,False,False,America/Chicago,"32.47668, -95.10197"
75862,Trinity,TX,Texas,True,,10176.0,15.9,48455,Trinity,"{""48455"": ""95.92"", ""48471"": ""4.08""}","Trinity,Walker","48455,48471",False,False,America/Chicago,"30.95984, -95.32384"
76248,Keller,TX,Texas,True,,39665.0,1060.7,48439,Tarrant,"{""48439"": ""100""}",Tarrant,48439,False,False,America/Chicago,"32.92575, -97.22899"
