zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
84023,Dutch John,UT,Utah,True,,215.0,0.5,49009,Daggett,"{""49009"": ""100""}",Daggett,49009,False,False,America/Denver,"40.845, -109.20404"
84037,Kaysville,UT,Utah,True,,38823.0,802.7,49011,Davis,"{""49011"": ""100""}",Davis,49011,False,False,America/Denver,"41.02504, -111.95054"
84050,Morgan,UT,Utah,True,,11420.0,11.7,49029,Morgan,"{""49029"": ""100""}",Morgan,49029,False,False,America/Denver,"41.01959, -111.67577"
84115,Salt Lake City,UT,Utah,True,,27224.0,1707.1,49035,Salt Lake,"{""49035"": ""100""}",Salt Lake,49035,False,False,America/Denver,"40.71451, -111.89271"
84318,Hyde Park,UT,Utah,True,,4745.0,402.8,49005,Cache,"{""49005"": ""100""}",Cache,49005,False,False,America/Denver,"41.80258, -111.81368"
84642,Manti,UT,Utah,True,,3735.0,28.8,49039,Sanpete,"{""49039"": ""100""}",Sanpete,49039,False,False,America/Denver,"39.28853, -111.61537"
84750,Marysvale,UT,Utah,True,,708.0,2.2,49031,Piute,"{""49031"": ""100""}",Piute,49031,False,False,America/Denver,"38.44529, -112.19569"
84758,Orderville,UT,Utah,True,,685.0,3.4,49025,Kane,"{""49025"": ""100""}",Kane,49025,False,False,America/Denver,"37.30207, -112.76235"
84790,Saint George,UT,Utah,True,,45709.0,394.4,49053,Washington,"{""49053"": ""100""}",Washington,49053,False,False,America/Denver,"37.04637, -113.55812"
84060,Park City,UT,Utah,True,,8516.0,117.2,49043,Summit,"{""49043"": ""99.8"", ""49051"": ""0.2""}","Summit,Wasatch","49043,49051",False,False,America/Denver,"40.65236, -111.50183"
84067,Roy,UT,Utah,True,,39314.0,1856.3,49057,Weber,"{""49057"": ""100""}",Weber,49057,False,False,America/Denver,"41.17183, -112.04814"
84069,Rush Valley,UT,Utah,True,,537.0,3.2,49045,Tooele,"{""49045"": ""100""}",Tooele,49045,False,False,America/Denver,"40.3814, -112.49747"
84098,Park City,UT,Utah,True,,19396.0,91.2,49043,Summit,"{""49043"": ""100""}",Summit,49043,False,False,America/Denver,"40.73472, -111.53432"
84121,Salt Lake City,UT,Utah,True,,40857.0,245.1,49035,Salt Lake,"{""49035"": ""100""}",Salt Lake,49035,False,False,America/Denver,"40.62561, -111.69818"
