zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
20119,Catlett,VA,Virginia,True,,3850.0,23.2,51061,Fauquier,"{""51061"": ""100""}",Fauquier,51061,False,False,America/New_York,"38.61839, -77.62492"
22443,Colonial Beach,VA,Virginia,True,,8872.0,56.2,51193,Westmoreland,"{""51193"": ""100""}",Westmoreland,51193,False,False,America/New_York,"38.17862, -76.9962"
22530,Ophelia,VA,Virginia,True,,168.0,43.1,51133,Northumberland,"{""51133"": ""100""}",Northumberland,51133,False,False,America/New_York,"37.90103, -76.28057"
22548,Sharps,VA,Virginia,True,,511.0,198.5,51159,Richmond,"{""51159"": ""100""}",Richmond,51159,False,False,America/New_York,"37.8293, -76.69244"
22713,Boston,VA,Virginia,True,,1721.0,24.9,51047,Culpeper,"{""51047"": ""78.24"", ""51157"": ""21.76""}","Culpeper,Rappahannock","51047,51157",False,False,America/New_York,"38.54958, -78.13123"
22737,Rixeyville,VA,Virginia,True,,3348.0,32.1,51047,Culpeper,"{""51047"": ""100""}",Culpeper,51047,False,False,America/New_York,"38.59064, -78.00326"
22841,Mount Crawford,VA,Virginia,True,,2747.0,33.9,51165,Rockingham,"{""51165"": ""96.27"", ""51015"": ""3.73""}","Rockingham,Augusta","51165,51015",False,False,America/New_York,"38.3392, -78.89684"
22842,Mount Jackson,VA,Virginia,True,,5374.0,28.6,51171,Shenandoah,"{""51171"": ""100""}",Shenandoah,51171,False,False,America/New_York,"38.77578, -78.70521"
23056,Foster,VA,Virginia,True,,428.0,27.7,51115,Mathews,"{""51115"": ""100""}",Mathews,51115,False,False,America/New_York,"37.4261, -76.37424"
23064,Grimstead,VA,Virginia,True,,253.0,284.0,51115,Mathews,"{""51115"": ""100""}",Mathews,51115,False,False,America/New_York,"37.49674, -76.29979"
23089,Lanexa,VA,Virginia,True,,5695.0,36.3,51127,New Kent,"{""51127"": ""65.08"", ""51095"": ""34.92""}","New Kent,James City","51127,51095",False,False,America/New_York,"37.46306, -76.90375"
23092,Locust Hill,VA,Virginia,True,,568.0,44.7,51119,Middlesex,"{""51119"": ""100""}",Middlesex,51119,False,False,America/New_York,"37.59392, -76.50956"
23102,Maidens,VA,Virginia,True,,3312.0,43.1,51075,Goochland,"{""51075"": ""86.72"", ""51109"": ""9.18"", ""51085"": ""4.1""}","Goochland,Louisa,Hanover","51075,51109,51085",False,False,America/New_York,"37.71259, -77.83149"
23235,Richmond,VA,Virginia,True,,32627.0,721.9,51041,Chesterfield,"{""51041"": ""80.29"", ""51760"": ""19.71""}","Chesterfield,Richmond","51041,51760",False,False,America/New_York,"37.51332, -77.56451"
23830,Carson,VA,Virginia,True,,1565.0,13.0,51149,Prince George,"{""51149"": ""44"", ""51053"": ""40.24"", ""51183"": ""15.76""}","Prince George,Dinwiddie,Sussex","51149,51053,51183",False,False,America/New_York,"37.02013, -77.39588"
23937,Drakes Branch,VA,Virginia,True,,1794.0,9.5,51037,Charlotte,"{""51037"": ""89.04"", ""51111"": ""10.96""}","Charlotte,Lunenburg","51037,51111",False,False,America/New_York,"36.94483, -78.52616"
24015,Roanoke,VA,Virginia,True,,14677.0,1257.6,51770,Roanoke,"{""51770"": ""98.37"", ""51161"": ""1.63""}","Roanoke,Roanoke","51770,51161",False,False,America/New_York,"37.25644, -79.97971"
24179,Vinton,VA,Virginia,True,,18258.0,149.1,51161,Roanoke,"{""51161"": ""70.18"", ""51019"": ""29.82""}","Roanoke,Bedford","51161,51019",False,False,America/New_York,"37.28726, -79.80117"
24219,Big Stone Gap,VA,Virginia,True,,11393.0,60.4,51195,Wise,"{""51195"": ""88.22"", ""51105"": ""11.78""}","Wise,Lee","51195,51105",False,False,America/New_York,"36.84878, -82.75814"
24220,Birchleaf,VA,Virginia,True,,1049.0,16.3,51051,Dickenson,"{""51051"": ""100""}",Dickenson,51051,False,False,America/New_York,"37.13948, -82.24335"
24312,Austinville,VA,Virginia,True,,1678.0,17.4,51035,Carroll,"{""51035"": ""56.85"", ""51197"": ""43.15""}","Carroll,Wythe","51035,51197",False,False,America/New_York,"36.8371, -80.87483"
24381,Woodlawn,VA,Virginia,True,,3826.0,28.6,51035,Carroll,"{""51035"": ""100""}",Carroll,51035,False,False,America/New_York,"36.72755, -80.84298"
24445,Hot Springs,VA,Virginia,True,,2798.0,10.2,51017,Bath,"{""51017"": ""78.11"", ""51005"": ""21.89""}","Bath,Alleghany","51017,51005",False,False,America/New_York,"37.95507, -79.88501"
24501,Lynchburg,VA,Virginia,True,,28036.0,280.8,51680,Lynchburg,"{""51680"": ""82.46"", ""51031"": ""17.54""}","Lynchburg,Campbell","51680,51031",False,False,America/New_York,"37.353, -79.15576"
24531,Chatham,VA,Virginia,True,,8818.0,17.2,51143,Pittsylvania,"{""51143"": ""100""}",Pittsylvania,51143,False,False,America/New_York,"36.84029, -79.44817"
24553,Gladstone,VA,Virginia,True,,1489.0,4.5,51125,Nelson,"{""51125"": ""27.29"", ""51011"": ""26.13"", ""51009"": ""25.76"", ""51029"": ""20.82""}","Nelson,Appomattox,Amherst,Buckingham","51125,51011,51009,51029",False,False,America/New_York,"37.54759, -78.81782"
24614,Grundy,VA,Virginia,True,,7198.0,21.7,51027,Buchanan,"{""51027"": ""100""}",Buchanan,51027,False,False,America/New_York,"37.31062, -82.06499"
24631,Oakwood,VA,Virginia,True,,2334.0,17.8,51027,Buchanan,"{""51027"": ""100""}",Buchanan,51027,False,False,America/New_York,"37.21374, -81.99169"
