zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
98154,Seattle,WA,Washington,True,,0.0,0.0,53033,King,"{""53033"": ""0""}",King,53033,False,False,America/Los_Angeles,"47.60641, -122.33372"
98208,Everett,WA,Washington,True,,58162.0,1388.7,53061,Snohomish,"{""53061"": ""100""}",Snohomish,53061,False,False,America/Los_Angeles,"47.90187, -122.1865"
98220,Acme,WA,Washington,True,,779.0,14.7,53073,Whatcom,"{""53073"": ""100""}",Whatcom,53073,False,False,America/Los_Angeles,"48.68497, -122.19692"
98244,Deming,WA,Washington,True,,2725.0,2.2,53073,Whatcom,"{""53073"": ""100""}",Whatcom,53073,False,False,America/Los_Angeles,"48.80005, -121.9544"
98362,Port Angeles,WA,Washington,True,,24027.0,42.4,53009,Clallam,"{""53009"": ""100""}",Clallam,53009,False,False,America/Los_Angeles,"47.98419, -123.3616"
98387,Spanaway,WA,Washington,True,,49386.0,672.5,53053,Pierce,"{""53053"": ""100""}",Pierce,53053,False,False,America/Los_Angeles,"47.05699, -122.39543"
98499,Lakewood,WA,Washington,True,,31522.0,1317.6,53053,Pierce,"{""53053"": ""100""}",Pierce,53053,False,False,America/Los_Angeles,"47.16671, -122.507"
98532,Chehalis,WA,Washington,True,,24084.0,28.8,53041,Lewis,"{""53041"": ""100""}",Lewis,53041,False,False,America/Los_Angeles,"46.63122, -123.04085"
98536,Copalis Crossing,WA,Washington,True,,76.0,0.5,53027,Grays Harbor,"{""53027"": ""100""}",Grays Harbor,53027,False,False,America/Los_Angeles,"47.20063, -124.09948"
98570,Onalaska,WA,Washington,True,,4175.0,13.6,53041,Lewis,"{""53041"": ""100""}",Lewis,53041,False,False,America/Los_Angeles,"46.63827, -122.63651"
98590,Tokeland,WA,Washington,True,,305.0,38.1,53049,Pacific,"{""53049"": ""100""}",Pacific,53049,False,False,America/Los_Angeles,"46.71866, -124.00252"
98611,Castle Rock,WA,Washington,True,,9421.0,29.1,53015,Cowlitz,"{""53015"": ""100""}",Cowlitz,53015,False,False,America/Los_Angeles,"46.30812, -122.89524"
98619,Glenwood,WA,Washington,True,,539.0,1.4,53039,Klickitat,"{""53039"": ""100""}",Klickitat,53039,False,False,America/Los_Angeles,"45.97502, -121.27212"
98620,Goldendale,WA,Washington,True,,7669.0,6.1,53039,Klickitat,"{""53039"": ""100""}",Klickitat,53039,False,False,America/Los_Angeles,"45.87202, -120.77468"
98629,La Center,WA,Washington,True,,9154.0,91.4,53011,Clark,"{""53011"": ""100""}",Clark,53011,False,False,America/Los_Angeles,"45.88169, -122.61413"
98663,Vancouver,WA,Washington,True,,14430.0,1294.6,53011,Clark,"{""53011"": ""100""}",Clark,53011,False,False,America/Los_Angeles,"45.65399, -122.66253"
98851,Soap Lake,WA,Washington,True,,4874.0,11.8,53025,Grant,"{""53025"": ""100""}",Grant,53025,False,False,America/Los_Angeles,"47.42069, -119.42514"
98932,Granger,WA,Washington,True,,5442.0,62.3,53077,Yakima,"{""53077"": ""100""}",Yakima,53077,False,False,America/Los_Angeles,"46.33242, -120.16117"
98937,Naches,WA,Washington,True,,4031.0,2.0,53077,Yakima,"{""53077"": ""100"", ""53037"": ""0""}","Yakima,Kittitas","53077,53037",False,False,America/Los_Angeles,"46.808, -121.16104"
98947,Tieton,WA,Washington,True,,3672.0,34.4,53077,Yakima,"{""53077"": ""100""}",Yakima,53077,False,False,America/Los_Angeles,"46.68755, -120.80146"
99323,Burbank,WA,Washington,True,,3904.0,12.0,53071,Walla Walla,"{""53071"": ""100""}",Walla Walla,53071,False,False,America/Los_Angeles,"46.19237, -118.84285"
99337,Kennewick,WA,Washington,True,,32411.0,79.6,53005,Benton,"{""53005"": ""100""}",Benton,53005,False,False,America/Los_Angeles,"46.07461, -119.08614"
98029,Issaquah,WA,Washington,True,,29250.0,1261.5,53033,King,"{""53033"": ""100""}",King,53033,False,False,America/Los_Angeles,"47.55847, -122.00546"
98070,Vashon,WA,Washington,True,,10291.0,107.6,53033,King,"{""53033"": ""100""}",King,53033,False,False,America/Los_Angeles,"47.41219, -122.4726"
98074,Sammamish,WA,Washington,True,,28775.0,1041.4,53033,King,"{""53033"": ""100""}",King,53033,False,False,America/Los_Angeles,"47.62263, -122.04314"
98103,Seattle,WA,Washington,True,,53163.0,4416.9,53033,King,"{""53033"": ""100""}",King,53033,False,False,America/Los_Angeles,"47.67332, -122.34254"
98257,La Conner,WA,Washington,True,,4207.0,88.5,53057,Skagit,"{""53057"": ""100""}",Skagit,53057,False,False,America/Los_Angeles,"48.41605, -122.5095"
98336,Glenoma,WA,Washington,True,,727.0,4.1,53041,Lewis,"{""53041"": ""100""}",Lewis,53041,False,False,America/Los_Angeles,"46.56449, -122.11248"
