zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
53047,Lebanon,WI,Wisconsin,True,,127.0,300.5,55027,Dodge,"{""55027"": ""100""}",Dodge,55027,False,False,America/Chicago,"43.25715, -88.63018"
53080,Saukville,WI,Wisconsin,True,,5718.0,76.9,55089,Ozaukee,"{""55089"": ""100""}",Ozaukee,55089,False,False,America/Chicago,"43.40951, -87.98748"
53125,Fontana,WI,Wisconsin,True,,1741.0,123.1,55127,Walworth,"{""55127"": ""100""}",Walworth,55127,False,False,America/Chicago,"42.54793, -88.56179"
53172,South Milwaukee,WI,Wisconsin,True,,20957.0,1675.8,55079,Milwaukee,"{""55079"": ""100""}",Milwaukee,55079,False,False,America/Chicago,"42.91197, -87.86266"
53505,Avalon,WI,Wisconsin,True,,357.0,7.5,55105,Rock,"{""55105"": ""100""}",Rock,55105,False,False,America/Chicago,"42.65691, -88.81901"
53523,Cambridge,WI,Wisconsin,True,,5182.0,41.3,55025,Dane,"{""55025"": ""51.22"", ""55055"": ""48.78""}","Dane,Jefferson","55025,55055",False,False,America/Chicago,"42.98402, -89.03208"
53594,Waterloo,WI,Wisconsin,True,,5098.0,27.8,55055,Jefferson,"{""55055"": ""82.97"", ""55027"": ""13.36"", ""55025"": ""3.67""}","Jefferson,Dodge,Dane","55055,55027,55025",False,False,America/Chicago,"43.187, -88.97222"
53597,Waunakee,WI,Wisconsin,True,,19445.0,144.9,55025,Dane,"{""55025"": ""100""}",Dane,55025,False,False,America/Chicago,"43.18256, -89.45691"
53714,Madison,WI,Wisconsin,True,,16147.0,1349.5,55025,Dane,"{""55025"": ""100""}",Dane,55025,False,False,America/Chicago,"43.09867, -89.31218"
53939,Kingston,WI,Wisconsin,True,,256.0,189.7,55047,Green Lake,"{""55047"": ""100""}",Green Lake,55047,False,False,America/Chicago,"43.69169, -89.13067"
53944,Lyndon Station,WI,Wisconsin,True,,2097.0,10.4,55057,Juneau,"{""55057"": ""92.09"", ""55111"": ""7.91""}","Juneau,Sauk","55057,55111",False,False,America/Chicago,"43.68666, -89.92579"
54020,Osceola,WI,Wisconsin,True,,7002.0,35.6,55095,Polk,"{""55095"": ""98.69"", ""55109"": ""1.31""}","Polk,St. Croix","55095,55109",False,False,America/Chicago,"45.2789, -92.65071"
54169,Sherwood,WI,Wisconsin,True,,2776.0,313.8,55015,Calumet,"{""55015"": ""100""}",Calumet,55015,False,False,America/Chicago,"44.17644, -88.27799"
54440,Hatley,WI,Wisconsin,True,,2962.0,13.5,55073,Marathon,"{""55073"": ""100""}",Marathon,55073,False,False,America/Chicago,"44.80885, -89.38629"
54465,Pickerel,WI,Wisconsin,True,,495.0,6.8,55067,Langlade,"{""55067"": ""54.85"", ""55041"": ""45.15""}","Langlade,Forest","55067,55041",False,False,America/Chicago,"45.38306, -88.8912"
54527,Glidden,WI,Wisconsin,True,,857.0,1.4,55003,Ashland,"{""55003"": ""100""}",Ashland,55003,False,False,America/Chicago,"46.12333, -90.66421"
54536,Iron Belt,WI,Wisconsin,True,,169.0,1.3,55051,Iron,"{""55051"": ""100""}",Iron,55051,False,False,America/Chicago,"46.3286, -90.35431"
54642,Melrose,WI,Wisconsin,True,,2148.0,8.8,55053,Jackson,"{""55053"": ""88.42"", ""55063"": ""7.48"", ""55121"": ""4.09""}","Jackson,La Crosse,Trempealeau","55053,55063,55121",False,False,America/Chicago,"44.15146, -91.05324"
54821,Cable,WI,Wisconsin,True,,1178.0,2.5,55007,Bayfield,"{""55007"": ""97.65"", ""55113"": ""2.35""}","Bayfield,Sawyer","55007,55113",False,False,America/Chicago,"46.22159, -91.16299"
54836,Foxboro,WI,Wisconsin,True,,1060.0,3.1,55031,Douglas,"{""55031"": ""100""}",Douglas,55031,False,False,America/Chicago,"46.43044, -92.1946"
54862,Ojibwa,WI,Wisconsin,True,,219.0,1.9,55113,Sawyer,"{""55113"": ""100""}",Sawyer,55113,False,False,America/Chicago,"45.77725, -91.11838"
54864,Poplar,WI,Wisconsin,True,,1249.0,9.5,55031,Douglas,"{""55031"": ""100""}",Douglas,55031,False,False,America/Chicago,"46.60494, -91.79234"
54923,Berlin,WI,Wisconsin,True,,8968.0,25.6,55047,Green Lake,"{""55047"": ""78.69"", ""55137"": ""18.7"", ""55139"": ""2.61""}","Green Lake,Waushara,Winnebago","55047,55137,55139",False,False,America/Chicago,"43.9978, -88.96727"
54943,Hancock,WI,Wisconsin,True,,1992.0,6.3,55137,Waushara,"{""55137"": ""72.85"", ""55001"": ""27.15""}","Waushara,Adams","55137,55001",False,False,America/Chicago,"44.12528, -89.5836"
54964,Pickett,WI,Wisconsin,True,,973.0,10.5,55139,Winnebago,"{""55139"": ""78.38"", ""55039"": ""21.62""}","Winnebago,Fond du Lac","55139,55039",False,False,America/Chicago,"43.92077, -88.71955"
54986,Winneconne,WI,Wisconsin,True,,5284.0,71.7,55139,Winnebago,"{""55139"": ""99.31"", ""55137"": ""0.69""}","Winnebago,Waushara","55139,55137",False,False,America/Chicago,"44.12078, -88.7475"
53014,Chilton,WI,Wisconsin,True,,7745.0,23.4,55015,Calumet,"{""55015"": ""96.83"", ""55071"": ""3"", ""55039"": ""0.16""}","Calumet,Manitowoc,Fond du Lac","55015,55071,55039",False,False,America/Chicago,"44.02436, -88.175"
53031,Hingham,WI,Wisconsin,True,,0.0,0.0,55117,Sheboygan,"{""55117"": ""100""}",Sheboygan,55117,False,False,America/Chicago,"43.63914, -87.91563"
53038,Johnson Creek,WI,Wisconsin,True,,4280.0,54.7,55055,Jefferson,"{""55055"": ""100""}",Jefferson,55055,False,False,America/Chicago,"43.08335, -88.78702"
53058,Nashotah,WI,Wisconsin,True,,3313.0,221.2,55133,Waukesha,"{""55133"": ""100""}",Waukesha,55133,False,False,America/Chicago,"43.10999, -88.4035"
53076,Richfield,WI,Wisconsin,True,,4441.0,77.3,55131,Washington,"{""55131"": ""100""}",Washington,55131,False,False,America/Chicago,"43.2684, -88.20707"
53137,Helenville,WI,Wisconsin,True,,1690.0,20.2,55055,Jefferson,"{""55055"": ""100""}",Jefferson,55055,False,False,America/Chicago,"43.00563, -88.6687"
53139,Kansasville,WI,Wisconsin,True,,2324.0,30.0,55101,Racine,"{""55101"": ""83.69"", ""55059"": ""16.31""}","Racine,Kenosha","55101,55059",False,False,America/Chicago,"42.68594, -88.11952"
53404,Racine,WI,Wisconsin,True,,14996.0,1299.6,55101,Racine,"{""55101"": ""100""}",Racine,55101,False,False,America/Chicago,"42.75379, -87.81121"
53563,Milton,WI,Wisconsin,True,,11349.0,67.8,55105,Rock,"{""55105"": ""99.07"", ""55055"": ""0.93""}","Rock,Jefferson","55105,55055",False,False,America/Chicago,"42.7917, -88.93357"
53572,Mount Horeb,WI,Wisconsin,True,,10659.0,39.5,55025,Dane,"{""55025"": ""99.84"", ""55045"": ""0.16""}","Dane,Green","55025,55045",False,False,America/Chicago,"42.96143, -89.73562"
53586,Shullsburg,WI,Wisconsin,True,,2281.0,8.8,55065,Lafayette,"{""55065"": ""100""}",Lafayette,55065,False,False,America/Chicago,"42.57309, -90.22662"
53817,Patch Grove,WI,Wisconsin,True,,166.0,41.2,55043,Grant,"{""55043"": ""100""}",Grant,55043,False,False,America/Chicago,"42.94508, -90.96765"
53827,Woodman,WI,Wisconsin,True,,261.0,3.0,55043,Grant,"{""55043"": ""100""}",Grant,55043,False,False,America/Chicago,"43.05207, -90.83367"
53924,Cazenovia,WI,Wisconsin,True,,1437.0,7.9,55103,Richland,"{""55103"": ""97.06"", ""55111"": ""2.94""}","Richland,Sauk","55103,55111",False,False,America/Chicago,"43.48544, -90.25622"
53947,Marquette,WI,Wisconsin,True,,177.0,267.5,55047,Green Lake,"{""55047"": ""100""}",Green Lake,55047,False,False,America/Chicago,"43.74678, -89.14009"
54001,Amery,WI,Wisconsin,True,,7928.0,26.4,55095,Polk,"{""55095"": ""100""}",Polk,55095,False,False,America/Chicago,"45.33476, -92.38718"
54009,Dresser,WI,Wisconsin,True,,2615.0,31.3,55095,Polk,"{""55095"": ""100""}",Polk,55095,False,False,America/Chicago,"45.3528, -92.57797"
54014,Hager City,WI,Wisconsin,True,,2134.0,19.0,55093,Pierce,"{""55093"": ""100""}",Pierce,55093,False,False,America/Chicago,"44.64671, -92.56764"
54130,Kaukauna,WI,Wisconsin,True,,25837.0,125.1,55087,Outagamie,"{""55087"": ""94.64"", ""55009"": ""3.58"", ""55015"": ""1.79""}","Outagamie,Brown,Calumet","55087,55009,55015",False,False,America/Chicago,"44.31239, -88.24169"
54166,Shawano,WI,Wisconsin,True,,16620.0,45.4,55115,Shawano,"{""55115"": ""100""}",Shawano,55115,False,False,America/Chicago,"44.77703, -88.63245"
54406,Amherst,WI,Wisconsin,True,,3423.0,19.7,55097,Portage,"{""55097"": ""100""}",Portage,55097,False,False,America/Chicago,"44.40962, -89.31085"
