zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
25015,Belle,WV,West Virginia,True,,3778.0,56.8,54039,Kanawha,"{""54039"": ""100""}",Kanawha,54039,False,False,America/New_York,"38.24257, -81.50234"
25051,Costa,WV,West Virginia,True,,297.0,256.4,54005,Boone,"{""54005"": ""100""}",Boone,54005,False,False,America/New_York,"38.15894, -81.7092"
25057,Deep Water,WV,West Virginia,True,,414.0,175.4,54019,Fayette,"{""54019"": ""100""}",Fayette,54019,False,False,America/New_York,"38.12187, -81.2532"
25136,Montgomery,WV,West Virginia,True,,1793.0,80.1,54019,Fayette,"{""54019"": ""58.68"", ""54039"": ""41.32""}","Fayette,Kanawha","54019,54039",False,False,America/New_York,"38.16042, -81.33168"
25143,Nitro,WV,West Virginia,True,,7890.0,347.5,54039,Kanawha,"{""54039"": ""73.84"", ""54079"": ""26.16""}","Kanawha,Putnam","54039,54079",False,False,America/New_York,"38.41872, -81.82151"
25168,Red House,WV,West Virginia,True,,3134.0,37.6,54079,Putnam,"{""54079"": ""100""}",Putnam,54079,False,False,America/New_York,"38.56468, -81.8768"
25261,Millstone,WV,West Virginia,True,,131.0,4.7,54013,Calhoun,"{""54013"": ""100""}",Calhoun,54013,False,False,America/New_York,"38.82625, -81.08959"
25267,Normantown,WV,West Virginia,True,,538.0,3.1,54021,Gilmer,"{""54021"": ""97.89"", ""54013"": ""2.11""}","Gilmer,Calhoun","54021,54013",False,False,America/New_York,"38.84773, -80.94138"
25268,Orma,WV,West Virginia,True,,964.0,9.4,54013,Calhoun,"{""54013"": ""100""}",Calhoun,54013,False,False,America/New_York,"38.73254, -81.09847"
25287,West Columbia,WV,West Virginia,True,,1107.0,22.5,54053,Mason,"{""54053"": ""100""}",Mason,54053,False,False,America/New_York,"38.95743, -82.05165"
25301,Charleston,WV,West Virginia,True,,2653.0,935.6,54039,Kanawha,"{""54039"": ""100""}",Kanawha,54039,False,False,America/New_York,"38.35104, -81.63004"
25530,Kenova,WV,West Virginia,True,,5636.0,143.2,54099,Wayne,"{""54099"": ""100""}",Wayne,54099,False,False,America/New_York,"38.3548, -82.56376"
25560,Scott Depot,WV,West Virginia,True,,8249.0,137.1,54079,Putnam,"{""54079"": ""100""}",Putnam,54079,False,False,America/New_York,"38.44401, -81.89792"
25654,Yolyn,WV,West Virginia,True,,196.0,6.4,54045,Logan,"{""54045"": ""100""}",Logan,54045,False,False,America/New_York,"37.80519, -81.8818"
25670,Delbarton,WV,West Virginia,True,,5586.0,23.0,54059,Mingo,"{""54059"": ""100""}",Mingo,54059,False,False,America/New_York,"37.71866, -82.13833"
