zipcode,city,state_code,state_name,zcta,zcta_parent,population,density,county_code,county_name,county_weights,county_names,county_codes,imprecise,military,timezone,geo_point
82190,Yellowstone National Park,WY,Wyoming,True,,1103.0,0.1,56029,Park,"{""56029"": ""78.05"", ""56039"": ""21.95""}","Park,Teton","56029,56039",False,False,America/Denver,"44.5744, -110.51808"
82227,Manville,WY,Wyoming,True,,294.0,0.3,56027,Niobrara,"{""56027"": ""100""}",Niobrara,56027,False,False,America/Denver,"42.76168, -104.72261"
82243,Veteran,WY,Wyoming,True,,126.0,0.9,56015,Goshen,"{""56015"": ""100""}",Goshen,56015,False,False,America/Denver,"41.9945, -104.4275"
82335,Walcott,WY,Wyoming,True,,52.0,0.2,56007,Carbon,"{""56007"": ""100""}",Carbon,56007,False,False,America/Denver,"41.81001, -106.85236"
82420,Cowley,WY,Wyoming,True,,757.0,5.3,56003,Big Horn,"{""56003"": ""100""}",Big Horn,56003,False,False,America/Denver,"44.92284, -108.45493"
82450,Wapiti,WY,Wyoming,True,,141.0,1.7,56029,Park,"{""56029"": ""100""}",Park,56029,False,False,America/Denver,"44.50527, -109.43548"
82501,Riverton,WY,Wyoming,True,,19493.0,8.0,56013,Fremont,"{""56013"": ""100""}",Fremont,56013,False,False,America/Denver,"43.03512, -108.20235"
82725,Recluse,WY,Wyoming,True,,607.0,0.8,56005,Campbell,"{""56005"": ""100""}",Campbell,56005,False,False,America/Denver,"44.87763, -105.7088"
82838,Parkman,WY,Wyoming,True,,294.0,0.6,56033,Sheridan,"{""56033"": ""100""}",Sheridan,56033,False,False,America/Denver,"44.94529, -107.55832"
82929,Little America,WY,Wyoming,True,,87.0,2.9,56037,Sweetwater,"{""56037"": ""100""}",Sweetwater,56037,False,False,America/Denver,"41.55995, -109.84999"
83112,Bedford,WY,Wyoming,True,,489.0,1.4,56023,Lincoln,"{""56023"": ""100""}",Lincoln,56023,False,False,America/Denver,"42.91946, -110.8309"
82007,Cheyenne,WY,Wyoming,True,,22326.0,43.9,56021,Laramie,"{""56021"": ""100""}",Laramie,56021,False,False,America/Denver,"41.06472, -104.74951"
82229,Shawnee,WY,Wyoming,True,,1.0,0.0,56009,Converse,"{""56009"": ""100""}",Converse,56009,False,False,America/Denver,"42.87669, -104.96792"
82401,Worland,WY,Wyoming,True,,7336.0,4.8,56043,Washakie,"{""56043"": ""99.17"", ""56003"": ""0.64"", ""56017"": ""0.19""}","Washakie,Big Horn,Hot Springs","56043,56003,56017",False,False,America/Denver,"43.98603, -108.14599"
82640,Linch,WY,Wyoming,True,,45.0,0.1,56019,Johnson,"{""56019"": ""100""}",Johnson,56019,False,False,America/Denver,"43.56598, -106.1957"
83012,Moose,WY,Wyoming,True,,208.0,0.5,56039,Teton,"{""56039"": ""100""}",Teton,56039,False,False,America/Denver,"43.71497, -110.74201"
82061,Horse Creek,WY,Wyoming,True,,0.0,0.0,56021,Laramie,"{""56021"": ""100""}",Laramie,56021,False,False,America/Denver,"41.44497, -105.14912"
82332,Savery,WY,Wyoming,True,,214.0,0.6,56007,Carbon,"{""56007"": ""100""}",Carbon,56007,False,False,America/Denver,"41.05674, -107.29439"
82435,Powell,WY,Wyoming,True,,12147.0,5.5,56029,Park,"{""56029"": ""99.46"", ""56003"": ""0.54""}","Park,Big Horn","56029,56003",False,False,America/Denver,"44.82008, -108.93824"
82630,Arminto,WY,Wyoming,True,,0.0,0.0,56025,Natrona,"{""56025"": ""100""}",Natrona,56025,False,False,America/Denver,"43.15275, -107.30617"
82642,Lysite,WY,Wyoming,True,,63.0,0.0,56013,Fremont,"{""56013"": ""90.43"", ""56025"": ""9.57""}","Fremont,Natrona","56013,56025",False,False,America/Denver,"43.26261, -107.61967"
82648,Powder River,WY,Wyoming,True,,27.0,0.0,56025,Natrona,"{""56025"": ""100""}",Natrona,56025,False,False,America/Denver,"43.29487, -107.13995"
82834,Buffalo,WY,Wyoming,True,,7422.0,1.3,56019,Johnson,"{""56019"": ""100""}",Johnson,56019,False,False,America/Denver,"44.23696, -106.65641"
82837,Leiter,WY,Wyoming,True,,38.0,0.3,56033,Sheridan,"{""56033"": ""100""}",Sheridan,56033,False,False,America/Denver,"44.78402, -106.26489"
82901,Rock Springs,WY,Wyoming,True,,29114.0,8.1,56037,Sweetwater,"{""56037"": ""100""}",Sweetwater,56037,False,False,America/Denver,"41.36487, -109.00246"
82923,Boulder,WY,Wyoming,True,,484.0,0.2,56035,Sublette,"{""56035"": ""100""}",Sublette,56035,False,False,America/Denver,"42.65397, -109.46208"
82933,Fort Bridger,WY,Wyoming,True,,523.0,2.9,56041,Uinta,"{""56041"": ""100""}",Uinta,56041,False,False,America/Denver,"41.2798, -110.45747"
83013,Moran,WY,Wyoming,True,,315.0,0.1,56039,Teton,"{""56039"": ""100""}",Teton,56039,False,False,America/Denver,"43.95445, -110.43579"
82070,Laramie,WY,Wyoming,True,,20630.0,7.3,56001,Albany,"{""56001"": ""100""}",Albany,56001,False,False,America/Denver,"41.20539, -105.83205"
82512,Crowheart,WY,Wyoming,True,,206.0,0.2,56013,Fremont,"{""56013"": ""100""}",Fremont,56013,False,False,America/Denver,"43.30055, -109.25649"
82636,Evansville,WY,Wyoming,True,,4080.0,17.1,56025,Natrona,"{""56025"": ""99.07"", ""56009"": ""0.93""}","Natrona,Converse","56025,56009",False,False,America/Denver,"42.90923, -106.16892"
82727,Rozet,WY,Wyoming,True,,1224.0,1.0,56005,Campbell,"{""56005"": ""100""}",Campbell,56005,False,False,America/Denver,"44.32797, -105.19841"
82217,Hawk Springs,WY,Wyoming,True,,20.0,0.1,56015,Goshen,"{""56015"": ""100""}",Goshen,56015,False,False,America/Denver,"41.76566, -104.1701"
82432,Manderson,WY,Wyoming,True,,272.0,0.9,56003,Big Horn,"{""56003"": ""100""}",Big Horn,56003,False,False,America/Denver,"44.22676, -107.89134"
82731,Weston,WY,Wyoming,True,,230.0,0.2,56005,Campbell,"{""56005"": ""100""}",Campbell,56005,False,False,America/Denver,"44.82086, -105.28786"
83414,Alta,WY,Wyoming,True,,465.0,0.5,56039,Teton,"{""56039"": ""100""}",Teton,56039,False,False,America/Denver,"43.88851, -110.94924"
82084,Tie Siding,WY,Wyoming,True,,7.0,0.0,56001,Albany,"{""56001"": ""100""}",Albany,56001,False,False,America/Denver,"41.0361, -105.54661"
82327,Hanna,WY,Wyoming,True,,916.0,0.7,56007,Carbon,"{""56007"": ""100""}",Carbon,56007,False,False,America/Denver,"42.16538, -106.68553"
82423,Frannie,WY,Wyoming,True,,171.0,3.5,56003,Big Horn,"{""56003"": ""90.13"", ""56029"": ""9.87""}","Big Horn,Park","56003,56029",False,False,America/Denver,"44.97006, -108.58398"
82513,Dubois,WY,Wyoming,True,,1757.0,0.4,56013,Fremont,"{""56013"": ""100""}",Fremont,56013,False,False,America/Denver,"43.59307, -109.64271"
82604,Casper,WY,Wyoming,True,,28064.0,5.9,56025,Natrona,"{""56025"": ""99.94"", ""56007"": ""0.06""}","Natrona,Carbon","56025,56007",False,False,America/Denver,"42.85792, -106.76934"
